"Smarter Balanced Growth Report, 2015-16"
"All Districts, Special Education"

"District Code","District","School Code","School","Subject","Special Education Status (SWD)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","ELA","Special Education",47,"34.0%","62.4%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","ELA","Non-Special Education",418,"49.8%","72.8%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","Math","Special Education",48,"29.2%","47.9%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","Math","Non-Special Education",414,"44.9%","67.0%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","ELA","Special Education",31,"32.3%","63.3%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","ELA","Non-Special Education",382,"45.0%","67.5%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Math","Special Education",30,"43.3%","57.5%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Math","Non-Special Education",381,"56.2%","77.5%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","ELA","Special Education","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","ELA","Non-Special Education","*","50.0%","67.9%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Math","Special Education","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Math","Non-Special Education","*","50.0%","76.8%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","ELA","Special Education",56,"12.5%","36.2%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","ELA","Non-Special Education",260,"27.3%","45.8%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Math","Special Education",56,"21.4%","38.6%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Math","Non-Special Education",259,"35.5%","54.5%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","ELA","Special Education",33,"18.2%","49.4%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","ELA","Non-Special Education",211,"28.0%","54.1%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Math","Special Education",33,"30.3%","53.3%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Math","Non-Special Education",211,"35.1%","60.4%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","ELA","Special Education",38,"28.9%","59.8%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","ELA","Non-Special Education",202,"37.1%","60.0%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Math","Special Education",38,"21.1%","47.1%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Math","Non-Special Education",203,"40.9%","64.7%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","ELA","Special Education","*","21.7%","44.4%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","ELA","Non-Special Education","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","Math","Special Education","*","26.7%","48.2%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","Math","Non-Special Education","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","ELA","Special Education",79,"20.3%","38.9%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","ELA","Non-Special Education",615,"29.6%","48.6%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Math","Special Education",79,"27.8%","48.5%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Math","Non-Special Education",617,"38.1%","56.4%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","ELA","Special Education",40,"35.0%","55.4%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","ELA","Non-Special Education",294,"37.8%","62.7%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Math","Special Education",40,"37.5%","57.3%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Math","Non-Special Education",294,"36.4%","58.4%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","ELA","Special Education",21,"19.0%","44.3%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","ELA","Non-Special Education",173,"39.9%","61.2%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Math","Special Education",20,"50.0%","80.7%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Math","Non-Special Education",173,"41.0%","55.8%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","ELA","Special Education",53,"39.6%","59.4%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","ELA","Non-Special Education",465,"56.1%","71.2%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Math","Special Education",53,"34.0%","54.7%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Math","Non-Special Education",465,"69.0%","84.4%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","ELA","Special Education","*","*","*"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","ELA","Non-Special Education","*","50.0%","70.9%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Math","Special Education","*","*","*"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Math","Non-Special Education","*","43.7%","71.3%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","ELA","Special Education",6,"*","*"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","ELA","Non-Special Education",93,"59.1%","77.0%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Math","Special Education","*","*","*"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Math","Non-Special Education","*","46.2%","66.6%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","ELA","Special Education",35,"42.9%","63.1%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","ELA","Non-Special Education",479,"59.5%","77.6%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Math","Special Education",35,"37.1%","59.8%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Math","Non-Special Education",481,"56.1%","75.2%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","ELA","Special Education",20,"20.0%","56.0%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","ELA","Non-Special Education",112,"49.1%","72.1%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Math","Special Education",20,"25.0%","53.9%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Math","Non-Special Education",112,"36.6%","68.3%"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School","ELA","Special Education","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School","Math","Special Education","*","*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","ELA","Special Education",72,"48.6%","65.0%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","ELA","Non-Special Education",588,"52.0%","71.1%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Math","Special Education",71,"23.9%","39.8%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Math","Non-Special Education",588,"45.4%","65.4%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","ELA","Special Education",17,"*","*"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","ELA","Non-Special Education",124,"59.7%","82.2%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Math","Special Education",17,"*","*"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Math","Non-Special Education",124,"52.4%","73.3%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","ELA","Special Education",20,"35.0%","78.1%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","ELA","Non-Special Education",174,"45.4%","70.1%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Math","Special Education",20,"40.0%","71.5%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Math","Non-Special Education",174,"34.5%","65.9%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","ELA","Special Education",13,"*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","ELA","Non-Special Education",78,"60.3%","83.5%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Math","Special Education",13,"*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Math","Non-Special Education",78,"66.7%","87.3%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","ELA","Special Education",24,"33.3%","64.5%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","ELA","Non-Special Education",143,"52.4%","70.6%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Math","Special Education",24,"50.0%","72.4%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Math","Non-Special Education",143,"56.6%","79.7%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","ELA","Special Education",66,"39.4%","60.4%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","ELA","Non-Special Education",547,"56.3%","74.0%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Math","Special Education",66,"39.4%","60.4%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Math","Non-Special Education",547,"55.8%","75.6%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","ELA","Special Education",36,"38.9%","63.0%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","ELA","Non-Special Education",360,"46.9%","68.8%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Math","Special Education",36,"61.1%","85.7%"
