"Smarter Balanced Growth Report, 2015-16"
"All Districts, All Students"

"",,,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","School Code","School","Grade","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",4,87,2407,2481,73,"56.3%","82.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",5,131,2418,2467,49,"37.4%","61.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",6,131,2461,2515,55,"48.9%","74.0%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",7,55,2491,2535,44,"47.3%","67.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",8,61,2521,2580,59,"59.0%","77.1%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,85,2422,2486,64,"51.8%","75.5%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,85,2459,2512,53,"45.9%","69.8%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,82,2471,2515,44,"46.3%","68.4%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,85,2517,2543,26,"30.6%","53.2%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",8,76,2531,2573,42,"46.1%","69.1%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",4,38,2486,2528,42,"44.7%","67.5%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",5,42,2540,2580,40,"52.4%","70.5%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",6,45,2579,2597,17,"48.9%","63.5%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",7,147,2472,2480,8,"18.4%","40.2%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",8,169,2510,2527,17,"30.2%","47.6%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",4,79,2410,2450,41,"29.1%","57.7%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",5,80,2437,2461,24,"17.5%","45.6%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",6,85,2466,2495,29,"32.9%","57.0%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",4,76,2410,2455,46,"35.5%","61.4%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",5,90,2436,2459,23,"23.3%","50.7%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",6,74,2472,2516,44,"51.4%","69.8%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",4,25,2301,2332,31,"16.0%","43.2%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",5,20,2331,2352,21,"10.0%","37.4%"
