"Smarter Balanced Growth Report, 2015-16"
"All Districts, Gender"

"",,,,,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","School Code","School","Grade","Subject","Gender","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",4,"ELA","Female",39,2419,2501,82,"64.1%","87.3%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",4,"ELA","Male",48,2398,2465,66,"50.0%","77.9%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",4,"Math","Female",39,2419,2476,57,"43.6%","84.9%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",4,"Math","Male",46,2433,2489,55,"45.7%","73.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",5,"ELA","Female",74,2426,2473,47,"35.1%","61.4%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",5,"ELA","Male",57,2408,2459,51,"40.4%","62.0%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",5,"Math","Female",73,2436,2464,28,"34.2%","54.0%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",5,"Math","Male",57,2434,2449,16,"35.1%","49.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",6,"ELA","Female",61,2474,2533,59,"52.5%","78.3%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",6,"ELA","Male",70,2449,2500,51,"45.7%","70.3%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",6,"Math","Female",60,2433,2481,48,"55.0%","77.5%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",6,"Math","Male",70,2426,2474,47,"52.9%","75.0%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",7,"ELA","Female",32,2513,2558,45,"56.3%","70.0%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",7,"ELA","Male",23,2461,2504,43,"34.8%","64.6%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",7,"Math","Female",32,2470,2484,14,"18.8%","44.8%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",7,"Math","Male",23,2444,2456,12,"34.8%","48.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",8,"ELA","Female",29,2512,2576,65,"62.1%","79.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",8,"ELA","Male",32,2529,2583,53,"56.3%","74.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",8,"Math","Female",29,2498,2535,37,"48.3%","66.9%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",8,"Math","Male",33,2502,2542,40,"57.6%","68.2%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"ELA","Female",39,2422,2491,69,"56.4%","77.9%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"ELA","Male",46,2421,2481,60,"47.8%","73.5%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"Math","Female",39,2427,2499,72,"69.2%","92.2%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"Math","Male",45,2444,2500,57,"51.1%","83.3%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"ELA","Female",44,2460,2525,65,"56.8%","79.1%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"ELA","Male",41,2458,2498,40,"34.1%","59.8%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"Math","Female",44,2478,2508,30,"38.6%","61.0%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"Math","Male",41,2471,2494,23,"34.1%","59.3%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"ELA","Female",38,2499,2544,45,"47.4%","70.1%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"ELA","Male",44,2447,2489,43,"45.5%","67.0%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"Math","Female",38,2473,2557,83,"81.6%","96.9%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"Math","Male",44,2446,2514,68,"68.2%","84.4%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,"ELA","Female",44,2520,2553,33,"38.6%","59.9%"
