"Smarter Balanced Growth Report, 2015-16"
"State of Connecticut, High Needs (F, R, ELL or SWD)"

"",,,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","Grade","Subject","High Needs (F/R, EL or SWD)","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""0000000""","State of Connecticut",4,"ELA","High Needs",17341,2383,2432,49,"35.6%","62.7%"
"=""0000000""","State of Connecticut",4,"ELA","Non-High Needs",18975,2475,2530,55,"54.9%","77.0%"
"=""0000000""","State of Connecticut",4,"Math","High Needs",17533,2385,2435,49,"36.2%","68.1%"
"=""0000000""","State of Connecticut",4,"Math","Non-High Needs",18948,2469,2521,52,"50.6%","78.3%"
"=""0000000""","State of Connecticut",5,"ELA","High Needs",17009,2421,2467,46,"35.3%","61.8%"
"=""0000000""","State of Connecticut",5,"ELA","Non-High Needs",19951,2521,2566,45,"51.2%","72.0%"
"=""0000000""","State of Connecticut",5,"Math","High Needs",17169,2425,2451,26,"35.2%","57.5%"
"=""0000000""","State of Connecticut",5,"Math","Non-High Needs",19941,2510,2548,38,"51.3%","73.2%"
"=""0000000""","State of Connecticut",6,"ELA","High Needs",16581,2455,2485,29,"35.3%","56.1%"
"=""0000000""","State of Connecticut",6,"ELA","Non-High Needs",20350,2555,2583,28,"47.7%","64.9%"
"=""0000000""","State of Connecticut",6,"Math","High Needs",16707,2443,2462,19,"34.4%","53.5%"
"=""0000000""","State of Connecticut",6,"Math","Non-High Needs",20327,2536,2573,37,"50.8%","70.8%"
"=""0000000""","State of Connecticut",7,"ELA","High Needs",16707,2477,2507,30,"34.8%","55.4%"
"=""0000000""","State of Connecticut",7,"ELA","Non-High Needs",21294,2574,2605,32,"47.7%","65.1%"
"=""0000000""","State of Connecticut",7,"Math","High Needs",16789,2455,2477,22,"36.6%","55.6%"
"=""0000000""","State of Connecticut",7,"Math","Non-High Needs",21254,2561,2590,29,"50.0%","68.5%"
"=""0000000""","State of Connecticut",8,"ELA","High Needs",16100,2496,2522,26,"35.0%","54.9%"
"=""0000000""","State of Connecticut",8,"ELA","Non-High Needs",21037,2593,2620,26,"47.2%","63.5%"
"=""0000000""","State of Connecticut",8,"Math","High Needs",16237,2470,2486,16,"35.8%","51.8%"
"=""0000000""","State of Connecticut",8,"Math","Non-High Needs",20959,2580,2607,27,"50.8%","66.3%"

