"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (3-level)"

"District Code","District","School Code","School","Subject","Free/Reduced Price Meal Eligibility (3-level)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","ELA","Eligible for Free Lunch",465,"48.2%","71.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","Math","Eligible for Free Lunch",462,"43.3%","65.0%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","ELA","Eligible for Free Lunch",281,"42.3%","64.9%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","ELA","Not Eligible for Free/Reduced Lunch",65,"49.2%","72.5%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","ELA","Eligible for Reduced Lunch",67,"46.3%","71.6%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Math","Eligible for Free Lunch",280,"53.2%","75.1%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Math","Not Eligible for Free/Reduced Lunch",65,"60.0%","77.5%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Math","Eligible for Reduced Lunch",66,"59.1%","78.7%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","ELA","Eligible for Free Lunch","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","ELA","Not Eligible for Free/Reduced Lunch",108,"52.8%","72.4%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","ELA","Eligible for Reduced Lunch","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Math","Eligible for Free Lunch","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Math","Not Eligible for Free/Reduced Lunch",110,"50.9%","77.2%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Math","Eligible for Reduced Lunch","*","*","*"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","ELA","Eligible for Free Lunch",188,"24.5%","42.6%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","ELA","Not Eligible for Free/Reduced Lunch",83,"31.3%","50.8%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","ELA","Eligible for Reduced Lunch",45,"13.3%","38.1%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Math","Eligible for Free Lunch",188,"34.0%","54.2%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Math","Not Eligible for Free/Reduced Lunch",82,"31.7%","50.7%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Math","Eligible for Reduced Lunch",45,"31.1%","42.8%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","ELA","Eligible for Free Lunch",160,"23.1%","50.7%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","ELA","Not Eligible for Free/Reduced Lunch",68,"30.9%","57.1%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","ELA","Eligible for Reduced Lunch",16,"*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Math","Eligible for Free Lunch",160,"31.3%","55.2%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Math","Not Eligible for Free/Reduced Lunch",68,"41.2%","67.5%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Math","Eligible for Reduced Lunch",16,"*","*"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","ELA","Eligible for Free Lunch",129,"36.4%","60.4%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","ELA","Not Eligible for Free/Reduced Lunch",77,"36.4%","60.3%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","ELA","Eligible for Reduced Lunch",34,"32.4%","57.7%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Math","Eligible for Free Lunch",129,"36.4%","60.6%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Math","Not Eligible for Free/Reduced Lunch",78,"38.5%","63.9%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Math","Eligible for Reduced Lunch",34,"41.2%","62.4%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","ELA","Eligible for Free Lunch",94,"21.3%","44.0%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","Math","Eligible for Free Lunch",88,"26.1%","48.0%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","ELA","Eligible for Free Lunch",382,"25.9%","45.2%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","ELA","Not Eligible for Free/Reduced Lunch",252,"34.1%","53.2%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","ELA","Eligible for Reduced Lunch",60,"21.7%","38.1%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Math","Eligible for Free Lunch",383,"31.9%","51.0%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Math","Not Eligible for Free/Reduced Lunch",253,"46.2%","62.7%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Math","Eligible for Reduced Lunch",60,"30.0%","53.8%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","ELA","Eligible for Free Lunch",151,"34.4%","60.0%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","ELA","Not Eligible for Free/Reduced Lunch",140,"41.4%","64.7%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","ELA","Eligible for Reduced Lunch",43,"34.9%","59.3%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Math","Eligible for Free Lunch",151,"32.5%","55.3%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Math","Not Eligible for Free/Reduced Lunch",140,"41.4%","63.0%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Math","Eligible for Reduced Lunch",43,"34.9%","53.5%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","ELA","Eligible for Free Lunch",57,"31.6%","53.8%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","ELA","Not Eligible for Free/Reduced Lunch",127,"40.9%","62.9%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","ELA","Eligible for Reduced Lunch",10,"*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Math","Eligible for Free Lunch",56,"42.9%","55.4%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Math","Not Eligible for Free/Reduced Lunch",127,"40.9%","59.0%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Math","Eligible for Reduced Lunch",10,"*","*"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","ELA","Eligible for Free Lunch","*","45.5%","60.6%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","ELA","Not Eligible for Free/Reduced Lunch",491,"55.0%","70.6%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","ELA","Eligible for Reduced Lunch","*","*","*"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Math","Eligible for Free Lunch","*","36.4%","57.0%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Math","Not Eligible for Free/Reduced Lunch",491,"66.6%","82.2%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Math","Eligible for Reduced Lunch","*","*","*"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","ELA","Eligible for Free Lunch","*","*","*"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","ELA","Not Eligible for Free/Reduced Lunch","*","52.6%","71.5%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Math","Eligible for Free Lunch",6,"*","*"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Math","Not Eligible for Free/Reduced Lunch",100,"46.0%","73.2%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","ELA","Eligible for Free Lunch","*","*","*"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","ELA","Not Eligible for Free/Reduced Lunch","*","59.6%","75.8%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Math","Eligible for Free Lunch","*","*","*"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Math","Not Eligible for Free/Reduced Lunch","*","47.3%","67.3%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","ELA","Eligible for Free Lunch","*","33.3%","55.4%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","ELA","Not Eligible for Free/Reduced Lunch",489,"59.7%","77.9%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","ELA","Eligible for Reduced Lunch","*","*","*"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Math","Eligible for Free Lunch","*","9.5%","30.1%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Math","Not Eligible for Free/Reduced Lunch",491,"56.8%","76.1%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Math","Eligible for Reduced Lunch","*","*","*"
