"Smarter Balanced Growth Report, 2015-16"
"State of Connecticut, High Needs (F, R, ELL or SWD)"

"",,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","Grade","High Needs (F/R, EL or SWD)","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""0000000""","State of Connecticut",4,"High Needs",17533,2385,2435,49,"36.2%","68.1%"
"=""0000000""","State of Connecticut",4,"Non-High Needs",18948,2469,2521,52,"50.6%","78.3%"
"=""0000000""","State of Connecticut",5,"High Needs",17169,2425,2451,26,"35.2%","57.5%"
"=""0000000""","State of Connecticut",5,"Non-High Needs",19941,2510,2548,38,"51.3%","73.2%"
"=""0000000""","State of Connecticut",6,"High Needs",16707,2443,2462,19,"34.4%","53.5%"
"=""0000000""","State of Connecticut",6,"Non-High Needs",20327,2536,2573,37,"50.8%","70.8%"
"=""0000000""","State of Connecticut",7,"High Needs",16789,2455,2477,22,"36.6%","55.6%"
"=""0000000""","State of Connecticut",7,"Non-High Needs",21254,2561,2590,29,"50.0%","68.5%"
"=""0000000""","State of Connecticut",8,"High Needs",16237,2470,2486,16,"35.8%","51.8%"
"=""0000000""","State of Connecticut",8,"Non-High Needs",20959,2580,2607,27,"50.8%","66.3%"

