"Smarter Balanced Growth Report, 2015-16"
"All Districts, Gender"

"District Code","District","School Code","School","Gender","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","Male",230,"45.7%","69.9%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","Female",235,"50.6%","73.5%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Male",211,"39.3%","63.2%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Female",202,"49.0%","71.3%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Male",67,"40.3%","60.5%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Female",58,"58.6%","74.5%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Male",164,"23.8%","44.1%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Female",152,"25.7%","44.2%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Male",123,"29.3%","57.4%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Female",121,"24.0%","49.5%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Male",113,"37.2%","60.1%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Female",127,"34.6%","59.9%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","Male",85,"20.0%","41.0%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","Female",9,"*","*"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Male",359,"27.6%","45.6%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Female",335,"29.6%","49.5%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Male",167,"32.3%","57.9%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Female",167,"42.5%","65.8%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Male",97,"36.1%","55.9%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Female",97,"39.2%","62.8%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Male",277,"52.0%","70.1%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Female",241,"57.3%","70.0%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Male",50,"50.0%","71.4%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Female",52,"50.0%","69.9%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Male",50,"54.0%","75.0%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Female",49,"59.2%","74.1%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Male",257,"54.5%","74.0%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Female",257,"62.3%","79.3%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Male",65,"43.1%","66.8%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Female",67,"46.3%","72.5%"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School","Male","*","*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Male",366,"51.4%","68.8%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Female",294,"52.0%","72.6%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Male",80,"46.3%","75.6%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Female",61,"72.1%","86.6%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Male",104,"43.3%","70.3%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Female",90,"45.6%","71.7%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Male",47,"57.4%","82.1%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Female",44,"63.6%","84.5%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Male",91,"46.2%","68.5%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Female",76,"53.9%","71.2%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Male",311,"51.4%","70.3%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Female",302,"57.6%","74.8%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Male",205,"46.3%","65.7%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Female",191,"46.1%","71.0%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Male",109,"30.3%","60.5%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Female",95,"38.9%","64.6%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Male",97,"24.7%","45.2%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Female",82,"46.3%","62.3%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Male",26,"53.8%","68.2%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Female",54,"48.1%","67.6%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Male",52,"28.8%","63.9%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Female",45,"35.6%","59.1%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Male",145,"53.8%","74.4%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Female",143,"58.0%","76.7%"
