"Smarter Balanced Growth Report, 2015-16"
"State of Connecticut, Special Education"

"",,,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","Grade","Subject","Special Education Status (SWD)","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""0000000""","State of Connecticut",4,"ELA","Special Education",4694,2341,2390,49,"33.6%","60.9%"
"=""0000000""","State of Connecticut",4,"ELA","Non-Special Education",31622,2444,2497,53,"47.5%","71.6%"
"=""0000000""","State of Connecticut",4,"Math","Special Education",4692,2349,2401,52,"36.6%","68.0%"
"=""0000000""","State of Connecticut",4,"Math","Non-Special Education",31789,2440,2491,51,"44.7%","74.2%"
"=""0000000""","State of Connecticut",5,"ELA","Special Education",4864,2378,2421,43,"29.9%","56.8%"
"=""0000000""","State of Connecticut",5,"ELA","Non-Special Education",32096,2490,2535,46,"46.0%","68.9%"
"=""0000000""","State of Connecticut",5,"Math","Special Education",4863,2391,2416,25,"34.0%","55.7%"
"=""0000000""","State of Connecticut",5,"Math","Non-Special Education",32247,2483,2516,33,"45.3%","67.4%"
"=""0000000""","State of Connecticut",6,"ELA","Special Education",4920,2410,2439,29,"31.3%","52.8%"
"=""0000000""","State of Connecticut",6,"ELA","Non-Special Education",32011,2526,2554,28,"43.8%","62.2%"
"=""0000000""","State of Connecticut",6,"Math","Special Education",4896,2408,2413,5,"27.9%","43.9%"
"=""0000000""","State of Connecticut",6,"Math","Non-Special Education",32138,2507,2539,32,"45.7%","65.9%"
"=""0000000""","State of Connecticut",7,"ELA","Special Education",4922,2431,2461,30,"30.7%","52.3%"
"=""0000000""","State of Connecticut",7,"ELA","Non-Special Education",33079,2546,2577,31,"43.7%","62.1%"
"=""0000000""","State of Connecticut",7,"Math","Special Education",4889,2407,2428,21,"35.1%","53.1%"
"=""0000000""","State of Connecticut",7,"Math","Non-Special Education",33154,2530,2557,27,"45.4%","64.2%"
"=""0000000""","State of Connecticut",8,"ELA","Special Education",4825,2448,2474,27,"30.3%","51.9%"
"=""0000000""","State of Connecticut",8,"ELA","Non-Special Education",32312,2566,2593,26,"43.6%","61.0%"
"=""0000000""","State of Connecticut",8,"Math","Special Education",4791,2420,2439,19,"35.4%","51.7%"
"=""0000000""","State of Connecticut",8,"Math","Non-Special Education",32405,2548,2571,23,"45.6%","61.2%"

