"Smarter Balanced Growth Report, 2015-16"
"All Districts, Race"

"District Code","District","School Code","School","Race/Ethnicity","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","American Indian or Alaska Native","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","White","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","Asian","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","Two or More Races","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","Hispanic/Latino of any race",108,"50.0%","71.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","Black or African American",348,"47.1%","71.4%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","White","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Two or More Races","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Hispanic/Latino of any race",158,"43.7%","65.5%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Black or African American",244,"43.0%","67.5%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","White",118,"50.0%","68.3%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Asian","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Two or More Races","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Hispanic/Latino of any race","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Black or African American","*","*","*"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","American Indian or Alaska Native","*","*","*"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Native Hawaiian or Other Pacific Islander",7,"*","*"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","White",153,"24.2%","42.0%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Asian","*","*","*"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Two or More Races",6,"*","*"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Hispanic/Latino of any race",91,"29.7%","49.7%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Black or African American",55,"18.2%","39.1%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","White",92,"22.8%","52.5%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Asian","*","*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Two or More Races",7,"*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Hispanic/Latino of any race",88,"27.3%","51.8%"
