"Smarter Balanced Growth Report, 2015-16"
"All Districts, ELL"

"",,,,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","School Code","School","Grade","English Learner Status (EL)","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",4,"ELL","*","*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",4,"Non-ELL","*",2426,2484,58,"45.1%","80.0%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",5,"Non-ELL",130,2435,2458,23,"34.6%","51.9%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",6,"ELL",9,"*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",6,"Non-ELL",121,2431,2479,48,"53.7%","75.9%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",7,"ELL","*","*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",7,"Non-ELL","*",2460,2474,14,"25.9%","47.0%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",8,"ELL","*","*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",8,"Non-ELL","*",2502,2541,40,"54.1%","68.7%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"ELL","*","*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"Non-ELL","*",2440,2502,62,"59.5%","87.6%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"ELL","*","*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"Non-ELL","*",2474,2501,27,"36.9%","60.9%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"ELL",6,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"Non-ELL",76,2459,2536,77,"75.0%","90.6%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,"ELL",6,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,"Non-ELL",79,2516,2549,33,"41.8%","63.6%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",8,"ELL",6,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",8,"Non-ELL",69,2509,2571,62,"69.6%","84.1%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",4,"ELL","*","*","*","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",4,"Non-ELL","*",2465,2514,49,"35.1%","71.8%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",5,"Non-ELL",42,2533,2573,40,"52.4%","76.1%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",6,"ELL","*","*","*","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",6,"Non-ELL","*",2554,2594,39,"60.0%","79.5%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",7,"Non-ELL",147,2475,2489,14,"27.9%","48.8%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",8,"ELL","*","*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",8,"Non-ELL","*",2499,2513,14,"38.0%","54.8%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",4,"ELL","*","*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",4,"Non-ELL","*",2423,2451,28,"19.5%","52.2%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",5,"ELL","*","*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",5,"Non-ELL","*",2431,2444,13,"21.5%","42.5%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",6,"ELL","*","*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",6,"Non-ELL","*",2450,2497,46,"59.5%","81.1%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",4,"ELL","*","*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",4,"Non-ELL","*",2405,2457,52,"32.0%","72.6%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",5,"Non-ELL",91,2449,2450,0,"23.1%","38.2%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",6,"ELL","*","*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",6,"Non-ELL","*",2454,2508,54,"63.0%","81.3%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",4,"Non-ELL",25,2293,2320,27,"8.0%","42.7%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",5,"Non-ELL",19,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",6,"Non-ELL",11,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",7,"Non-ELL",15,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",8,"Non-ELL",18,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",6,"ELL",14,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",6,"Non-ELL",228,2476,2484,9,"25.9%","44.0%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",7,"ELL",19,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",7,"Non-ELL",221,2485,2527,41,"53.4%","73.6%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",8,"ELL",13,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",8,"Non-ELL",201,2505,2516,11,"32.8%","49.8%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",4,"ELL","*","*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",4,"Non-ELL","*",2390,2429,38,"23.5%","57.1%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",5,"Non-ELL",69,2417,2427,10,"24.6%","45.5%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",6,"ELL","*","*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",6,"Non-ELL","*",2446,2469,23,"38.6%","57.9%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",7,"Non-ELL",59,2467,2515,48,"59.3%","80.2%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",8,"ELL","*","*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",8,"Non-ELL","*",2493,2508,15,"40.0%","53.3%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",4,"Non-ELL",40,2454,2507,53,"55.0%","81.3%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",5,"Non-ELL",37,2536,2503,-33,"0.0%","6.2%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",6,"Non-ELL",36,2471,2479,8,"19.4%","42.1%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",7,"ELL","*","*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",7,"Non-ELL","*",2493,2564,71,"75.6%","90.4%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",8,"Non-ELL",34,2560,2583,23,"50.0%","61.4%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",7,"ELL","*","*","*","*","*","*"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",7,"Non-ELL","*",2599,2640,41,"63.3%","82.2%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",8,"ELL","*","*","*","*","*","*"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",8,"Non-ELL","*",2624,2658,34,"67.3%","80.4%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School",4,"ELL",8,"*","*","*","*","*"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School",4,"Non-ELL",98,2498,2541,43,"43.9%","69.8%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School",4,"Non-ELL",98,2508,2540,32,"44.9%","65.5%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",5,"ELL","*","*","*","*","*","*"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",5,"Non-ELL","*",2525,2548,23,"40.7%","60.2%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",6,"ELL","*","*","*","*","*","*"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",6,"Non-ELL","*",2548,2604,55,"69.3%","88.2%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",4,"Non-ELL",44,2408,2456,48,"36.4%","67.5%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",5,"Non-ELL",44,2461,2488,27,"25.0%","61.1%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",6,"Non-ELL",44,2506,2546,40,"43.2%","69.9%"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School",4,"Non-ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",6,"ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",6,"Non-ELL","*",2510,2534,25,"34.6%","59.0%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",7,"ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",7,"Non-ELL","*",2532,2566,34,"49.6%","69.8%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",8,"Non-ELL",210,2562,2577,15,"44.3%","58.6%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School",4,"ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School",4,"Non-ELL","*",2443,2524,81,"78.6%","96.9%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School",5,"ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School",5,"Non-ELL","*",2525,2545,20,"33.3%","53.9%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School",4,"ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School",4,"Non-ELL","*",2431,2485,54,"43.5%","76.7%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School",5,"ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School",5,"Non-ELL","*",2500,2526,26,"29.2%","59.1%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School",4,"ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School",4,"Non-ELL","*",2418,2516,98,"91.9%","100.0%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School",5,"ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School",5,"Non-ELL","*",2489,2527,38,"47.1%","72.6%"
