"Smarter Balanced Growth Report, 2015-16"
"State of Connecticut, Free/Reduced Price Meal Eligibility (2-level)"

"",,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","Grade","Free/Reduced Price Meal Eligibility (2-level)","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""0000000""","State of Connecticut",4,"Eligible For Lunch",14905,2384,2432,48,"34.8%","62.0%"
"=""0000000""","State of Connecticut",4,"Not Eligible For Lunch",21411,2463,2518,55,"53.2%","75.9%"
"=""0000000""","State of Connecticut",5,"Eligible For Lunch",14505,2423,2469,46,"35.7%","62.1%"
"=""0000000""","State of Connecticut",5,"Not Eligible For Lunch",22455,2509,2553,45,"49.2%","70.7%"
"=""0000000""","State of Connecticut",6,"Eligible For Lunch",14098,2458,2487,29,"35.3%","56.2%"
"=""0000000""","State of Connecticut",6,"Not Eligible For Lunch",22833,2543,2571,28,"46.4%","63.9%"
"=""0000000""","State of Connecticut",7,"Eligible For Lunch",14149,2480,2510,30,"34.8%","55.4%"
"=""0000000""","State of Connecticut",7,"Not Eligible For Lunch",23852,2561,2593,32,"46.3%","64.0%"
"=""0000000""","State of Connecticut",8,"Eligible For Lunch",13697,2499,2525,26,"35.2%","55.0%"
"=""0000000""","State of Connecticut",8,"Not Eligible For Lunch",23440,2581,2608,26,"45.8%","62.6%"

