"Smarter Balanced Growth Report, 2015-16"
"All Districts, ELL"

"District Code","District","School Code","School","English Learner Status (EL)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","ELL",14,"*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","Non-ELL",448,"43.3%","65.2%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","ELL",24,"45.8%","62.6%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Non-ELL",387,"55.8%","76.9%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","ELL","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Non-ELL","*","50.0%","76.1%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","ELL","*","*","*"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Non-ELL","*","33.2%","52.0%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","ELL","*","*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Non-ELL","*","34.2%","59.1%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","ELL","*","*","*"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Non-ELL","*","38.1%","62.2%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","Non-ELL",88,"26.1%","48.0%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","ELL",46,"30.4%","50.6%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Non-ELL",650,"37.4%","55.8%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","ELL","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Non-ELL","*","36.6%","58.2%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","ELL","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Non-ELL","*","41.7%","58.1%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","ELL",7,"*","*"
