"Smarter Balanced Growth Report, 2015-16"
"All Districts, Gender"

"District Code","District","School Code","School","Gender","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","Male",229,"45.9%","64.5%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","Female",233,"40.8%","65.6%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Male",209,"52.6%","74.9%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Female",202,"57.9%","77.2%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Male",67,"52.2%","77.5%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Female",60,"46.7%","73.7%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Male",164,"37.2%","53.7%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Female",151,"28.5%","49.5%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Male",123,"34.1%","59.0%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Female",121,"34.7%","59.9%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Male",113,"45.1%","66.6%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Female",128,"31.3%","57.8%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","Male",79,"26.6%","46.4%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","Female",9,"*","*"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Male",361,"35.5%","53.6%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Female",335,"38.5%","57.5%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Male",167,"30.5%","52.8%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Female",167,"42.5%","63.8%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Male",96,"43.8%","61.4%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Female",97,"40.2%","55.3%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Male",276,"66.3%","79.1%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Female",242,"64.5%","83.9%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Male",53,"54.7%","79.1%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Female",53,"32.1%","62.1%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Male",49,"53.1%","73.6%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Female",49,"36.7%","57.4%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Male",257,"56.4%","74.0%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Female",259,"53.3%","74.3%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Male",65,"32.3%","66.6%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Female",67,"37.3%","65.7%"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School","Male","*","*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Male",365,"42.5%","61.8%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Female",294,"43.9%","63.8%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Male",80,"52.5%","69.2%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Female",61,"49.2%","72.5%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Male",104,"36.5%","66.6%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Female",90,"33.3%","66.3%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Male",47,"63.8%","86.8%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Female",44,"68.2%","87.2%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Male",91,"47.3%","70.5%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Female",76,"65.8%","88.4%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Male",312,"51.3%","71.1%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Female",301,"56.8%","76.9%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Male",204,"72.1%","91.2%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Female",192,"59.4%","86.0%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Male",109,"50.5%","75.9%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Female",95,"52.6%","74.4%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Male",97,"30.9%","50.4%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Female",83,"44.6%","61.5%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Male",26,"34.6%","57.3%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Female",54,"27.8%","40.6%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Male",52,"50.0%","77.6%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Female",46,"45.7%","78.5%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Male",145,"49.0%","69.0%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Female",143,"52.4%","73.1%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","Male",51,"51.0%","70.9%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","Female",56,"42.9%","74.9%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Male",413,"40.9%","59.3%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Female",428,"39.7%","59.9%"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Male",36,"41.7%","73.3%"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Female",27,"14.8%","57.1%"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Male",31,"71.0%","95.3%"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Female",32,"75.0%","97.9%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Male",43,"41.9%","68.4%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Female",35,"37.1%","71.2%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Male",210,"58.6%","76.1%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Female",212,"60.4%","79.6%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","Male",112,"24.1%","45.5%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","Female",104,"19.2%","43.7%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","Male",54,"38.9%","56.8%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","Female",54,"22.2%","50.6%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","Male",95,"43.2%","62.1%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","Female",87,"40.2%","64.5%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","Male",297,"29.3%","48.9%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","Female",255,"32.2%","56.3%"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center","Male","*","*","*"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center","Female","*","*","*"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","Male",77,"24.7%","47.7%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","Female",52,"21.2%","45.8%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","Male",290,"31.4%","52.4%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","Female",270,"35.2%","56.2%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","Male",85,"24.7%","50.1%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","Female",101,"36.6%","55.0%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","Male",131,"36.6%","58.1%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","Female",144,"40.3%","65.2%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","Male",83,"20.5%","41.0%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","Female",60,"13.3%","29.4%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","Male",184,"27.2%","47.0%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","Female",164,"24.4%","46.6%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","Male",75,"12.0%","28.4%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","Female",71,"7.0%","24.4%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","Male",51,"23.5%","50.5%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","Female",36,"38.9%","59.5%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","Male",179,"34.6%","58.7%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","Female",155,"31.0%","54.4%"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","Male",47,"23.4%","48.8%"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","Female",34,"38.2%","51.0%"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","Male",38,"18.4%","50.3%"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","Female",51,"17.6%","43.5%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","Male",87,"16.1%","33.2%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","Female",126,"30.2%","52.2%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","Male",89,"29.2%","54.5%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","Female",75,"22.7%","45.0%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School","Male",117,"30.8%","53.4%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School","Female",102,"25.5%","44.7%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School","Male",143,"41.3%","63.8%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School","Female",118,"33.9%","52.2%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School","Male",201,"26.4%","49.5%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School","Female",192,"25.0%","46.1%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School","Male",107,"23.4%","45.1%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School","Female",92,"22.8%","46.5%"
