"Smarter Balanced Growth Report, 2015-16"
"All Districts, ELL"

"",,,,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","School Code","School","Grade","English Learner Status (EL)","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",4,"ELL","*","*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",4,"Non-ELL","*",2408,2480,72,"56.0%","81.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",5,"Non-ELL",131,2418,2467,49,"37.4%","61.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",6,"ELL",9,"*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",6,"Non-ELL",122,2465,2519,54,"47.5%","73.6%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",7,"ELL","*","*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",7,"Non-ELL","*",2492,2537,45,"48.1%","69.0%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",8,"ELL","*","*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",8,"Non-ELL","*",2524,2582,58,"58.3%","76.6%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"ELL","*","*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"Non-ELL","*",2426,2490,64,"51.3%","76.1%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"ELL","*","*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"Non-ELL","*",2459,2512,53,"46.4%","69.5%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"ELL",6,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"Non-ELL",76,2474,2517,44,"44.7%","68.0%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,"ELL",6,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,"Non-ELL",79,2526,2550,24,"29.1%","52.5%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",8,"ELL",6,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",8,"Non-ELL",70,2537,2578,42,"45.7%","69.5%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",4,"ELL","*","*","*","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",4,"Non-ELL","*",2491,2532,41,"43.2%","66.4%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",5,"Non-ELL",42,2540,2580,40,"52.4%","70.5%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",6,"Non-ELL",45,2579,2597,17,"48.9%","63.5%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",7,"Non-ELL",147,2472,2480,8,"18.4%","40.2%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",8,"ELL","*","*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",8,"Non-ELL","*",2512,2529,17,"30.5%","47.7%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",4,"ELL","*","*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",4,"Non-ELL","*",2413,2452,39,"28.6%","56.8%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",5,"ELL","*","*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",5,"Non-ELL","*",2438,2462,24,"17.7%","46.0%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",6,"ELL","*","*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",6,"Non-ELL","*",2468,2497,28,"33.3%","56.9%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",4,"ELL","*","*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",4,"Non-ELL","*",2410,2456,46,"36.0%","62.2%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",5,"Non-ELL",90,2436,2459,23,"23.3%","50.7%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",6,"ELL","*","*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",6,"Non-ELL","*",2474,2518,44,"52.1%","69.9%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",4,"Non-ELL",25,2301,2332,31,"16.0%","43.2%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",5,"Non-ELL",20,2331,2352,21,"10.0%","37.4%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",6,"Non-ELL",11,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",7,"Non-ELL",19,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",8,"Non-ELL",19,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",6,"ELL",13,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",6,"Non-ELL",227,2503,2500,-3,"20.7%","37.5%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",7,"ELL",19,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",7,"Non-ELL",221,2509,2530,21,"31.7%","52.6%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",8,"ELL",13,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",8,"Non-ELL",201,2533,2551,19,"34.3%","52.3%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",4,"ELL","*","*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",4,"Non-ELL","*",2399,2436,38,"33.8%","55.5%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",5,"Non-ELL",69,2427,2473,46,"27.5%","61.2%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",6,"ELL","*","*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",6,"Non-ELL","*",2487,2523,36,"44.3%","64.0%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",7,"Non-ELL",59,2509,2556,47,"47.5%","70.0%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",8,"ELL","*","*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",8,"Non-ELL","*",2531,2563,32,"35.4%","59.2%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",4,"Non-ELL",41,2460,2500,40,"39.0%","60.8%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",5,"Non-ELL",37,2552,2563,12,"37.8%","55.8%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",6,"Non-ELL",36,2493,2516,23,"33.3%","52.7%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",7,"ELL","*","*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",7,"Non-ELL","*",2537,2569,32,"42.2%","64.0%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",8,"Non-ELL",34,2551,2585,34,"35.3%","64.3%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",7,"ELL","*","*","*","*","*","*"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",7,"Non-ELL","*",2598,2637,39,"59.9%","76.1%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",8,"ELL","*","*","*","*","*","*"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",8,"Non-ELL","*",2613,2636,23,"50.0%","64.8%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School",4,"ELL","*","*","*","*","*","*"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School",4,"Non-ELL","*",2510,2549,39,"49.0%","69.6%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School",4,"Non-ELL",99,2500,2551,50,"56.6%","74.6%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",5,"ELL","*","*","*","*","*","*"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",5,"Non-ELL","*",2528,2571,43,"54.2%","73.7%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",6,"ELL","*","*","*","*","*","*"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",6,"Non-ELL","*",2573,2613,39,"63.5%","80.0%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",4,"Non-ELL",44,2439,2495,56,"54.5%","75.7%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",5,"Non-ELL",44,2518,2551,33,"40.9%","68.5%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",6,"Non-ELL",44,2543,2578,35,"38.6%","64.8%"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School",4,"Non-ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",6,"ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",6,"Non-ELL","*",2526,2562,35,"50.7%","69.8%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",7,"ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",7,"Non-ELL","*",2551,2591,40,"49.8%","69.4%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",8,"Non-ELL",210,2565,2604,40,"55.2%","73.1%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School",4,"ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School",4,"Non-ELL","*",2438,2512,74,"64.3%","87.6%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School",5,"ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School",5,"Non-ELL","*",2510,2566,55,"53.1%","75.7%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School",4,"ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School",4,"Non-ELL","*",2436,2488,52,"41.2%","68.7%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School",5,"ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School",5,"Non-ELL","*",2495,2547,52,"48.1%","72.6%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School",4,"ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School",4,"Non-ELL","*",2429,2508,79,"64.9%","89.7%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School",5,"ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School",5,"Non-ELL","*",2485,2556,71,"58.8%","80.8%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School",4,"Non-ELL",50,2431,2502,71,"58.0%","85.1%"
