"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (2-level)"

"",,,,,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","School Code","School","Grade","Subject","Free/Reduced Price Meal Eligibility (2-level)","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",4,"ELA","Eligible For Lunch",87,2407,2481,73,"56.3%","82.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",4,"Math","Eligible For Lunch",85,2427,2483,56,"44.7%","78.5%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",5,"ELA","Eligible For Lunch",131,2418,2467,49,"37.4%","61.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",5,"Math","Eligible For Lunch",130,2435,2458,23,"34.6%","51.9%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",6,"ELA","Eligible For Lunch",131,2461,2515,55,"48.9%","74.0%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",6,"Math","Eligible For Lunch",130,2429,2477,48,"53.8%","76.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",7,"ELA","Eligible For Lunch",55,2491,2535,44,"47.3%","67.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",7,"Math","Eligible For Lunch",55,2459,2472,13,"25.5%","46.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",8,"ELA","Eligible For Lunch",61,2521,2580,59,"59.0%","77.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",8,"Math","Eligible For Lunch",62,2500,2539,39,"53.2%","67.6%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"ELA","Eligible For Lunch",79,2420,2485,64,"50.6%","74.8%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"ELA","Not Eligible For Lunch",6,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"Math","Eligible For Lunch",78,2437,2499,62,"59.0%","86.6%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"Math","Not Eligible For Lunch",6,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"ELA","Eligible For Lunch",73,2454,2504,50,"43.8%","67.0%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"ELA","Not Eligible For Lunch",12,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"Math","Eligible For Lunch",73,2472,2501,29,"39.7%","64.5%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"Math","Not Eligible For Lunch",12,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"ELA","Eligible For Lunch",71,2463,2508,45,"46.5%","69.0%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"ELA","Not Eligible For Lunch",11,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"Math","Eligible For Lunch",71,2453,2526,73,"73.2%","89.2%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"Math","Not Eligible For Lunch",11,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,"ELA","Eligible For Lunch",67,2514,2542,28,"32.8%","54.3%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,"ELA","Not Eligible For Lunch",18,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,"Math","Eligible For Lunch",67,2506,2532,26,"35.8%","58.1%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,"Math","Not Eligible For Lunch",18,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",8,"ELA","Eligible For Lunch",58,2518,2555,36,"39.7%","63.7%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",8,"ELA","Not Eligible For Lunch",18,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",8,"Math","Eligible For Lunch",57,2491,2545,55,"64.9%","79.4%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",8,"Math","Not Eligible For Lunch",18,"*","*","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",4,"ELA","Eligible For Lunch",7,"*","*","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",4,"ELA","Not Eligible For Lunch",31,2486,2537,52,"51.6%","78.0%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",4,"Math","Eligible For Lunch",7,"*","*","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",4,"Math","Not Eligible For Lunch",31,2467,2518,50,"35.5%","76.1%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",5,"ELA","Eligible For Lunch","*","*","*","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",5,"ELA","Not Eligible For Lunch","*",2538,2581,43,"55.3%","74.1%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",5,"Math","Eligible For Lunch","*","*","*","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",5,"Math","Not Eligible For Lunch","*",2534,2573,39,"52.6%","76.0%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",6,"ELA","Eligible For Lunch",6,"*","*","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",6,"ELA","Not Eligible For Lunch",39,2580,2601,20,"51.3%","66.2%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",6,"Math","Eligible For Lunch",6,"*","*","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",6,"Math","Not Eligible For Lunch",41,2553,2592,38,"61.0%","79.2%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",7,"ELA","Eligible For Lunch",103,2463,2471,8,"14.6%","37.6%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",7,"ELA","Not Eligible For Lunch",44,2492,2502,10,"27.3%","46.2%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",7,"Math","Eligible For Lunch",103,2466,2476,11,"24.3%","46.9%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",7,"Math","Not Eligible For Lunch",44,2497,2519,22,"36.4%","53.5%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",8,"ELA","Eligible For Lunch",130,2500,2514,14,"28.5%","45.1%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",8,"ELA","Not Eligible For Lunch",39,2544,2570,26,"35.9%","55.9%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",8,"Math","Eligible For Lunch",130,2489,2503,14,"40.8%","56.0%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",8,"Math","Not Eligible For Lunch",38,2536,2548,12,"26.3%","47.5%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",4,"ELA","Eligible For Lunch",56,2399,2440,41,"28.6%","58.3%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",4,"ELA","Not Eligible For Lunch",23,2436,2477,41,"30.4%","56.2%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",4,"Math","Eligible For Lunch",56,2415,2441,26,"17.9%","49.2%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",4,"Math","Not Eligible For Lunch",23,2440,2473,32,"21.7%","59.0%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",5,"ELA","Eligible For Lunch",63,2434,2453,19,"12.7%","40.7%"
