"Smarter Balanced Growth Report, 2015-16"
"All Districts, Special Education"

"District Code","District","School Code","School","Special Education Status (SWD)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","Special Education",48,"29.2%","47.9%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","Non-Special Education",414,"44.9%","67.0%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Special Education",30,"43.3%","57.5%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Non-Special Education",381,"56.2%","77.5%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Special Education","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Non-Special Education","*","50.0%","76.8%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Special Education",56,"21.4%","38.6%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Non-Special Education",259,"35.5%","54.5%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Special Education",33,"30.3%","53.3%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Non-Special Education",211,"35.1%","60.4%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Special Education",38,"21.1%","47.1%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Non-Special Education",203,"40.9%","64.7%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","Special Education","*","26.7%","48.2%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","Non-Special Education","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Special Education",79,"27.8%","48.5%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Non-Special Education",617,"38.1%","56.4%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Special Education",40,"37.5%","57.3%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Non-Special Education",294,"36.4%","58.4%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Special Education",20,"50.0%","80.7%"
