"Smarter Balanced Growth Report, 2015-16"
"All Districts, All Students"

"",,,,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","School Code","School","Grade","Subject","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",4,"ELA",87,2407,2481,73,"56.3%","82.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",4,"Math",85,2427,2483,56,"44.7%","78.5%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",5,"ELA",131,2418,2467,49,"37.4%","61.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",5,"Math",130,2435,2458,23,"34.6%","51.9%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",6,"ELA",131,2461,2515,55,"48.9%","74.0%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",6,"Math",130,2429,2477,48,"53.8%","76.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",7,"ELA",55,2491,2535,44,"47.3%","67.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",7,"Math",55,2459,2472,13,"25.5%","46.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",8,"ELA",61,2521,2580,59,"59.0%","77.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",8,"Math",62,2500,2539,39,"53.2%","67.6%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"ELA",85,2422,2486,64,"51.8%","75.5%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"Math",84,2436,2500,64,"59.5%","87.4%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"ELA",85,2459,2512,53,"45.9%","69.8%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"Math",85,2475,2501,26,"36.5%","60.2%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"ELA",82,2471,2515,44,"46.3%","68.4%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"Math",82,2459,2534,75,"74.4%","90.2%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,"ELA",85,2517,2543,26,"30.6%","53.2%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,"Math",85,2511,2540,28,"38.8%","60.5%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",8,"ELA",76,2531,2573,42,"46.1%","69.1%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",8,"Math",75,2507,2567,60,"69.3%","83.4%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",4,"ELA",38,2486,2528,42,"44.7%","67.5%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",4,"Math",38,2464,2512,48,"34.2%","71.2%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",5,"ELA",42,2540,2580,40,"52.4%","70.5%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",5,"Math",42,2533,2573,40,"52.4%","76.1%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",6,"ELA",45,2579,2597,17,"48.9%","63.5%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",6,"Math",47,2552,2593,41,"59.6%","79.0%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",7,"ELA",147,2472,2480,8,"18.4%","40.2%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",7,"Math",147,2475,2489,14,"27.9%","48.8%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",8,"ELA",169,2510,2527,17,"30.2%","47.6%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",8,"Math",168,2500,2513,13,"37.5%","54.1%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",4,"ELA",79,2410,2450,41,"29.1%","57.7%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",4,"Math",79,2422,2450,28,"19.0%","52.0%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",5,"ELA",80,2437,2461,24,"17.5%","45.6%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",5,"Math",80,2429,2443,14,"22.5%","43.4%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",6,"ELA",85,2466,2495,29,"32.9%","57.0%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",6,"Math",85,2449,2496,46,"60.0%","81.4%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",4,"ELA",76,2410,2455,46,"35.5%","61.4%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",4,"Math",76,2405,2456,52,"31.6%","72.6%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",5,"ELA",90,2436,2459,23,"23.3%","50.7%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",5,"Math",91,2449,2450,0,"23.1%","38.2%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",6,"ELA",74,2472,2516,44,"51.4%","69.8%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",6,"Math",74,2452,2504,52,"62.2%","80.2%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",4,"ELA",25,2301,2332,31,"16.0%","43.2%"
