"Smarter Balanced Growth Report, 2015-16"
"All Districts, Gender"

"District Code","District","School Code","School","Subject","Gender","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","ELA","Male",230,"45.7%","69.9%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","ELA","Female",235,"50.6%","73.5%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","Math","Male",229,"45.9%","64.5%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","Math","Female",233,"40.8%","65.6%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","ELA","Male",211,"39.3%","63.2%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","ELA","Female",202,"49.0%","71.3%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Math","Male",209,"52.6%","74.9%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Math","Female",202,"57.9%","77.2%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","ELA","Male",67,"40.3%","60.5%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","ELA","Female",58,"58.6%","74.5%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Math","Male",67,"52.2%","77.5%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Math","Female",60,"46.7%","73.7%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","ELA","Male",164,"23.8%","44.1%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","ELA","Female",152,"25.7%","44.2%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Math","Male",164,"37.2%","53.7%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Math","Female",151,"28.5%","49.5%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","ELA","Male",123,"29.3%","57.4%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","ELA","Female",121,"24.0%","49.5%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Math","Male",123,"34.1%","59.0%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Math","Female",121,"34.7%","59.9%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","ELA","Male",113,"37.2%","60.1%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","ELA","Female",127,"34.6%","59.9%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Math","Male",113,"45.1%","66.6%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Math","Female",128,"31.3%","57.8%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","ELA","Male",85,"20.0%","41.0%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","ELA","Female",9,"*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","Math","Male",79,"26.6%","46.4%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","Math","Female",9,"*","*"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","ELA","Male",359,"27.6%","45.6%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","ELA","Female",335,"29.6%","49.5%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Math","Male",361,"35.5%","53.6%"
