"Smarter Balanced Growth Report, 2015-16"
"All Districts, High Needs (F, R, ELL or SWD)"

"District Code","District","School Code","School","High Needs (F/R, EL or SWD)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","High Needs",462,"43.3%","65.0%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","High Needs",348,"54.0%","75.4%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Non-High Needs",63,"61.9%","79.5%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","High Needs",24,"37.5%","60.3%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Non-High Needs",103,"52.4%","79.3%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","High Needs",245,"33.5%","52.5%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Non-High Needs",70,"31.4%","48.8%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","High Needs",181,"31.5%","56.7%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Non-High Needs",63,"42.9%","67.3%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","High Needs",170,"35.9%","59.4%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Non-High Needs",71,"42.3%","68.1%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","High Needs",88,"26.1%","48.0%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","High Needs",461,"31.5%","51.0%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Non-High Needs",235,"47.7%","64.2%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","High Needs",205,"33.2%","54.4%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Non-High Needs",129,"41.9%","64.5%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","High Needs",74,"41.9%","58.1%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Non-High Needs",119,"42.0%","58.5%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","High Needs",78,"41.0%","61.4%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Non-High Needs",440,"69.8%","84.9%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","High Needs",13,"*","*"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Non-High Needs",93,"46.2%","72.0%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","High Needs",9,"*","*"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Non-High Needs",89,"48.3%","67.8%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","High Needs",59,"32.2%","57.4%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Non-High Needs",457,"57.8%","76.3%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","High Needs",30,"23.3%","52.8%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Non-High Needs",102,"38.2%","70.1%"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School","High Needs","*","*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","High Needs",134,"32.8%","50.7%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Non-High Needs",525,"45.7%","65.7%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","High Needs",35,"40.0%","57.7%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Non-High Needs",106,"54.7%","74.9%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","High Needs",36,"36.1%","65.2%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Non-High Needs",158,"34.8%","66.7%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","High Needs",20,"65.0%","88.3%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Non-High Needs",71,"66.2%","86.6%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","High Needs",32,"43.8%","66.3%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Non-High Needs",135,"58.5%","81.6%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","High Needs",184,"40.8%","61.2%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Non-High Needs",429,"59.7%","79.4%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","High Needs",116,"61.2%","83.6%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Non-High Needs",280,"67.9%","90.8%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","High Needs",126,"50.8%","73.1%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Non-High Needs",78,"52.6%","78.6%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","High Needs",102,"31.4%","48.6%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Non-High Needs",78,"44.9%","64.5%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","High Needs",40,"27.5%","42.6%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Non-High Needs",40,"32.5%","49.4%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","High Needs",61,"50.8%","78.8%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Non-High Needs",37,"43.2%","76.7%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","High Needs",72,"51.4%","72.7%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Non-High Needs",216,"50.5%","70.5%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","High Needs",37,"48.6%","72.3%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","Non-High Needs",70,"45.7%","73.4%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","High Needs",278,"34.2%","53.6%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Non-High Needs",563,"43.3%","62.5%"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","High Needs",17,"*","*"
