"Smarter Balanced Growth Report, 2015-16"
"State of Connecticut, Gender"

"",,,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","Grade","Subject","Gender","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""0000000""","State of Connecticut",4,"ELA","Female",17803,2441,2493,52,"47.2%","71.1%"
"=""0000000""","State of Connecticut",4,"ELA","Male",18513,2421,2474,53,"44.2%","69.3%"
"=""0000000""","State of Connecticut",4,"Math","Female",17874,2428,2478,50,"42.0%","72.4%"
"=""0000000""","State of Connecticut",4,"Math","Male",18607,2429,2481,52,"45.3%","74.3%"
"=""0000000""","State of Connecticut",5,"ELA","Female",18290,2486,2534,47,"47.5%","70.5%"
"=""0000000""","State of Connecticut",5,"ELA","Male",18670,2464,2507,43,"40.4%","64.2%"
"=""0000000""","State of Connecticut",5,"Math","Female",18363,2469,2502,33,"43.3%","65.7%"
"=""0000000""","State of Connecticut",5,"Math","Male",18747,2472,2504,32,"44.4%","66.1%"
"=""0000000""","State of Connecticut",6,"ELA","Female",17973,2523,2551,28,"43.0%","61.6%"
"=""0000000""","State of Connecticut",6,"ELA","Male",18958,2499,2528,29,"41.3%","60.3%"
"=""0000000""","State of Connecticut",6,"Math","Female",18017,2492,2524,32,"45.3%","65.7%"
"=""0000000""","State of Connecticut",6,"Math","Male",19017,2496,2521,26,"41.5%","60.5%"
"=""0000000""","State of Connecticut",7,"ELA","Female",18454,2543,2576,32,"44.1%","62.7%"
"=""0000000""","State of Connecticut",7,"ELA","Male",19547,2519,2549,30,"40.1%","59.0%"
"=""0000000""","State of Connecticut",7,"Math","Female",18471,2517,2542,26,"42.7%","62.0%"
"=""0000000""","State of Connecticut",7,"Math","Male",19572,2512,2539,27,"45.3%","63.5%"
"=""0000000""","State of Connecticut",8,"ELA","Female",18061,2564,2593,29,"45.1%","62.7%"
"=""0000000""","State of Connecticut",8,"ELA","Male",19076,2539,2563,24,"38.9%","57.0%"
"=""0000000""","State of Connecticut",8,"Math","Female",18088,2533,2559,26,"46.3%","62.7%"
"=""0000000""","State of Connecticut",8,"Math","Male",19108,2530,2549,19,"42.3%","57.4%"

