"Smarter Balanced Growth Report, 2015-16"
"State of Connecticut, Free/Reduced Price Meal Eligibility (3-level)"

"",,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","Grade","Free/Reduced Price Meal Eligibility (3-level)","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""0000000""","State of Connecticut",4,"Eligible for Reduced Lunch",1668,2417,2468,52,"40.6%","73.3%"
"=""0000000""","State of Connecticut",4,"Eligible for Free Lunch",13381,2382,2430,48,"34.9%","66.6%"
"=""0000000""","State of Connecticut",4,"Not Eligible for Free/Reduced Lunch",21432,2459,2511,53,"49.4%","77.6%"
"=""0000000""","State of Connecticut",5,"Eligible for Reduced Lunch",1752,2455,2486,31,"38.8%","62.7%"
"=""0000000""","State of Connecticut",5,"Eligible for Free Lunch",12872,2422,2447,25,"34.3%","56.3%"
"=""0000000""","State of Connecticut",5,"Not Eligible for Free/Reduced Lunch",22486,2500,2536,37,"49.7%","71.6%"
"=""0000000""","State of Connecticut",6,"Eligible for Reduced Lunch",1836,2475,2503,28,"39.4%","60.0%"
"=""0000000""","State of Connecticut",6,"Eligible for Free Lunch",12365,2439,2458,18,"33.8%","53.0%"
"=""0000000""","State of Connecticut",6,"Not Eligible for Free/Reduced Lunch",22833,2525,2560,35,"48.9%","68.7%"
"=""0000000""","State of Connecticut",7,"Eligible for Reduced Lunch",1981,2491,2514,23,"40.2%","58.0%"
"=""0000000""","State of Connecticut",7,"Eligible for Free Lunch",12240,2452,2474,21,"35.6%","55.0%"
"=""0000000""","State of Connecticut",7,"Not Eligible for Free/Reduced Lunch",23822,2548,2577,29,"48.7%","67.2%"
"=""0000000""","State of Connecticut",8,"Eligible for Reduced Lunch",1857,2508,2527,19,"39.1%","54.9%"
"=""0000000""","State of Connecticut",8,"Eligible for Free Lunch",11955,2467,2482,15,"34.8%","50.8%"
"=""0000000""","State of Connecticut",8,"Not Eligible for Free/Reduced Lunch",23384,2567,2593,26,"49.5%","65.1%"

