"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (2-level)"

"District Code","District","School Code","School","Free/Reduced Price Meal Eligibility (2-level)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","Eligible For Lunch",462,"43.3%","65.0%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Eligible For Lunch",346,"54.3%","75.8%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Not Eligible For Lunch",65,"60.0%","77.5%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Eligible For Lunch",17,"*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Not Eligible For Lunch",110,"50.9%","77.2%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Eligible For Lunch",233,"33.5%","52.0%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Not Eligible For Lunch",82,"31.7%","50.7%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Eligible For Lunch",176,"31.8%","56.3%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Not Eligible For Lunch",68,"41.2%","67.5%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Eligible For Lunch",163,"37.4%","61.0%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Not Eligible For Lunch",78,"38.5%","63.9%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","Eligible For Lunch",88,"26.1%","48.0%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Eligible For Lunch",443,"31.6%","51.4%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Not Eligible For Lunch",253,"46.2%","62.7%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Eligible For Lunch",194,"33.0%","54.9%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Not Eligible For Lunch",140,"41.4%","63.0%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Eligible For Lunch",66,"43.9%","57.1%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Not Eligible For Lunch",127,"40.9%","59.0%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Eligible For Lunch",27,"44.4%","65.7%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Not Eligible For Lunch",491,"66.6%","82.2%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Eligible For Lunch",6,"*","*"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Not Eligible For Lunch",100,"46.0%","73.2%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Eligible For Lunch","*","*","*"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Not Eligible For Lunch","*","47.3%","67.3%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Eligible For Lunch",25,"16.0%","37.0%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Not Eligible For Lunch",491,"56.8%","76.1%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Eligible For Lunch",16,"*","*"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Not Eligible For Lunch",116,"37.1%","69.2%"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School","Not Eligible For Lunch","*","*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Eligible For Lunch",81,"38.3%","56.5%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Not Eligible For Lunch",578,"43.8%","63.5%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Eligible For Lunch",20,"35.0%","54.7%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Not Eligible For Lunch",121,"53.7%","73.3%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Eligible For Lunch",21,"42.9%","66.2%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Not Eligible For Lunch",173,"34.1%","66.5%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Eligible For Lunch",12,"*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Not Eligible For Lunch",79,"68.4%","88.5%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Eligible For Lunch",13,"*","*"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Not Eligible For Lunch",154,"57.8%","80.8%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Eligible For Lunch",135,"43.0%","63.6%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Not Eligible For Lunch",478,"57.1%","76.9%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Eligible For Lunch",87,"56.3%","79.3%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Not Eligible For Lunch",309,"68.6%","91.3%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Eligible For Lunch",112,"53.6%","76.3%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Not Eligible For Lunch",92,"48.9%","73.8%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Eligible For Lunch",96,"31.3%","47.6%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Not Eligible For Lunch",84,"44.0%","64.5%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Eligible For Lunch",36,"27.8%","42.3%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Not Eligible For Lunch",44,"31.8%","49.0%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Eligible For Lunch",57,"50.9%","78.5%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Not Eligible For Lunch",41,"43.9%","77.4%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Eligible For Lunch",49,"49.0%","69.5%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Not Eligible For Lunch",239,"51.0%","71.4%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","Eligible For Lunch",22,"54.5%","82.4%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","Not Eligible For Lunch",85,"44.7%","70.6%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Eligible For Lunch",209,"32.5%","51.5%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Not Eligible For Lunch",632,"42.9%","62.3%"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Eligible For Lunch",15,"*","*"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Not Eligible For Lunch",48,"33.3%","69.7%"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Eligible For Lunch",6,"*","*"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Not Eligible For Lunch",57,"73.7%","96.4%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Eligible For Lunch",32,"56.3%","74.9%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Not Eligible For Lunch",46,"28.3%","66.0%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Eligible For Lunch",347,"59.1%","77.1%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Not Eligible For Lunch",75,"61.3%","81.2%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","Eligible For Lunch",216,"21.8%","44.6%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","Eligible For Lunch",108,"30.6%","53.7%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","Eligible For Lunch",182,"41.8%","63.3%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","Eligible For Lunch",552,"30.6%","52.3%"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center","Eligible For Lunch",23,"13.0%","32.1%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","Eligible For Lunch",129,"23.3%","47.0%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","Eligible For Lunch",560,"33.2%","54.2%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","Eligible For Lunch",186,"31.2%","52.8%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","Eligible For Lunch",275,"38.5%","61.8%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","Eligible For Lunch",143,"17.5%","36.2%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","Eligible For Lunch",348,"25.9%","46.8%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","Eligible For Lunch",146,"9.6%","26.5%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","Eligible For Lunch",87,"29.9%","54.2%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","Eligible For Lunch",334,"32.9%","56.7%"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","Eligible For Lunch",81,"29.6%","49.7%"
