"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (2-level)"

"",,,,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","School Code","School","Grade","Free/Reduced Price Meal Eligibility (2-level)","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",4,"Eligible For Lunch",87,2407,2481,73,"56.3%","82.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",5,"Eligible For Lunch",131,2418,2467,49,"37.4%","61.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",6,"Eligible For Lunch",131,2461,2515,55,"48.9%","74.0%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",7,"Eligible For Lunch",55,2491,2535,44,"47.3%","67.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",8,"Eligible For Lunch",61,2521,2580,59,"59.0%","77.1%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"Eligible For Lunch",79,2420,2485,64,"50.6%","74.8%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"Not Eligible For Lunch",6,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"Eligible For Lunch",73,2454,2504,50,"43.8%","67.0%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"Not Eligible For Lunch",12,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"Eligible For Lunch",71,2463,2508,45,"46.5%","69.0%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"Not Eligible For Lunch",11,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,"Eligible For Lunch",67,2514,2542,28,"32.8%","54.3%"
