"Smarter Balanced Growth Report, 2015-16"
"All Districts, Race"

"District Code","District","School Code","School","Subject","Race/Ethnicity","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","ELA","American Indian or Alaska Native","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","ELA","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","ELA","White","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","ELA","Asian","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","ELA","Two or More Races","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","ELA","Hispanic/Latino of any race",108,"50.0%","71.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","ELA","Black or African American",348,"47.1%","71.4%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","Math","American Indian or Alaska Native","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","Math","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","Math","White","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","Math","Asian","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","Math","Two or More Races","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","Math","Hispanic/Latino of any race",108,"53.7%","77.0%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","Math","Black or African American",345,"39.1%","60.4%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","ELA","White","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","ELA","Two or More Races","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","ELA","Hispanic/Latino of any race",158,"43.7%","65.5%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","ELA","Black or African American",244,"43.0%","67.5%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Math","White","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Math","Two or More Races","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Math","Hispanic/Latino of any race",157,"59.2%","77.5%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Math","Black or African American",243,"51.0%","74.1%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","ELA","White",118,"50.0%","68.3%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","ELA","Asian","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","ELA","Two or More Races","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","ELA","Hispanic/Latino of any race","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","ELA","Black or African American","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Math","White",120,"50.8%","77.4%"
