"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (3-level)"

"",,,,,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","School Code","School","Grade","Subject","Free/Reduced Price Meal Eligibility (3-level)","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",4,"ELA","Eligible for Free Lunch",87,2407,2481,73,"56.3%","82.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",4,"Math","Eligible for Free Lunch",85,2427,2483,56,"44.7%","78.5%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",5,"ELA","Eligible for Free Lunch",131,2418,2467,49,"37.4%","61.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",5,"Math","Eligible for Free Lunch",130,2435,2458,23,"34.6%","51.9%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",6,"ELA","Eligible for Free Lunch",131,2461,2515,55,"48.9%","74.0%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",6,"Math","Eligible for Free Lunch",130,2429,2477,48,"53.8%","76.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",7,"ELA","Eligible for Free Lunch",55,2491,2535,44,"47.3%","67.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",7,"Math","Eligible for Free Lunch",55,2459,2472,13,"25.5%","46.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",8,"ELA","Eligible for Free Lunch",61,2521,2580,59,"59.0%","77.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",8,"Math","Eligible for Free Lunch",62,2500,2539,39,"53.2%","67.6%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"ELA","Eligible for Free Lunch",59,2397,2464,67,"49.2%","71.3%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"ELA","Not Eligible for Free/Reduced Lunch",6,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"ELA","Eligible for Reduced Lunch",20,2488,2545,56,"55.0%","84.9%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"Math","Eligible for Free Lunch",58,2414,2481,67,"58.6%","87.3%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"Math","Not Eligible for Free/Reduced Lunch",6,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"Math","Eligible for Reduced Lunch",20,2505,2552,47,"60.0%","84.5%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"ELA","Eligible for Free Lunch",64,2447,2496,49,"43.8%","66.6%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"ELA","Not Eligible for Free/Reduced Lunch",12,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"ELA","Eligible for Reduced Lunch",9,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"Math","Eligible for Free Lunch",64,2462,2492,30,"39.1%","64.8%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"Math","Not Eligible for Free/Reduced Lunch",12,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"Math","Eligible for Reduced Lunch",9,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"ELA","Eligible for Free Lunch",60,2464,2502,39,"41.7%","63.6%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"ELA","Not Eligible for Free/Reduced Lunch",11,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"ELA","Eligible for Reduced Lunch",11,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"Math","Eligible for Free Lunch",60,2452,2523,72,"71.7%","87.1%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"Math","Not Eligible for Free/Reduced Lunch",11,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"Math","Eligible for Reduced Lunch",11,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,"ELA","Eligible for Free Lunch",53,2508,2538,30,"34.0%","55.8%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,"ELA","Not Eligible for Free/Reduced Lunch",18,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,"ELA","Eligible for Reduced Lunch",14,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,"Math","Eligible for Free Lunch",53,2499,2521,22,"32.1%","55.4%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,"Math","Not Eligible for Free/Reduced Lunch",18,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,"Math","Eligible for Reduced Lunch",14,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",8,"ELA","Eligible for Free Lunch",45,2510,2549,39,"42.2%","66.3%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",8,"ELA","Not Eligible for Free/Reduced Lunch",18,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",8,"ELA","Eligible for Reduced Lunch",13,"*","*","*","*","*"
