"Smarter Balanced Growth Report, 2015-16"
"All Districts, Special Education"

"",,,,,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","School Code","School","Grade","Subject","Special Education Status (SWD)","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",4,"ELA","Special Education",7,"*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",4,"ELA","Non-Special Education",80,2416,2492,76,"60.0%","84.8%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",4,"Math","Special Education",7,"*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",4,"Math","Non-Special Education",78,2434,2492,58,"47.4%","82.2%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",5,"ELA","Special Education",13,"*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",5,"ELA","Non-Special Education",118,2428,2476,48,"38.1%","62.3%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",5,"Math","Special Education",13,"*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",5,"Math","Non-Special Education",117,2444,2466,22,"35.0%","52.4%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",6,"ELA","Special Education",16,"*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",6,"ELA","Non-Special Education",115,2470,2527,56,"50.4%","75.9%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",6,"Math","Special Education",16,"*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",6,"Math","Non-Special Education",114,2435,2488,53,"56.1%","79.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",7,"ELA","Special Education","*","*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",7,"ELA","Non-Special Education","*",2505,2544,39,"46.0%","65.5%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",7,"Math","Special Education","*","*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",7,"Math","Non-Special Education","*",2470,2484,13,"26.0%","45.6%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",8,"ELA","Special Education",6,"*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",8,"ELA","Non-Special Education",55,2533,2591,58,"61.8%","77.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",8,"Math","Special Education",7,"*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",8,"Math","Non-Special Education",55,2514,2558,43,"56.4%","70.8%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"ELA","Special Education",7,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"ELA","Non-Special Education",78,2433,2496,63,"53.8%","76.8%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"Math","Special Education",6,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"Math","Non-Special Education",78,2446,2506,61,"59.0%","86.6%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"ELA","Special Education",8,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"ELA","Non-Special Education",77,2470,2521,51,"46.8%","68.1%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"Math","Special Education",8,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"Math","Non-Special Education",77,2484,2510,26,"36.4%","60.7%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"ELA","Special Education","*","*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"ELA","Non-Special Education","*",2476,2517,41,"46.2%","67.5%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"Math","Special Education","*","*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"Math","Non-Special Education","*",2463,2540,77,"75.6%","92.0%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,"ELA","Special Education",8,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,"ELA","Non-Special Education",77,2534,2563,29,"31.2%","54.9%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,"Math","Special Education",8,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,"Math","Non-Special Education",77,2532,2563,31,"40.3%","63.5%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",8,"ELA","Special Education","*","*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",8,"ELA","Non-Special Education","*",2539,2582,43,"47.2%","70.2%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",8,"Math","Special Education","*","*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",8,"Math","Non-Special Education","*",2517,2579,62,"70.4%","84.9%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",4,"ELA","Non-Special Education",38,2486,2528,42,"44.7%","67.5%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",4,"Math","Non-Special Education",38,2464,2512,48,"34.2%","71.2%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",5,"ELA","Non-Special Education",42,2540,2580,40,"52.4%","70.5%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",5,"Math","Non-Special Education",42,2533,2573,40,"52.4%","76.1%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",6,"ELA","Special Education","*","*","*","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",6,"ELA","Non-Special Education","*",2595,2612,17,"52.5%","65.5%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",6,"Math","Special Education","*","*","*","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",6,"Math","Non-Special Education","*",2566,2609,43,"61.9%","82.4%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",7,"ELA","Special Education",33,2417,2417,0,"6.1%","29.0%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",7,"ELA","Non-Special Education",114,2488,2498,11,"21.9%","43.4%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",7,"Math","Special Education",33,2411,2417,7,"21.2%","36.0%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",7,"Math","Non-Special Education",114,2494,2510,16,"29.8%","52.6%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",8,"ELA","Special Education",23,2433,2453,21,"21.7%","46.4%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",8,"ELA","Non-Special Education",146,2523,2539,16,"31.5%","47.8%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",8,"Math","Special Education",23,2452,2454,3,"21.7%","42.3%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",8,"Math","Non-Special Education",145,2507,2522,15,"40.0%","56.0%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",4,"ELA","Special Education",10,"*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",4,"ELA","Non-Special Education",69,2421,2464,43,"31.9%","59.3%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",4,"Math","Special Education",10,"*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",4,"Math","Non-Special Education",69,2429,2457,28,"18.8%","52.4%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",5,"ELA","Special Education",9,"*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",5,"ELA","Non-Special Education",71,2448,2471,22,"16.9%","46.0%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",5,"Math","Special Education",9,"*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",5,"Math","Non-Special Education",71,2436,2451,14,"22.5%","43.3%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",6,"ELA","Special Education",14,"*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",6,"ELA","Non-Special Education",71,2484,2512,29,"35.2%","57.3%"
