"Smarter Balanced Growth Report, 2015-16"
"All Districts, ELL"

"District Code","District","English Learner Status (EL)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","ELL",14,"*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","Non-ELL",451,"47.7%","71.5%"
"=""2790013""","Amistad Academy District","ELL",24,"54.2%","68.1%"
"=""2790013""","Amistad Academy District","Non-ELL",389,"43.4%","67.1%"
"=""0010011""","Andover School District","ELL","*","*","*"
"=""0010011""","Andover School District","Non-ELL","*","48.4%","66.7%"
"=""0020011""","Ansonia School District","ELL",8,"*","*"
"=""0020011""","Ansonia School District","Non-ELL",795,"29.1%","52.0%"
"=""2440014""","Area Cooperative Educational Services","ELL",48,"27.1%","52.5%"
"=""2440014""","Area Cooperative Educational Services","Non-ELL",1075,"30.8%","51.5%"
"=""0030011""","Ashford School District","ELL","*","*","*"
"=""0030011""","Ashford School District","Non-ELL","*","38.1%","60.0%"
"=""0040011""","Avon School District","ELL",16,"*","*"
"=""0040011""","Avon School District","Non-ELL",1217,"56.2%","73.4%"
"=""0050011""","Barkhamsted School District","Non-ELL",133,"45.1%","69.9%"
"=""0070011""","Berlin School District","ELL",16,"*","*"
"=""0070011""","Berlin School District","Non-ELL",1071,"52.1%","73.1%"
"=""0080011""","Bethany School District","Non-ELL",167,"49.7%","69.7%"
"=""0090011""","Bethel School District","ELL",21,"19.0%","42.7%"
"=""0090011""","Bethel School District","Non-ELL",988,"51.9%","71.4%"
"=""0110011""","Bloomfield School District","ELL","*","*","*"
"=""0110011""","Bloomfield School District","Non-ELL","*","36.5%","60.3%"
"=""0120011""","Bolton School District","Non-ELL",289,"55.7%","75.3%"
"=""0130011""","Bozrah School District","ELL","*","*","*"
"=""0130011""","Bozrah School District","Non-ELL","*","40.6%","61.3%"
"=""0140011""","Branford School District","ELL",17,"*","*"
"=""0140011""","Branford School District","Non-ELL",1030,"43.5%","62.6%"
"=""2850013""","Bridgeport Achievement First District","ELL",45,"40.0%","60.8%"
"=""2850013""","Bridgeport Achievement First District","Non-ELL",377,"50.7%","69.8%"
"=""0150011""","Bridgeport School District","ELL",722,"27.7%","54.3%"
"=""0150011""","Bridgeport School District","Non-ELL",5874,"31.4%","54.6%"
"=""0170011""","Bristol School District","ELL",77,"36.4%","67.5%"
"=""0170011""","Bristol School District","Non-ELL",2688,"42.2%","64.2%"
"=""0180011""","Brookfield School District","ELL",14,"*","*"
"=""0180011""","Brookfield School District","Non-ELL",943,"43.6%","63.2%"
"=""0190011""","Brooklyn School District","ELL","*","*","*"
"=""0190011""","Brooklyn School District","Non-ELL","*","48.6%","68.8%"
"=""0210011""","Canaan School District","ELL","*","*","*"
"=""0210011""","Canaan School District","Non-ELL","*","56.8%","72.9%"
"=""0220011""","Canterbury School District","Non-ELL",248,"44.4%","66.9%"
"=""0230011""","Canton School District","ELL","*","*","*"
"=""0230011""","Canton School District","Non-ELL","*","51.3%","71.1%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","Non-ELL",88,"35.2%","56.8%"
"=""2410014""","Capitol Region Education Council","ELL",101,"29.7%","50.5%"
"=""2410014""","Capitol Region Education Council","Non-ELL",2438,"40.4%","61.8%"
"=""0240011""","Chaplin School District","Non-ELL",43,"55.8%","79.0%"
"=""0250011""","Cheshire School District","ELL",7,"*","*"
"=""0250011""","Cheshire School District","Non-ELL",1681,"52.8%","70.1%"
"=""0260011""","Chester School District","Non-ELL",100,"50.0%","68.6%"
"=""0270011""","Clinton School District","ELL",11,"*","*"
"=""0270011""","Clinton School District","Non-ELL",714,"43.3%","63.4%"
"=""0280011""","Colchester School District","ELL",10,"*","*"
"=""0280011""","Colchester School District","Non-ELL",925,"48.5%","69.1%"
"=""0290011""","Colebrook School District","Non-ELL",31,"61.3%","81.5%"
"=""0300011""","Columbia School District","Non-ELL",228,"47.4%","67.3%"
"=""2430014""","Cooperative Educational Services","ELL","*","*","*"
"=""2430014""","Cooperative Educational Services","Non-ELL","*","35.8%","58.5%"
"=""0310011""","Cornwall School District","Non-ELL",45,"44.4%","64.7%"
"=""0320011""","Coventry School District","Non-ELL",606,"54.6%","76.6%"
"=""0330011""","Cromwell School District","ELL",14,"*","*"
"=""0330011""","Cromwell School District","Non-ELL",739,"44.2%","66.4%"
"=""0340011""","Danbury School District","ELL",557,"35.2%","63.2%"
"=""0340011""","Danbury School District","Non-ELL",3119,"42.4%","64.0%"
"=""0350011""","Darien School District","ELL","*","*","*"
"=""0350011""","Darien School District","Non-ELL","*","59.3%","76.3%"
"=""0360011""","Deep River School District","ELL","*","*","*"
"=""0360011""","Deep River School District","Non-ELL","*","48.3%","67.2%"
"=""0370011""","Derby School District","ELL",6,"*","*"
"=""0370011""","Derby School District","Non-ELL",514,"31.9%","53.1%"
"=""0400011""","East Granby School District","ELL","*","*","*"
"=""0400011""","East Granby School District","Non-ELL","*","40.5%","59.7%"
"=""0410011""","East Haddam School District","Non-ELL",394,"48.2%","64.3%"
"=""0420011""","East Hampton School District","ELL","*","*","*"
"=""0420011""","East Hampton School District","Non-ELL","*","34.5%","53.3%"
"=""0430011""","East Hartford School District","ELL",181,"26.5%","53.0%"
"=""0430011""","East Hartford School District","Non-ELL",2011,"36.8%","60.1%"
"=""0440011""","East Haven School District","ELL",76,"40.8%","67.9%"
"=""0440011""","East Haven School District","Non-ELL",983,"42.6%","67.5%"
"=""0450011""","East Lyme School District","ELL",11,"*","*"
"=""0450011""","East Lyme School District","Non-ELL",950,"47.2%","64.9%"
"=""0470011""","East Windsor School District","ELL",9,"*","*"
"=""0470011""","East Windsor School District","Non-ELL",336,"33.6%","58.5%"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","ELL","*","*","*"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Non-ELL","*","17.2%","34.6%"
"=""0390011""","Eastford School District","Non-ELL",67,"37.3%","59.0%"
"=""0460011""","Easton School District","ELL","*","*","*"
"=""0460011""","Easton School District","Non-ELL","*","58.0%","76.7%"
"=""2420014""","EdAdvance","Non-ELL","*","*","*"
"=""0480011""","Ellington School District","ELL",6,"*","*"
"=""0480011""","Ellington School District","Non-ELL",1007,"45.0%","65.0%"
"=""2890013""","Elm City College Preparatory School District","ELL",9,"*","*"
"=""2890013""","Elm City College Preparatory School District","Non-ELL",301,"54.8%","75.8%"
"=""0490011""","Enfield School District","ELL",20,"35.0%","61.1%"
"=""0490011""","Enfield School District","Non-ELL",1694,"45.0%","66.9%"
"=""0500011""","Essex School District","ELL","*","*","*"
"=""0500011""","Essex School District","Non-ELL","*","51.7%","70.3%"
"=""0510011""","Fairfield School District","ELL",56,"33.9%","64.1%"
"=""0510011""","Fairfield School District","Non-ELL",3748,"50.5%","70.1%"
"=""0520011""","Farmington School District","ELL",15,"*","*"
"=""0520011""","Farmington School District","Non-ELL",1497,"53.7%","71.9%"
"=""0530011""","Franklin School District","Non-ELL",88,"35.2%","53.3%"
"=""0540011""","Glastonbury School District","ELL",11,"*","*"
"=""0540011""","Glastonbury School District","Non-ELL",2304,"50.8%","68.3%"
"=""0560011""","Granby School District","ELL","*","*","*"
"=""0560011""","Granby School District","Non-ELL","*","58.6%","76.9%"
"=""2940013""","Great Oaks Charter School District","ELL",28,"50.0%","64.7%"
"=""2940013""","Great Oaks Charter School District","Non-ELL",178,"38.8%","59.2%"
"=""0570011""","Greenwich School District","ELL",80,"36.3%","62.7%"
"=""0570011""","Greenwich School District","Non-ELL",2945,"54.4%","72.0%"
"=""0580011""","Griswold School District","ELL","*","*","*"
"=""0580011""","Griswold School District","Non-ELL","*","42.2%","63.7%"
"=""0590011""","Groton School District","ELL",31,"29.0%","57.6%"
"=""0590011""","Groton School District","Non-ELL",1372,"41.3%","61.2%"
"=""0600011""","Guilford School District","ELL",13,"*","*"
"=""0600011""","Guilford School District","Non-ELL",1290,"54.1%","72.2%"
"=""0620011""","Hamden School District","ELL",55,"32.7%","61.6%"
"=""0620011""","Hamden School District","Non-ELL",1780,"37.4%","57.2%"
"=""0630011""","Hampton School District","Non-ELL",28,"53.6%","78.8%"
"=""0640011""","Hartford School District","ELL",947,"27.8%","52.2%"
"=""0640011""","Hartford School District","Non-ELL",5861,"32.9%","54.8%"
"=""0650011""","Hartland School District","Non-ELL",105,"57.1%","79.7%"
"=""0670011""","Hebron School District","Non-ELL",341,"44.9%","69.0%"
"=""2860013""","Highville Charter School District","Non-ELL",181,"32.6%","54.8%"
"=""2640013""","Integrated Day Charter School District","ELL",6,"*","*"
"=""2640013""","Integrated Day Charter School District","Non-ELL",151,"33.1%","53.4%"
"=""2650013""","Interdistrict School for Arts and Comm District","ELL",26,"38.5%","52.2%"
"=""2650013""","Interdistrict School for Arts and Comm District","Non-ELL",228,"32.0%","46.9%"
"=""2610013""","Jumoke Academy District","Non-ELL",325,"34.8%","54.5%"
"=""0680011""","Kent School District","ELL","*","*","*"
"=""0680011""","Kent School District","Non-ELL","*","48.0%","62.9%"
"=""0690011""","Killingly School District","ELL",21,"33.3%","68.6%"
"=""0690011""","Killingly School District","Non-ELL",752,"49.1%","70.1%"
"=""2450014""","Learn","ELL",34,"41.2%","65.5%"
"=""2450014""","Learn","Non-ELL",262,"45.8%","71.6%"
"=""0710011""","Lebanon School District","Non-ELL",337,"50.4%","67.1%"
"=""0720011""","Ledyard School District","ELL",8,"*","*"
"=""0720011""","Ledyard School District","Non-ELL",768,"42.2%","62.1%"
"=""0730011""","Lisbon School District","ELL","*","*","*"
"=""0730011""","Lisbon School District","Non-ELL","*","37.1%","57.0%"
"=""0740011""","Litchfield School District","Non-ELL",372,"56.7%","75.4%"
"=""0760011""","Madison School District","ELL","*","*","*"
"=""0760011""","Madison School District","Non-ELL","*","37.3%","54.6%"
"=""0770011""","Manchester School District","ELL",68,"33.8%","59.8%"
"=""0770011""","Manchester School District","Non-ELL",1894,"35.0%","57.2%"
"=""0780011""","Mansfield School District","ELL","*","*","*"
"=""0780011""","Mansfield School District","Non-ELL","*","51.3%","68.5%"
"=""0790011""","Marlborough School District","Non-ELL",253,"56.1%","77.4%"
"=""0800011""","Meriden School District","ELL",270,"32.2%","62.3%"
"=""0800011""","Meriden School District","Non-ELL",2180,"40.1%","61.7%"
"=""0830011""","Middletown School District","ELL",29,"31.0%","50.7%"
"=""0830011""","Middletown School District","Non-ELL",1577,"38.2%","58.7%"
"=""0840011""","Milford School District","ELL",25,"32.0%","63.3%"
"=""0840011""","Milford School District","Non-ELL",2166,"48.3%","68.4%"
"=""0850011""","Monroe School District","ELL","*","*","*"
"=""0850011""","Monroe School District","Non-ELL","*","48.9%","64.5%"
"=""0860011""","Montville School District","ELL",15,"*","*"
"=""0860011""","Montville School District","Non-ELL",817,"44.6%","65.3%"
"=""0880011""","Naugatuck School District","ELL",49,"34.7%","59.4%"
"=""0880011""","Naugatuck School District","Non-ELL",1484,"42.0%","64.7%"
"=""2800013""","New Beginnings Inc Family Academy District","Non-ELL",169,"34.3%","56.8%"
"=""0890011""","New Britain School District","ELL",430,"26.5%","52.5%"
"=""0890011""","New Britain School District","Non-ELL",2688,"29.3%","51.5%"
"=""0900011""","New Canaan School District","ELL",8,"*","*"
"=""0900011""","New Canaan School District","Non-ELL",1548,"53.0%","68.7%"
"=""0910011""","New Fairfield School District","ELL",11,"*","*"
"=""0910011""","New Fairfield School District","Non-ELL",784,"51.1%","71.2%"
"=""0920011""","New Hartford School District","Non-ELL",197,"43.1%","66.4%"
"=""0930011""","New Haven School District","ELL",971,"36.3%","63.1%"
"=""0930011""","New Haven School District","Non-ELL",5754,"39.3%","63.4%"
"=""0950011""","New London School District","ELL",199,"27.1%","53.1%"
"=""0950011""","New London School District","Non-ELL",794,"33.0%","54.1%"
"=""0960011""","New Milford School District","ELL",37,"45.9%","64.8%"
"=""0960011""","New Milford School District","Non-ELL",1432,"40.2%","61.0%"
"=""0940011""","Newington School District","ELL",24,"25.0%","48.2%"
"=""0940011""","Newington School District","Non-ELL",1497,"37.5%","58.4%"
"=""0970011""","Newtown School District","ELL","*","*","*"
"=""0970011""","Newtown School District","Non-ELL","*","45.9%","64.0%"
"=""0980011""","Norfolk School District","Non-ELL",44,"45.5%","65.8%"
"=""0990011""","North Branford School District","ELL",6,"*","*"
"=""0990011""","North Branford School District","Non-ELL",699,"43.2%","64.2%"
"=""1000011""","North Canaan School District","ELL","*","*","*"
"=""1000011""","North Canaan School District","Non-ELL","*","57.8%","77.1%"
"=""1010011""","North Haven School District","ELL",13,"*","*"
"=""1010011""","North Haven School District","Non-ELL",1115,"67.4%","87.5%"
"=""1020011""","North Stonington School District","Non-ELL",264,"49.2%","66.0%"
"=""1030011""","Norwalk School District","ELL",435,"26.7%","54.7%"
"=""1030011""","Norwalk School District","Non-ELL",3414,"36.8%","57.7%"
"=""1040011""","Norwich School District","ELL",176,"36.4%","62.1%"
"=""1040011""","Norwich School District","Non-ELL",1453,"38.1%","60.2%"
"=""2630013""","Odyssey Community School District","ELL","*","*","*"
"=""2630013""","Odyssey Community School District","Non-ELL","*","36.6%","62.0%"
"=""1060011""","Old Saybrook School District","ELL",6,"*","*"
"=""1060011""","Old Saybrook School District","Non-ELL",495,"45.3%","65.1%"
"=""1070011""","Orange School District","ELL","*","*","*"
"=""1070011""","Orange School District","Non-ELL","*","53.8%","73.9%"
"=""1080011""","Oxford School District","ELL",11,"*","*"
"=""1080011""","Oxford School District","Non-ELL",765,"39.5%","57.3%"
"=""2830013""","Park City Prep Charter School District","ELL","*","*","*"
"=""2830013""","Park City Prep Charter School District","Non-ELL","*","46.2%","70.6%"
"=""1090011""","Plainfield School District","ELL",6,"*","*"
"=""1090011""","Plainfield School District","Non-ELL",796,"47.7%","70.7%"
"=""1100011""","Plainville School District","ELL",27,"33.3%","64.4%"
"=""1100011""","Plainville School District","Non-ELL",829,"43.2%","65.8%"
"=""1110011""","Plymouth School District","ELL","*","*","*"
"=""1110011""","Plymouth School District","Non-ELL","*","43.9%","64.0%"
"=""1120011""","Pomfret School District","ELL","*","*","*"
"=""1120011""","Pomfret School District","Non-ELL","*","51.4%","70.2%"
"=""1130011""","Portland School District","ELL","*","*","*"
"=""1130011""","Portland School District","Non-ELL","*","48.9%","68.0%"
"=""1140011""","Preston School District","ELL","*","*","*"
"=""1140011""","Preston School District","Non-ELL","*","36.8%","55.4%"
"=""1160011""","Putnam School District","ELL",7,"*","*"
"=""1160011""","Putnam School District","Non-ELL",388,"43.8%","64.0%"
"=""1170011""","Redding School District","ELL","*","*","*"
"=""1170011""","Redding School District","Non-ELL","*","51.6%","69.1%"
"=""2010012""","Regional School District 01","Non-ELL","*","*","*"
"=""2040012""","Regional School District 04","Non-ELL",300,"42.7%","57.5%"
"=""2050012""","Regional School District 05","ELL","*","*","*"
"=""2050012""","Regional School District 05","Non-ELL","*","50.8%","69.2%"
"=""2060012""","Regional School District 06","ELL","*","*","*"
"=""2060012""","Regional School District 06","Non-ELL","*","45.7%","63.4%"
"=""2070012""","Regional School District 07","Non-ELL",289,"47.1%","63.7%"
"=""2080012""","Regional School District 08","Non-ELL",549,"36.8%","53.8%"
"=""2100012""","Regional School District 10","ELL",9,"*","*"
"=""2100012""","Regional School District 10","Non-ELL",902,"42.9%","63.1%"
"=""2110012""","Regional School District 11","Non-ELL",82,"47.6%","65.3%"
"=""2120012""","Regional School District 12","ELL","*","*","*"
"=""2120012""","Regional School District 12","Non-ELL","*","54.2%","75.6%"
"=""2130012""","Regional School District 13","Non-ELL",670,"47.3%","69.3%"
"=""2140012""","Regional School District 14","ELL",8,"*","*"
"=""2140012""","Regional School District 14","Non-ELL",535,"39.1%","60.3%"
"=""2150012""","Regional School District 15","ELL","*","*","*"
"=""2150012""","Regional School District 15","Non-ELL","*","51.4%","71.0%"
"=""2160012""","Regional School District 16","ELL",8,"*","*"
"=""2160012""","Regional School District 16","Non-ELL",790,"43.8%","65.9%"
"=""2170012""","Regional School District 17","ELL","*","*","*"
"=""2170012""","Regional School District 17","Non-ELL","*","51.2%","69.7%"
"=""2180012""","Regional School District 18","ELL","*","*","*"
"=""2180012""","Regional School District 18","Non-ELL","*","51.9%","69.5%"
"=""1180011""","Ridgefield School District","ELL","*","*","*"
"=""1180011""","Ridgefield School District","Non-ELL","*","51.9%","68.4%"
"=""1190011""","Rocky Hill School District","ELL",26,"46.2%","70.4%"
"=""1190011""","Rocky Hill School District","Non-ELL",860,"44.1%","62.4%"
"=""1210011""","Salem School District","Non-ELL",195,"58.5%","78.7%"
"=""1220011""","Salisbury School District","Non-ELL",125,"47.2%","62.4%"
"=""1230011""","Scotland School District","Non-ELL",44,"61.4%","78.3%"
"=""1240011""","Seymour School District","ELL",11,"*","*"
"=""1240011""","Seymour School District","Non-ELL",845,"38.0%","57.2%"
"=""1250011""","Sharon School District","Non-ELL",68,"44.1%","66.0%"
"=""1260011""","Shelton School District","ELL",38,"23.7%","60.2%"
"=""1260011""","Shelton School District","Non-ELL",1800,"50.8%","69.4%"
"=""1270011""","Sherman School District","ELL","*","*","*"
"=""1270011""","Sherman School District","Non-ELL","*","48.0%","70.0%"
"=""2700013""","Side By Side Charter School District","ELL","*","*","*"
"=""2700013""","Side By Side Charter School District","Non-ELL","*","40.0%","60.7%"
"=""1280011""","Simsbury School District","ELL",7,"*","*"
"=""1280011""","Simsbury School District","Non-ELL",1547,"56.1%","74.2%"
"=""1290011""","Somers School District","Non-ELL",536,"46.8%","66.6%"
"=""1320011""","South Windsor School District","ELL",24,"45.8%","71.6%"
"=""1320011""","South Windsor School District","Non-ELL",1488,"49.7%","67.8%"
"=""1310011""","Southington School District","ELL",12,"*","*"
"=""1310011""","Southington School District","Non-ELL",2492,"39.6%","59.5%"
"=""1330011""","Sprague School District","Non-ELL",164,"42.7%","61.8%"
"=""1340011""","Stafford School District","ELL","*","*","*"
"=""1340011""","Stafford School District","Non-ELL","*","44.9%","66.2%"
"=""1350011""","Stamford School District","ELL",543,"33.1%","59.7%"
"=""1350011""","Stamford School District","Non-ELL",4695,"42.6%","63.4%"
"=""0000000""","State of Connecticut","ELL",8814,"32.4%","58.6%"
"=""0000000""","State of Connecticut","Non-ELL",176531,"43.7%","64.0%"
"=""1360011""","Sterling School District","Non-ELL",227,"41.4%","64.4%"
"=""1370011""","Stonington School District","ELL","*","*","*"
"=""1370011""","Stonington School District","Non-ELL","*","45.3%","61.6%"
"=""1380011""","Stratford School District","ELL",94,"33.0%","63.9%"
"=""1380011""","Stratford School District","Non-ELL",2448,"39.5%","60.4%"
"=""1390011""","Suffield School District","ELL","*","*","*"
"=""1390011""","Suffield School District","Non-ELL","*","43.4%","61.2%"
"=""2690013""","The Bridge Academy District","ELL","*","*","*"
"=""2690013""","The Bridge Academy District","Non-ELL","*","25.0%","44.3%"
"=""9020022""","The Gilbert School District","ELL","*","*","*"
"=""9020022""","The Gilbert School District","Non-ELL","*","27.7%","44.3%"
"=""1400011""","Thomaston School District","ELL","*","*","*"
"=""1400011""","Thomaston School District","Non-ELL","*","39.7%","64.3%"
"=""1410011""","Thompson School District","ELL","*","*","*"
"=""1410011""","Thompson School District","Non-ELL","*","25.1%","44.5%"
"=""1420011""","Tolland School District","ELL","*","*","*"
"=""1420011""","Tolland School District","Non-ELL","*","45.9%","64.7%"
"=""1430011""","Torrington School District","ELL",80,"28.8%","56.0%"
"=""1430011""","Torrington School District","Non-ELL",1421,"31.0%","51.3%"
"=""2780013""","Trailblazers Academy District","ELL","*","*","*"
"=""2780013""","Trailblazers Academy District","Non-ELL","*","21.2%","41.3%"
"=""1440011""","Trumbull School District","ELL",15,"*","*"
"=""1440011""","Trumbull School District","Non-ELL",2326,"68.9%","86.7%"
"=""3470015""","Unified School District #2","Non-ELL","*","*","*"
"=""1450011""","Union School District","Non-ELL",39,"46.2%","63.9%"
"=""1460011""","Vernon School District","ELL",22,"31.8%","54.2%"
"=""1460011""","Vernon School District","Non-ELL",1053,"40.5%","60.8%"
"=""1470011""","Voluntown School District","Non-ELL",144,"36.8%","58.4%"
"=""1480011""","Wallingford School District","ELL",92,"30.4%","58.2%"
"=""1480011""","Wallingford School District","Non-ELL",2073,"45.0%","66.2%"
"=""1510011""","Waterbury School District","ELL",708,"31.8%","56.9%"
"=""1510011""","Waterbury School District","Non-ELL",5589,"33.4%","57.0%"
"=""1520011""","Waterford School District","ELL",12,"*","*"
"=""1520011""","Waterford School District","Non-ELL",956,"44.2%","63.8%"
"=""1530011""","Watertown School District","ELL",18,"*","*"
"=""1530011""","Watertown School District","Non-ELL",1027,"46.0%","68.0%"
"=""1550011""","West Hartford School District","ELL",124,"34.7%","58.2%"
"=""1550011""","West Hartford School District","Non-ELL",3374,"44.7%","62.6%"
"=""1560011""","West Haven School District","ELL",171,"32.7%","56.1%"
"=""1560011""","West Haven School District","Non-ELL",1832,"38.9%","61.6%"
"=""1540011""","Westbrook School District","ELL",7,"*","*"
"=""1540011""","Westbrook School District","Non-ELL",251,"51.0%","71.5%"
"=""1570011""","Weston School District","ELL","*","*","*"
"=""1570011""","Weston School District","Non-ELL","*","49.1%","68.9%"
"=""1580011""","Westport School District","ELL","*","*","*"
"=""1580011""","Westport School District","Non-ELL","*","46.8%","63.8%"
"=""1590011""","Wethersfield School District","ELL",74,"51.4%","73.1%"
"=""1590011""","Wethersfield School District","Non-ELL",1209,"55.3%","74.1%"
"=""1600011""","Willington School District","ELL","*","*","*"
"=""1600011""","Willington School District","Non-ELL","*","47.9%","69.5%"
"=""1610011""","Wilton School District","ELL","*","*","*"
"=""1610011""","Wilton School District","Non-ELL","*","56.2%","74.6%"
"=""1620011""","Winchester School District","ELL",9,"*","*"
"=""1620011""","Winchester School District","Non-ELL",208,"40.4%","63.3%"
"=""1630011""","Windham School District","ELL",245,"36.7%","61.4%"
"=""1630011""","Windham School District","Non-ELL",884,"45.8%","68.5%"
"=""1650011""","Windsor Locks School District","ELL",18,"*","*"
"=""1650011""","Windsor Locks School District","Non-ELL",564,"44.0%","67.0%"
"=""1640011""","Windsor School District","ELL",23,"34.8%","47.7%"
"=""1640011""","Windsor School District","Non-ELL",1001,"35.4%","56.1%"
"=""1660011""","Wolcott School District","ELL",8,"*","*"
"=""1660011""","Wolcott School District","Non-ELL",891,"44.6%","64.1%"
"=""1670011""","Woodbridge School District","ELL","*","*","*"
"=""1670011""","Woodbridge School District","Non-ELL","*","64.2%","82.0%"
"=""1690011""","Woodstock School District","Non-ELL",457,"42.2%","60.6%"

