"Smarter Balanced Growth Report, 2015-16"
"All Districts, Special Education"

"",,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","Grade","Special Education Status (SWD)","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District",4,"Special Education",7,"*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District",4,"Non-Special Education",80,2416,2492,76,"60.0%","84.8%"
"=""2880013""","Achievement First Hartford Academy Inc. District",5,"Special Education",13,"*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District",5,"Non-Special Education",118,2428,2476,48,"38.1%","62.3%"
"=""2880013""","Achievement First Hartford Academy Inc. District",6,"Special Education",16,"*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District",6,"Non-Special Education",115,2470,2527,56,"50.4%","75.9%"
"=""2880013""","Achievement First Hartford Academy Inc. District",7,"Special Education","*","*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District",7,"Non-Special Education","*",2505,2544,39,"46.0%","65.5%"
"=""2880013""","Achievement First Hartford Academy Inc. District",8,"Special Education",6,"*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District",8,"Non-Special Education",55,2533,2591,58,"61.8%","77.7%"
"=""2790013""","Amistad Academy District",4,"Special Education",7,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",4,"Non-Special Education",78,2433,2496,63,"53.8%","76.8%"
"=""2790013""","Amistad Academy District",5,"Special Education",8,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",5,"Non-Special Education",77,2470,2521,51,"46.8%","68.1%"
"=""2790013""","Amistad Academy District",6,"Special Education","*","*","*","*","*","*"
"=""2790013""","Amistad Academy District",6,"Non-Special Education","*",2476,2517,41,"46.2%","67.5%"
"=""2790013""","Amistad Academy District",7,"Special Education",8,"*","*","*","*","*"
