"Smarter Balanced Growth Report, 2015-16"
"All Districts, Special Education"

"District Code","District","Special Education Status (SWD)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","Special Education",47,"34.0%","62.4%"
"=""2880013""","Achievement First Hartford Academy Inc. District","Non-Special Education",418,"49.8%","72.8%"
"=""2790013""","Amistad Academy District","Special Education",31,"32.3%","63.3%"
"=""2790013""","Amistad Academy District","Non-Special Education",382,"45.0%","67.5%"
"=""0010011""","Andover School District","Special Education","*","*","*"
"=""0010011""","Andover School District","Non-Special Education","*","50.0%","67.9%"
"=""0020011""","Ansonia School District","Special Education",130,"20.8%","48.1%"
"=""0020011""","Ansonia School District","Non-Special Education",673,"30.5%","52.7%"
"=""2440014""","Area Cooperative Educational Services","Special Education",212,"24.1%","44.7%"
"=""2440014""","Area Cooperative Educational Services","Non-Special Education",911,"32.2%","53.1%"
"=""0030011""","Ashford School District","Special Education",22,"22.7%","47.3%"
"=""0030011""","Ashford School District","Non-Special Education",173,"39.9%","61.2%"
"=""0040011""","Avon School District","Special Education",96,"39.6%","59.3%"
"=""0040011""","Avon School District","Non-Special Education",1137,"57.3%","74.4%"
"=""0050011""","Barkhamsted School District","Special Education",21,"23.8%","58.1%"
"=""0050011""","Barkhamsted School District","Non-Special Education",112,"49.1%","72.1%"
"=""0070011""","Berlin School District","Special Education",122,"46.7%","69.2%"
"=""0070011""","Berlin School District","Non-Special Education",965,"52.4%","73.4%"
"=""0080011""","Bethany School District","Special Education",24,"33.3%","64.5%"
"=""0080011""","Bethany School District","Non-Special Education",143,"52.4%","70.6%"
"=""0090011""","Bethel School District","Special Education",102,"39.2%","61.3%"
"=""0090011""","Bethel School District","Non-Special Education",907,"52.6%","71.9%"
"=""0110011""","Bloomfield School District","Special Education",83,"26.5%","57.3%"
"=""0110011""","Bloomfield School District","Non-Special Education",480,"38.1%","60.8%"
"=""0120011""","Bolton School District","Special Education",35,"25.7%","51.8%"
"=""0120011""","Bolton School District","Non-Special Education",254,"59.8%","78.5%"
"=""0130011""","Bozrah School District","Special Education",17,"*","*"
"=""0130011""","Bozrah School District","Non-Special Education",90,"45.6%","66.4%"
"=""0140011""","Branford School District","Special Education",122,"33.6%","56.7%"
"=""0140011""","Branford School District","Non-Special Education",925,"45.2%","63.7%"
"=""2850013""","Bridgeport Achievement First District","Special Education",38,"47.4%","71.6%"
"=""2850013""","Bridgeport Achievement First District","Non-Special Education",384,"49.7%","68.6%"
"=""0150011""","Bridgeport School District","Special Education",945,"23.1%","45.9%"
"=""0150011""","Bridgeport School District","Non-Special Education",5651,"32.3%","56.1%"
"=""0170011""","Bristol School District","Special Education",491,"34.0%","58.0%"
"=""0170011""","Bristol School District","Non-Special Education",2274,"43.8%","65.6%"
