"Smarter Balanced Growth Report, 2015-16"
"All Districts, Gender"

"District Code","District","Gender","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","Male",229,"45.9%","64.5%"
"=""2880013""","Achievement First Hartford Academy Inc. District","Female",233,"40.8%","65.6%"
"=""2790013""","Amistad Academy District","Male",209,"52.6%","74.9%"
"=""2790013""","Amistad Academy District","Female",202,"57.9%","77.2%"
"=""0010011""","Andover School District","Male",67,"52.2%","77.5%"
"=""0010011""","Andover School District","Female",60,"46.7%","73.7%"
"=""0020011""","Ansonia School District","Male",403,"38.5%","59.2%"
"=""0020011""","Ansonia School District","Female",400,"31.3%","55.3%"
"=""2440014""","Area Cooperative Educational Services","Male",607,"32.9%","52.4%"
"=""2440014""","Area Cooperative Educational Services","Female",512,"39.5%","59.5%"
"=""0030011""","Ashford School District","Male",96,"43.8%","61.4%"
"=""0030011""","Ashford School District","Female",97,"40.2%","55.3%"
"=""0040011""","Avon School District","Male",635,"60.3%","76.6%"
"=""0040011""","Avon School District","Female",603,"54.6%","75.7%"
"=""0050011""","Barkhamsted School District","Male",66,"31.8%","67.1%"
"=""0050011""","Barkhamsted School District","Female",67,"37.3%","65.7%"
"=""0070011""","Berlin School District","Male",597,"44.4%","65.6%"
"=""0070011""","Berlin School District","Female",489,"44.8%","67.4%"
"=""0080011""","Bethany School District","Male",91,"47.3%","70.5%"
"=""0080011""","Bethany School District","Female",76,"65.8%","88.4%"
"=""0090011""","Bethel School District","Male",516,"59.5%","79.1%"
"=""0090011""","Bethel School District","Female",493,"57.8%","80.5%"
"=""0110011""","Bloomfield School District","Male",285,"42.5%","66.0%"
"=""0110011""","Bloomfield School District","Female",280,"44.3%","64.9%"
"=""0120011""","Bolton School District","Male",145,"49.0%","69.0%"
"=""0120011""","Bolton School District","Female",144,"52.1%","72.9%"
"=""0130011""","Bozrah School District","Male",51,"51.0%","70.9%"
"=""0130011""","Bozrah School District","Female",56,"42.9%","74.9%"
"=""0140011""","Branford School District","Male",524,"42.9%","63.2%"
"=""0140011""","Branford School District","Female",522,"40.4%","62.9%"
"=""2850013""","Bridgeport Achievement First District","Male",210,"58.6%","76.1%"
"=""2850013""","Bridgeport Achievement First District","Female",212,"60.4%","79.6%"
"=""0150011""","Bridgeport School District","Male",3470,"28.8%","50.3%"
"=""0150011""","Bridgeport School District","Female",3249,"29.5%","51.5%"
"=""0170011""","Bristol School District","Male",1427,"43.3%","65.3%"
"=""0170011""","Bristol School District","Female",1355,"42.7%","66.0%"
"=""0180011""","Brookfield School District","Male",490,"46.3%","68.8%"
"=""0180011""","Brookfield School District","Female",467,"45.0%","67.1%"
"=""0190011""","Brooklyn School District","Male",205,"35.1%","56.4%"
"=""0190011""","Brooklyn School District","Female",218,"41.7%","61.1%"
"=""0210011""","Canaan School District","Male",18,"*","*"
"=""0210011""","Canaan School District","Female",21,"33.3%","58.6%"
"=""0220011""","Canterbury School District","Male",140,"45.7%","65.4%"
"=""0220011""","Canterbury School District","Female",108,"42.6%","70.6%"
"=""0230011""","Canton School District","Male",319,"52.7%","74.6%"
"=""0230011""","Canton School District","Female",325,"57.5%","78.4%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","Male",48,"10.4%","24.7%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","Female",39,"17.9%","40.1%"
"=""2410014""","Capitol Region Education Council","Male",1338,"36.2%","56.2%"
"=""2410014""","Capitol Region Education Council","Female",1174,"38.6%","61.0%"
"=""0240011""","Chaplin School District","Male",22,"27.3%","39.7%"
"=""0240011""","Chaplin School District","Female",20,"35.0%","48.3%"
"=""0250011""","Cheshire School District","Male",815,"52.4%","71.3%"
"=""0250011""","Cheshire School District","Female",874,"53.8%","74.4%"
"=""0260011""","Chester School District","Male",38,"60.5%","75.6%"
"=""0260011""","Chester School District","Female",62,"51.6%","73.7%"
"=""0270011""","Clinton School District","Male",372,"49.7%","69.4%"
"=""0270011""","Clinton School District","Female",355,"47.3%","70.2%"
"=""0280011""","Colchester School District","Male",478,"40.6%","59.0%"
"=""0280011""","Colchester School District","Female",457,"44.6%","64.9%"
"=""0290011""","Colebrook School District","Male",13,"*","*"
"=""0290011""","Colebrook School District","Female",18,"*","*"
"=""0300011""","Columbia School District","Male",112,"35.7%","61.5%"
"=""0300011""","Columbia School District","Female",115,"39.1%","60.2%"
"=""2430014""","Cooperative Educational Services","Male",156,"38.5%","58.0%"
"=""2430014""","Cooperative Educational Services","Female",112,"36.6%","57.9%"
"=""0310011""","Cornwall School District","Male",29,"48.3%","64.9%"
"=""0310011""","Cornwall School District","Female",16,"*","*"
"=""0320011""","Coventry School District","Male",287,"52.3%","73.5%"
"=""0320011""","Coventry School District","Female",318,"51.9%","77.2%"
"=""0330011""","Cromwell School District","Male",393,"39.2%","60.5%"
"=""0330011""","Cromwell School District","Female",359,"36.5%","57.3%"
"=""0340011""","Danbury School District","Male",1852,"43.3%","64.6%"
"=""0340011""","Danbury School District","Female",1882,"42.3%","64.3%"
"=""0350011""","Darien School District","Male",935,"71.0%","87.9%"
"=""0350011""","Darien School District","Female",874,"64.9%","84.1%"
"=""0360011""","Deep River School District","Male",70,"45.7%","68.4%"
"=""0360011""","Deep River School District","Female",76,"55.3%","77.3%"
"=""0370011""","Derby School District","Male",266,"23.3%","44.6%"
"=""0370011""","Derby School District","Female",254,"22.4%","45.8%"
"=""0400011""","East Granby School District","Male",158,"44.3%","64.1%"
"=""0400011""","East Granby School District","Female",152,"56.6%","77.4%"
"=""0410011""","East Haddam School District","Male",212,"34.0%","52.9%"
"=""0410011""","East Haddam School District","Female",180,"30.6%","51.8%"
"=""0420011""","East Hampton School District","Male",347,"36.3%","54.9%"
"=""0420011""","East Hampton School District","Female",297,"32.7%","55.5%"
"=""0430011""","East Hartford School District","Male",1134,"24.7%","45.7%"
"=""0430011""","East Hartford School District","Female",1061,"28.9%","50.5%"
"=""0440011""","East Haven School District","Male",524,"36.6%","59.4%"
"=""0440011""","East Haven School District","Female",535,"38.7%","62.5%"
"=""0450011""","East Lyme School District","Male",497,"50.3%","70.7%"
"=""0450011""","East Lyme School District","Female",460,"50.4%","70.7%"
"=""0470011""","East Windsor School District","Male",184,"35.3%","57.8%"
"=""0470011""","East Windsor School District","Female",163,"30.1%","54.9%"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Male","*","25.0%","41.4%"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Female","*","*","*"
"=""0390011""","Eastford School District","Male",36,"52.8%","70.8%"
"=""0390011""","Eastford School District","Female",31,"41.9%","66.1%"
"=""0460011""","Easton School District","Male",264,"63.3%","84.0%"
"=""0460011""","Easton School District","Female",232,"70.3%","88.6%"
"=""2420014""","EdAdvance","Male","*","*","*"
"=""0480011""","Ellington School District","Male",523,"48.8%","70.1%"
"=""0480011""","Ellington School District","Female",491,"46.2%","69.3%"
