"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (2-level)"

"District Code","District","Free/Reduced Price Meal Eligibility (2-level)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","Eligible For Lunch",465,"48.2%","71.7%"
"=""2790013""","Amistad Academy District","Eligible For Lunch",348,"43.1%","66.2%"
"=""2790013""","Amistad Academy District","Not Eligible For Lunch",65,"49.2%","72.5%"
"=""0010011""","Andover School District","Eligible For Lunch",17,"*","*"
"=""0010011""","Andover School District","Not Eligible For Lunch",108,"52.8%","72.4%"
"=""0020011""","Ansonia School District","Eligible For Lunch",572,"26.9%","50.1%"
"=""0020011""","Ansonia School District","Not Eligible For Lunch",231,"33.8%","56.6%"
"=""2440014""","Area Cooperative Educational Services","Eligible For Lunch",731,"27.4%","48.4%"
"=""2440014""","Area Cooperative Educational Services","Not Eligible For Lunch",392,"36.7%","57.3%"
"=""0030011""","Ashford School District","Eligible For Lunch",67,"31.3%","52.8%"
"=""0030011""","Ashford School District","Not Eligible For Lunch",128,"41.4%","63.2%"
"=""0040011""","Avon School District","Eligible For Lunch",62,"32.3%","55.9%"
"=""0040011""","Avon School District","Not Eligible For Lunch",1171,"57.1%","74.1%"
"=""0050011""","Barkhamsted School District","Eligible For Lunch",16,"*","*"
"=""0050011""","Barkhamsted School District","Not Eligible For Lunch",117,"45.3%","68.6%"
"=""0070011""","Berlin School District","Eligible For Lunch",134,"46.3%","69.6%"
"=""0070011""","Berlin School District","Not Eligible For Lunch",953,"52.6%","73.4%"
"=""0080011""","Bethany School District","Eligible For Lunch",13,"*","*"
"=""0080011""","Bethany School District","Not Eligible For Lunch",154,"49.4%","69.5%"
"=""0090011""","Bethel School District","Eligible For Lunch",222,"45.9%","64.6%"
"=""0090011""","Bethel School District","Not Eligible For Lunch",787,"52.7%","72.6%"
"=""0110011""","Bloomfield School District","Eligible For Lunch",301,"36.9%","59.4%"
"=""0110011""","Bloomfield School District","Not Eligible For Lunch",262,"35.9%","61.2%"
"=""0120011""","Bolton School District","Eligible For Lunch",50,"36.0%","58.7%"
"=""0120011""","Bolton School District","Not Eligible For Lunch",239,"59.8%","78.8%"
"=""0130011""","Bozrah School District","Eligible For Lunch",22,"50.0%","62.0%"
"=""0130011""","Bozrah School District","Not Eligible For Lunch",85,"37.6%","60.6%"
"=""0140011""","Branford School District","Eligible For Lunch",263,"41.1%","60.4%"
"=""0140011""","Branford School District","Not Eligible For Lunch",784,"44.8%","63.8%"
"=""2850013""","Bridgeport Achievement First District","Eligible For Lunch",347,"47.0%","66.5%"
"=""2850013""","Bridgeport Achievement First District","Not Eligible For Lunch",75,"61.3%","79.9%"
"=""0150011""","Bridgeport School District","Eligible For Lunch",6596,"31.0%","54.6%"
"=""0170011""","Bristol School District","Eligible For Lunch",1268,"39.7%","62.9%"
"=""0170011""","Bristol School District","Not Eligible For Lunch",1497,"44.0%","65.5%"
"=""0180011""","Brookfield School District","Eligible For Lunch",69,"31.9%","51.5%"
"=""0180011""","Brookfield School District","Not Eligible For Lunch",888,"44.5%","64.2%"
"=""0190011""","Brooklyn School District","Eligible For Lunch",123,"41.5%","67.3%"
"=""0190011""","Brooklyn School District","Not Eligible For Lunch",300,"51.7%","69.6%"
"=""0210011""","Canaan School District","Eligible For Lunch","*","*","*"
"=""0210011""","Canaan School District","Not Eligible For Lunch","*","55.9%","73.8%"
"=""0220011""","Canterbury School District","Eligible For Lunch",72,"52.8%","72.9%"
"=""0220011""","Canterbury School District","Not Eligible For Lunch",176,"40.9%","64.4%"
"=""0230011""","Canton School District","Eligible For Lunch",84,"35.7%","60.5%"
"=""0230011""","Canton School District","Not Eligible For Lunch",560,"53.6%","72.6%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","Eligible For Lunch",56,"32.1%","52.3%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","Not Eligible For Lunch",32,"40.6%","64.6%"
"=""2410014""","Capitol Region Education Council","Eligible For Lunch",1337,"36.2%","59.5%"
"=""2410014""","Capitol Region Education Council","Not Eligible For Lunch",1202,"44.1%","63.4%"
"=""0240011""","Chaplin School District","Eligible For Lunch",25,"56.0%","77.3%"
"=""0240011""","Chaplin School District","Not Eligible For Lunch",18,"*","*"
"=""0250011""","Cheshire School District","Eligible For Lunch",143,"43.4%","65.6%"
"=""0250011""","Cheshire School District","Not Eligible For Lunch",1545,"53.6%","70.4%"
"=""0260011""","Chester School District","Eligible For Lunch",7,"*","*"
"=""0260011""","Chester School District","Not Eligible For Lunch",93,"50.5%","69.2%"
"=""0270011""","Clinton School District","Eligible For Lunch",156,"28.8%","53.1%"
