"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (3-level)"

"",,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","Grade","Free/Reduced Price Meal Eligibility (3-level)","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District",4,"Eligible for Free Lunch",87,2407,2481,73,"56.3%","82.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District",5,"Eligible for Free Lunch",131,2418,2467,49,"37.4%","61.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District",6,"Eligible for Free Lunch",131,2461,2515,55,"48.9%","74.0%"
"=""2880013""","Achievement First Hartford Academy Inc. District",7,"Eligible for Free Lunch",55,2491,2535,44,"47.3%","67.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District",8,"Eligible for Free Lunch",61,2521,2580,59,"59.0%","77.1%"
"=""2790013""","Amistad Academy District",4,"Eligible for Free Lunch",59,2397,2464,67,"49.2%","71.3%"
"=""2790013""","Amistad Academy District",4,"Not Eligible for Free/Reduced Lunch",6,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",4,"Eligible for Reduced Lunch",20,2488,2545,56,"55.0%","84.9%"
"=""2790013""","Amistad Academy District",5,"Eligible for Free Lunch",64,2447,2496,49,"43.8%","66.6%"
"=""2790013""","Amistad Academy District",5,"Not Eligible for Free/Reduced Lunch",12,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",5,"Eligible for Reduced Lunch",9,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",6,"Eligible for Free Lunch",60,2464,2502,39,"41.7%","63.6%"
"=""2790013""","Amistad Academy District",6,"Not Eligible for Free/Reduced Lunch",11,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",6,"Eligible for Reduced Lunch",11,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",7,"Eligible for Free Lunch",53,2508,2538,30,"34.0%","55.8%"
