"Smarter Balanced Growth Report, 2015-16"
"State of Connecticut, Free/Reduced Price Meal Eligibility (3-level)"

"",,,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","Grade","Subject","Free/Reduced Price Meal Eligibility (3-level)","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""0000000""","State of Connecticut",4,"ELA","Eligible for Reduced Lunch",1669,2416,2467,51,"42.2%","67.8%"
"=""0000000""","State of Connecticut",4,"ELA","Eligible for Free Lunch",13236,2380,2428,48,"33.9%","61.2%"
"=""0000000""","State of Connecticut",4,"ELA","Not Eligible for Free/Reduced Lunch",21411,2463,2518,55,"53.2%","75.9%"
"=""0000000""","State of Connecticut",4,"Math","Eligible for Reduced Lunch",1668,2417,2468,52,"40.6%","73.3%"
"=""0000000""","State of Connecticut",4,"Math","Eligible for Free Lunch",13381,2382,2430,48,"34.9%","66.6%"
"=""0000000""","State of Connecticut",4,"Math","Not Eligible for Free/Reduced Lunch",21432,2459,2511,53,"49.4%","77.6%"
"=""0000000""","State of Connecticut",5,"ELA","Eligible for Reduced Lunch",1742,2457,2503,46,"39.2%","64.2%"
"=""0000000""","State of Connecticut",5,"ELA","Eligible for Free Lunch",12763,2418,2464,46,"35.3%","61.8%"
"=""0000000""","State of Connecticut",5,"ELA","Not Eligible for Free/Reduced Lunch",22455,2509,2553,45,"49.2%","70.7%"
"=""0000000""","State of Connecticut",5,"Math","Eligible for Reduced Lunch",1752,2455,2486,31,"38.8%","62.7%"
"=""0000000""","State of Connecticut",5,"Math","Eligible for Free Lunch",12872,2422,2447,25,"34.3%","56.3%"
"=""0000000""","State of Connecticut",5,"Math","Not Eligible for Free/Reduced Lunch",22486,2500,2536,37,"49.7%","71.6%"
"=""0000000""","State of Connecticut",6,"ELA","Eligible for Reduced Lunch",1832,2491,2522,30,"39.2%","59.4%"
"=""0000000""","State of Connecticut",6,"ELA","Eligible for Free Lunch",12266,2453,2482,29,"34.7%","55.8%"
"=""0000000""","State of Connecticut",6,"ELA","Not Eligible for Free/Reduced Lunch",22833,2543,2571,28,"46.4%","63.9%"
"=""0000000""","State of Connecticut",6,"Math","Eligible for Reduced Lunch",1836,2475,2503,28,"39.4%","60.0%"
"=""0000000""","State of Connecticut",6,"Math","Eligible for Free Lunch",12365,2439,2458,18,"33.8%","53.0%"
"=""0000000""","State of Connecticut",6,"Math","Not Eligible for Free/Reduced Lunch",22833,2525,2560,35,"48.9%","68.7%"
"=""0000000""","State of Connecticut",7,"ELA","Eligible for Reduced Lunch",1974,2508,2539,32,"38.7%","58.6%"
"=""0000000""","State of Connecticut",7,"ELA","Eligible for Free Lunch",12175,2475,2505,30,"34.2%","54.9%"
"=""0000000""","State of Connecticut",7,"ELA","Not Eligible for Free/Reduced Lunch",23852,2561,2593,32,"46.3%","64.0%"
"=""0000000""","State of Connecticut",7,"Math","Eligible for Reduced Lunch",1981,2491,2514,23,"40.2%","58.0%"
"=""0000000""","State of Connecticut",7,"Math","Eligible for Free Lunch",12240,2452,2474,21,"35.6%","55.0%"
"=""0000000""","State of Connecticut",7,"Math","Not Eligible for Free/Reduced Lunch",23822,2548,2577,29,"48.7%","67.2%"
"=""0000000""","State of Connecticut",8,"ELA","Eligible for Reduced Lunch",1860,2530,2556,26,"37.5%","57.6%"
"=""0000000""","State of Connecticut",8,"ELA","Eligible for Free Lunch",11837,2494,2520,26,"34.9%","54.6%"
"=""0000000""","State of Connecticut",8,"ELA","Not Eligible for Free/Reduced Lunch",23440,2581,2608,26,"45.8%","62.6%"
"=""0000000""","State of Connecticut",8,"Math","Eligible for Reduced Lunch",1857,2508,2527,19,"39.1%","54.9%"
"=""0000000""","State of Connecticut",8,"Math","Eligible for Free Lunch",11955,2467,2482,15,"34.8%","50.8%"
"=""0000000""","State of Connecticut",8,"Math","Not Eligible for Free/Reduced Lunch",23384,2567,2593,26,"49.5%","65.1%"

