"Smarter Balanced Growth Report, 2015-16"
"All Districts, All Students"

"",,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","Grade","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District",4,85,2427,2483,56,"44.7%","78.5%"
"=""2880013""","Achievement First Hartford Academy Inc. District",5,130,2435,2458,23,"34.6%","51.9%"
"=""2880013""","Achievement First Hartford Academy Inc. District",6,130,2429,2477,48,"53.8%","76.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District",7,55,2459,2472,13,"25.5%","46.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District",8,62,2500,2539,39,"53.2%","67.6%"
"=""2790013""","Amistad Academy District",4,84,2436,2500,64,"59.5%","87.4%"
"=""2790013""","Amistad Academy District",5,85,2475,2501,26,"36.5%","60.2%"
"=""2790013""","Amistad Academy District",6,82,2459,2534,75,"74.4%","90.2%"
"=""2790013""","Amistad Academy District",7,85,2511,2540,28,"38.8%","60.5%"
"=""2790013""","Amistad Academy District",8,75,2507,2567,60,"69.3%","83.4%"
"=""0010011""","Andover School District",4,38,2464,2512,48,"34.2%","71.2%"
"=""0010011""","Andover School District",5,42,2533,2573,40,"52.4%","76.1%"
"=""0010011""","Andover School District",6,47,2552,2593,41,"59.6%","79.0%"
"=""0020011""","Ansonia School District",4,155,2414,2453,40,"25.2%","62.1%"
"=""0020011""","Ansonia School District",5,171,2440,2446,7,"22.8%","40.6%"
"=""0020011""","Ansonia School District",6,160,2450,2499,49,"61.3%","81.0%"
"=""0020011""","Ansonia School District",7,148,2474,2488,14,"27.7%","49.1%"
"=""0020011""","Ansonia School District",8,169,2499,2513,14,"37.3%","54.2%"
"=""2440014""","Area Cooperative Educational Services",4,94,2364,2399,35,"19.1%","53.4%"
"=""2440014""","Area Cooperative Educational Services",5,88,2396,2412,16,"28.4%","48.9%"
"=""2440014""","Area Cooperative Educational Services",6,324,2462,2472,10,"28.1%","46.1%"
"=""2440014""","Area Cooperative Educational Services",7,315,2467,2509,42,"52.7%","73.4%"
"=""2440014""","Area Cooperative Educational Services",8,298,2489,2500,12,"34.2%","50.1%"
"=""0030011""","Ashford School District",4,40,2454,2507,53,"55.0%","81.3%"
"=""0030011""","Ashford School District",5,37,2536,2503,-33,"0.0%","6.2%"
"=""0030011""","Ashford School District",6,36,2471,2479,8,"19.4%","42.1%"
"=""0030011""","Ashford School District",7,46,2492,2563,70,"76.1%","90.8%"
"=""0030011""","Ashford School District",8,34,2560,2583,23,"50.0%","61.4%"
"=""0040011""","Avon School District",4,204,2499,2538,39,"44.1%","68.2%"
"=""0040011""","Avon School District",5,258,2523,2546,22,"40.3%","59.9%"
"=""0040011""","Avon School District",6,258,2547,2602,55,"69.4%","88.4%"
"=""0040011""","Avon School District",7,256,2596,2638,41,"63.7%","82.6%"
"=""0040011""","Avon School District",8,262,2623,2657,34,"67.2%","80.2%"
"=""0050011""","Barkhamsted School District",4,45,2405,2454,49,"35.6%","68.1%"
"=""0050011""","Barkhamsted School District",5,44,2461,2488,27,"25.0%","61.1%"
"=""0050011""","Barkhamsted School District",6,44,2506,2546,40,"43.2%","69.9%"
"=""0070011""","Berlin School District",4,184,2432,2502,71,"63.6%","88.6%"
"=""0070011""","Berlin School District",5,243,2505,2531,26,"34.2%","59.8%"
"=""0070011""","Berlin School District",6,208,2509,2534,25,"35.1%","59.3%"
"=""0070011""","Berlin School District",7,241,2530,2564,33,"49.0%","69.2%"
"=""0070011""","Berlin School District",8,210,2562,2577,15,"44.3%","58.6%"
