"Smarter Balanced Growth Report, 2015-16"
"All Districts, ELL"

"District Code","District","Subject","English Learner Status (EL)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","ELA","ELL",14,"*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","ELA","Non-ELL",451,"47.7%","71.5%"
"=""2880013""","Achievement First Hartford Academy Inc. District","Math","ELL",14,"*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","Math","Non-ELL",448,"43.3%","65.2%"
"=""2790013""","Amistad Academy District","ELA","ELL",24,"54.2%","68.1%"
"=""2790013""","Amistad Academy District","ELA","Non-ELL",389,"43.4%","67.1%"
"=""2790013""","Amistad Academy District","Math","ELL",24,"45.8%","62.6%"
"=""2790013""","Amistad Academy District","Math","Non-ELL",387,"55.8%","76.9%"
"=""0010011""","Andover School District","ELA","ELL","*","*","*"
"=""0010011""","Andover School District","ELA","Non-ELL","*","48.4%","66.7%"
"=""0010011""","Andover School District","Math","ELL","*","*","*"
"=""0010011""","Andover School District","Math","Non-ELL","*","50.0%","76.1%"
"=""0020011""","Ansonia School District","ELA","ELL",8,"*","*"
"=""0020011""","Ansonia School District","ELA","Non-ELL",795,"29.1%","52.0%"
"=""0020011""","Ansonia School District","Math","ELL",8,"*","*"
"=""0020011""","Ansonia School District","Math","Non-ELL",795,"35.0%","57.4%"
"=""2440014""","Area Cooperative Educational Services","ELA","ELL",48,"27.1%","52.5%"
"=""2440014""","Area Cooperative Educational Services","ELA","Non-ELL",1075,"30.8%","51.5%"
"=""2440014""","Area Cooperative Educational Services","Math","ELL",49,"30.6%","51.5%"
"=""2440014""","Area Cooperative Educational Services","Math","Non-ELL",1070,"36.2%","55.9%"
"=""0030011""","Ashford School District","ELA","ELL","*","*","*"
"=""0030011""","Ashford School District","ELA","Non-ELL","*","38.1%","60.0%"
"=""0030011""","Ashford School District","Math","ELL","*","*","*"
"=""0030011""","Ashford School District","Math","Non-ELL","*","41.7%","58.1%"
"=""0040011""","Avon School District","ELA","ELL",16,"*","*"
"=""0040011""","Avon School District","ELA","Non-ELL",1217,"56.2%","73.4%"
"=""0040011""","Avon School District","Math","ELL",24,"50.0%","79.3%"
"=""0040011""","Avon School District","Math","Non-ELL",1214,"57.7%","76.1%"
"=""0050011""","Barkhamsted School District","ELA","Non-ELL",133,"45.1%","69.9%"
"=""0050011""","Barkhamsted School District","Math","Non-ELL",133,"34.6%","66.4%"
"=""0070011""","Berlin School District","ELA","ELL",16,"*","*"
"=""0070011""","Berlin School District","ELA","Non-ELL",1071,"52.1%","73.1%"
"=""0070011""","Berlin School District","Math","ELL",16,"*","*"
"=""0070011""","Berlin School District","Math","Non-ELL",1070,"44.8%","66.6%"
"=""0080011""","Bethany School District","ELA","Non-ELL",167,"49.7%","69.7%"
"=""0080011""","Bethany School District","Math","Non-ELL",167,"55.7%","78.7%"
"=""0090011""","Bethel School District","ELA","ELL",21,"19.0%","42.7%"
"=""0090011""","Bethel School District","ELA","Non-ELL",988,"51.9%","71.4%"
"=""0090011""","Bethel School District","Math","ELL",24,"45.8%","69.7%"
"=""0090011""","Bethel School District","Math","Non-ELL",985,"59.0%","80.0%"
"=""0110011""","Bloomfield School District","ELA","ELL","*","*","*"
"=""0110011""","Bloomfield School District","ELA","Non-ELL","*","36.5%","60.3%"
"=""0110011""","Bloomfield School District","Math","ELL",6,"*","*"
"=""0110011""","Bloomfield School District","Math","Non-ELL",559,"43.5%","65.5%"
"=""0120011""","Bolton School District","ELA","Non-ELL",289,"55.7%","75.3%"
"=""0120011""","Bolton School District","Math","Non-ELL",289,"50.5%","71.0%"
"=""0130011""","Bozrah School District","ELA","ELL","*","*","*"
"=""0130011""","Bozrah School District","ELA","Non-ELL","*","40.6%","61.3%"
"=""0130011""","Bozrah School District","Math","ELL","*","*","*"
"=""0130011""","Bozrah School District","Math","Non-ELL","*","47.2%","73.1%"
"=""0140011""","Branford School District","ELA","ELL",17,"*","*"
"=""0140011""","Branford School District","ELA","Non-ELL",1030,"43.5%","62.6%"
"=""0140011""","Branford School District","Math","ELL",20,"60.0%","80.2%"
"=""0140011""","Branford School District","Math","Non-ELL",1026,"41.3%","62.7%"
"=""2850013""","Bridgeport Achievement First District","ELA","ELL",45,"40.0%","60.8%"
"=""2850013""","Bridgeport Achievement First District","ELA","Non-ELL",377,"50.7%","69.8%"
"=""2850013""","Bridgeport Achievement First District","Math","ELL",45,"62.2%","79.3%"
"=""2850013""","Bridgeport Achievement First District","Math","Non-ELL",377,"59.2%","77.6%"
"=""0150011""","Bridgeport School District","ELA","ELL",722,"27.7%","54.3%"
"=""0150011""","Bridgeport School District","ELA","Non-ELL",5874,"31.4%","54.6%"
"=""0150011""","Bridgeport School District","Math","ELL",850,"32.0%","51.7%"
"=""0150011""","Bridgeport School District","Math","Non-ELL",5869,"28.7%","50.7%"
"=""0170011""","Bristol School District","ELA","ELL",77,"36.4%","67.5%"
"=""0170011""","Bristol School District","ELA","Non-ELL",2688,"42.2%","64.2%"
"=""0170011""","Bristol School District","Math","ELL",95,"42.1%","73.2%"
"=""0170011""","Bristol School District","Math","Non-ELL",2687,"43.0%","65.3%"
"=""0180011""","Brookfield School District","ELA","ELL",14,"*","*"
"=""0180011""","Brookfield School District","ELA","Non-ELL",943,"43.6%","63.2%"
"=""0180011""","Brookfield School District","Math","ELL",15,"*","*"
"=""0180011""","Brookfield School District","Math","Non-ELL",942,"45.5%","67.8%"
"=""0190011""","Brooklyn School District","ELA","ELL","*","*","*"
"=""0190011""","Brooklyn School District","ELA","Non-ELL","*","48.6%","68.8%"
"=""0190011""","Brooklyn School District","Math","ELL","*","*","*"
"=""0190011""","Brooklyn School District","Math","Non-ELL","*","38.6%","58.7%"
"=""0210011""","Canaan School District","ELA","ELL","*","*","*"
"=""0210011""","Canaan School District","ELA","Non-ELL","*","56.8%","72.9%"
"=""0210011""","Canaan School District","Math","ELL","*","*","*"
