"Smarter Balanced Growth Report, 2015-16"
"All Districts, All Students"

"",,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","Grade","Subject","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District",4,"ELA",87,2407,2481,73,"56.3%","82.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District",4,"Math",85,2427,2483,56,"44.7%","78.5%"
"=""2880013""","Achievement First Hartford Academy Inc. District",5,"ELA",131,2418,2467,49,"37.4%","61.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District",5,"Math",130,2435,2458,23,"34.6%","51.9%"
"=""2880013""","Achievement First Hartford Academy Inc. District",6,"ELA",131,2461,2515,55,"48.9%","74.0%"
"=""2880013""","Achievement First Hartford Academy Inc. District",6,"Math",130,2429,2477,48,"53.8%","76.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District",7,"ELA",55,2491,2535,44,"47.3%","67.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District",7,"Math",55,2459,2472,13,"25.5%","46.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District",8,"ELA",61,2521,2580,59,"59.0%","77.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District",8,"Math",62,2500,2539,39,"53.2%","67.6%"
"=""2790013""","Amistad Academy District",4,"ELA",85,2422,2486,64,"51.8%","75.5%"
"=""2790013""","Amistad Academy District",4,"Math",84,2436,2500,64,"59.5%","87.4%"
"=""2790013""","Amistad Academy District",5,"ELA",85,2459,2512,53,"45.9%","69.8%"
"=""2790013""","Amistad Academy District",5,"Math",85,2475,2501,26,"36.5%","60.2%"
"=""2790013""","Amistad Academy District",6,"ELA",82,2471,2515,44,"46.3%","68.4%"
"=""2790013""","Amistad Academy District",6,"Math",82,2459,2534,75,"74.4%","90.2%"
"=""2790013""","Amistad Academy District",7,"ELA",85,2517,2543,26,"30.6%","53.2%"
"=""2790013""","Amistad Academy District",7,"Math",85,2511,2540,28,"38.8%","60.5%"
"=""2790013""","Amistad Academy District",8,"ELA",76,2531,2573,42,"46.1%","69.1%"
"=""2790013""","Amistad Academy District",8,"Math",75,2507,2567,60,"69.3%","83.4%"
"=""0010011""","Andover School District",4,"ELA",38,2486,2528,42,"44.7%","67.5%"
"=""0010011""","Andover School District",4,"Math",38,2464,2512,48,"34.2%","71.2%"
"=""0010011""","Andover School District",5,"ELA",42,2540,2580,40,"52.4%","70.5%"
"=""0010011""","Andover School District",5,"Math",42,2533,2573,40,"52.4%","76.1%"
"=""0010011""","Andover School District",6,"ELA",45,2579,2597,17,"48.9%","63.5%"
"=""0010011""","Andover School District",6,"Math",47,2552,2593,41,"59.6%","79.0%"
"=""0020011""","Ansonia School District",4,"ELA",155,2410,2453,43,"32.3%","59.5%"
"=""0020011""","Ansonia School District",4,"Math",155,2414,2453,40,"25.2%","62.1%"
"=""0020011""","Ansonia School District",5,"ELA",170,2436,2460,24,"20.6%","48.3%"
"=""0020011""","Ansonia School District",5,"Math",171,2440,2446,7,"22.8%","40.6%"
"=""0020011""","Ansonia School District",6,"ELA",160,2469,2505,36,"41.9%","63.2%"
"=""0020011""","Ansonia School District",6,"Math",160,2450,2499,49,"61.3%","81.0%"
"=""0020011""","Ansonia School District",7,"ELA",148,2470,2480,9,"18.9%","40.6%"
"=""0020011""","Ansonia School District",7,"Math",148,2474,2488,14,"27.7%","49.1%"
"=""0020011""","Ansonia School District",8,"ELA",170,2509,2527,17,"30.6%","48.0%"
"=""0020011""","Ansonia School District",8,"Math",169,2499,2513,14,"37.3%","54.2%"
"=""2440014""","Area Cooperative Educational Services",4,"ELA",94,2372,2407,35,"28.7%","51.6%"
"=""2440014""","Area Cooperative Educational Services",4,"Math",94,2364,2399,35,"19.1%","53.4%"
"=""2440014""","Area Cooperative Educational Services",5,"ELA",89,2406,2446,41,"23.6%","55.8%"
"=""2440014""","Area Cooperative Educational Services",5,"Math",88,2396,2412,16,"28.4%","48.9%"
"=""2440014""","Area Cooperative Educational Services",6,"ELA",322,2491,2498,7,"26.4%","44.6%"
"=""2440014""","Area Cooperative Educational Services",6,"Math",324,2462,2472,10,"28.1%","46.1%"
"=""2440014""","Area Cooperative Educational Services",7,"ELA",319,2495,2523,29,"35.1%","56.5%"
"=""2440014""","Area Cooperative Educational Services",7,"Math",315,2467,2509,42,"52.7%","73.4%"
"=""2440014""","Area Cooperative Educational Services",8,"ELA",299,2520,2542,22,"33.1%","52.3%"
"=""2440014""","Area Cooperative Educational Services",8,"Math",298,2489,2500,12,"34.2%","50.1%"
"=""0030011""","Ashford School District",4,"ELA",41,2460,2500,40,"39.0%","60.8%"
"=""0030011""","Ashford School District",4,"Math",40,2454,2507,53,"55.0%","81.3%"
"=""0030011""","Ashford School District",5,"ELA",37,2552,2563,12,"37.8%","55.8%"
"=""0030011""","Ashford School District",5,"Math",37,2536,2503,-33,"0.0%","6.2%"
"=""0030011""","Ashford School District",6,"ELA",36,2493,2516,23,"33.3%","52.7%"
"=""0030011""","Ashford School District",6,"Math",36,2471,2479,8,"19.4%","42.1%"
"=""0030011""","Ashford School District",7,"ELA",47,2531,2566,35,"42.6%","63.6%"
"=""0030011""","Ashford School District",7,"Math",46,2492,2563,70,"76.1%","90.8%"
"=""0030011""","Ashford School District",8,"ELA",34,2551,2585,34,"35.3%","64.3%"
"=""0030011""","Ashford School District",8,"Math",34,2560,2583,23,"50.0%","61.4%"
"=""0040011""","Avon School District",4,"ELA",201,2503,2548,45,"53.2%","72.6%"
"=""0040011""","Avon School District",4,"Math",204,2499,2538,39,"44.1%","68.2%"
"=""0040011""","Avon School District",5,"ELA",256,2527,2569,42,"53.5%","73.1%"
"=""0040011""","Avon School District",5,"Math",258,2523,2546,22,"40.3%","59.9%"
"=""0040011""","Avon School District",6,"ELA",258,2571,2611,40,"63.2%","80.1%"
"=""0040011""","Avon School District",6,"Math",258,2547,2602,55,"69.4%","88.4%"
"=""0040011""","Avon School District",7,"ELA",256,2596,2634,38,"59.0%","75.4%"
"=""0040011""","Avon School District",7,"Math",256,2596,2638,41,"63.7%","82.6%"
"=""0040011""","Avon School District",8,"ELA",262,2612,2636,23,"50.0%","64.7%"
"=""0040011""","Avon School District",8,"Math",262,2623,2657,34,"67.2%","80.2%"
"=""0050011""","Barkhamsted School District",4,"ELA",45,2436,2492,56,"55.6%","76.2%"
"=""0050011""","Barkhamsted School District",4,"Math",45,2405,2454,49,"35.6%","68.1%"
"=""0050011""","Barkhamsted School District",5,"ELA",44,2518,2551,33,"40.9%","68.5%"
"=""0050011""","Barkhamsted School District",5,"Math",44,2461,2488,27,"25.0%","61.1%"
"=""0050011""","Barkhamsted School District",6,"ELA",44,2543,2578,35,"38.6%","64.8%"
"=""0050011""","Barkhamsted School District",6,"Math",44,2506,2546,40,"43.2%","69.9%"
"=""0070011""","Berlin School District",4,"ELA",184,2433,2497,64,"52.7%","78.6%"
"=""0070011""","Berlin School District",4,"Math",184,2432,2502,71,"63.6%","88.6%"
"=""0070011""","Berlin School District",5,"ELA",243,2495,2552,57,"51.4%","75.1%"
"=""0070011""","Berlin School District",5,"Math",243,2505,2531,26,"34.2%","59.8%"
"=""0070011""","Berlin School District",6,"ELA",208,2525,2561,36,"51.0%","69.9%"
"=""0070011""","Berlin School District",6,"Math",208,2509,2534,25,"35.1%","59.3%"
"=""0070011""","Berlin School District",7,"ELA",242,2549,2588,39,"49.2%","68.8%"
"=""0070011""","Berlin School District",7,"Math",241,2530,2564,33,"49.0%","69.2%"
"=""0070011""","Berlin School District",8,"ELA",210,2565,2604,40,"55.2%","73.1%"
"=""0070011""","Berlin School District",8,"Math",210,2562,2577,15,"44.3%","58.6%"
"=""0080011""","Bethany School District",4,"ELA",50,2431,2502,71,"58.0%","85.1%"
"=""0080011""","Bethany School District",4,"Math",50,2452,2506,54,"50.0%","79.2%"
"=""0080011""","Bethany School District",5,"ELA",56,2522,2569,47,"53.6%","73.8%"
"=""0080011""","Bethany School District",5,"Math",56,2530,2584,54,"69.6%","88.3%"
"=""0080011""","Bethany School District",6,"ELA",61,2536,2551,15,"39.3%","53.3%"
"=""0080011""","Bethany School District",6,"Math",61,2512,2544,31,"47.5%","69.4%"
"=""0090011""","Bethel School District",4,"ELA",197,2455,2501,46,"44.7%","68.6%"
"=""0090011""","Bethel School District",4,"Math",198,2427,2501,74,"67.2%","92.3%"
"=""0090011""","Bethel School District",5,"ELA",199,2497,2540,43,"47.7%","67.9%"
"=""0090011""","Bethel School District",5,"Math",198,2482,2534,52,"64.6%","85.1%"
"=""0090011""","Bethel School District",6,"ELA",176,2550,2587,37,"57.4%","74.7%"
