"Smarter Balanced Growth Report, 2015-16"
"All Districts, High Needs (F, R, ELL or SWD)"

"District Code","District","High Needs (F/R, EL or SWD)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","High Needs",465,"48.2%","71.7%"
"=""2790013""","Amistad Academy District","High Needs",350,"42.9%","65.8%"
"=""2790013""","Amistad Academy District","Non-High Needs",63,"50.8%","74.8%"
"=""0010011""","Andover School District","High Needs",22,"27.3%","41.2%"
"=""0010011""","Andover School District","Non-High Needs",103,"53.4%","72.6%"
"=""0020011""","Ansonia School District","High Needs",599,"26.7%","50.1%"
"=""0020011""","Ansonia School District","Non-High Needs",204,"35.3%","57.4%"
"=""2440014""","Area Cooperative Educational Services","High Needs",760,"27.2%","48.1%"
"=""2440014""","Area Cooperative Educational Services","Non-High Needs",363,"37.7%","58.6%"
"=""0030011""","Ashford School District","High Needs",76,"31.6%","52.0%"
"=""0030011""","Ashford School District","Non-High Needs",119,"42.0%","64.5%"
"=""0040011""","Avon School District","High Needs",152,"36.8%","59.3%"
"=""0040011""","Avon School District","Non-High Needs",1081,"58.6%","75.2%"
"=""0050011""","Barkhamsted School District","High Needs",31,"29.0%","64.7%"
"=""0050011""","Barkhamsted School District","Non-High Needs",102,"50.0%","71.5%"
"=""0070011""","Berlin School District","High Needs",226,"44.2%","67.7%"
"=""0070011""","Berlin School District","Non-High Needs",861,"53.8%","74.3%"
"=""0080011""","Bethany School District","High Needs",32,"37.5%","65.6%"
"=""0080011""","Bethany School District","Non-High Needs",135,"52.6%","70.7%"
"=""0090011""","Bethel School District","High Needs",298,"44.0%","64.1%"
"=""0090011""","Bethel School District","Non-High Needs",711,"54.3%","73.7%"
"=""0110011""","Bloomfield School District","High Needs",330,"36.1%","59.0%"
"=""0110011""","Bloomfield School District","Non-High Needs",233,"36.9%","62.1%"
"=""0120011""","Bolton School District","High Needs",73,"31.5%","56.6%"
"=""0120011""","Bolton School District","Non-High Needs",216,"63.9%","81.6%"
"=""0130011""","Bozrah School District","High Needs",37,"35.1%","51.5%"
"=""0130011""","Bozrah School District","Non-High Needs",70,"42.9%","65.9%"
"=""0140011""","Branford School District","High Needs",343,"39.7%","59.9%"
"=""0140011""","Branford School District","Non-High Needs",704,"45.9%","64.4%"
"=""2850013""","Bridgeport Achievement First District","High Needs",354,"47.2%","66.7%"
"=""2850013""","Bridgeport Achievement First District","Non-High Needs",68,"61.8%","80.2%"
"=""0150011""","Bridgeport School District","High Needs",6596,"31.0%","54.6%"
"=""0170011""","Bristol School District","High Needs",1453,"39.4%","62.3%"
"=""0170011""","Bristol School District","Non-High Needs",1312,"45.0%","66.5%"
"=""0180011""","Brookfield School District","High Needs",175,"33.1%","53.1%"
"=""0180011""","Brookfield School District","Non-High Needs",782,"45.9%","65.6%"
"=""0190011""","Brooklyn School District","High Needs",138,"39.9%","65.5%"
"=""0190011""","Brooklyn School District","Non-High Needs",285,"53.0%","70.6%"
"=""0210011""","Canaan School District","High Needs",8,"*","*"
"=""0210011""","Canaan School District","Non-High Needs",31,"61.3%","77.1%"
"=""0220011""","Canterbury School District","High Needs",86,"47.7%","69.7%"
"=""0220011""","Canterbury School District","Non-High Needs",162,"42.6%","65.4%"
"=""0230011""","Canton School District","High Needs",139,"35.3%","59.7%"
"=""0230011""","Canton School District","Non-High Needs",505,"55.6%","74.2%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","High Needs",58,"31.0%","52.1%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","Non-High Needs",30,"43.3%","65.7%"
"=""2410014""","Capitol Region Education Council","High Needs",1454,"35.5%","58.6%"
"=""2410014""","Capitol Region Education Council","Non-High Needs",1085,"45.9%","65.1%"
"=""0240011""","Chaplin School District","High Needs",27,"55.6%","79.2%"
"=""0240011""","Chaplin School District","Non-High Needs",16,"*","*"
"=""0250011""","Cheshire School District","High Needs",269,"42.4%","65.4%"
"=""0250011""","Cheshire School District","Non-High Needs",1419,"54.7%","70.9%"
"=""0260011""","Chester School District","High Needs",26,"50.0%","72.0%"
"=""0260011""","Chester School District","Non-High Needs",74,"50.0%","67.4%"
"=""0270011""","Clinton School District","High Needs",223,"27.8%","52.4%"
"=""0270011""","Clinton School District","Non-High Needs",502,"49.8%","68.2%"
"=""0280011""","Colchester School District","High Needs",260,"40.0%","64.6%"
"=""0280011""","Colchester School District","Non-High Needs",675,"51.7%","71.0%"
"=""0290011""","Colebrook School District","High Needs",10,"*","*"
"=""0290011""","Colebrook School District","Non-High Needs",21,"66.7%","82.7%"
"=""0300011""","Columbia School District","High Needs",62,"41.9%","67.9%"
"=""0300011""","Columbia School District","Non-High Needs",166,"49.4%","67.1%"
"=""2430014""","Cooperative Educational Services","High Needs",146,"26.7%","51.5%"
"=""2430014""","Cooperative Educational Services","Non-High Needs",121,"47.1%","67.6%"
"=""0310011""","Cornwall School District","High Needs",11,"*","*"
"=""0310011""","Cornwall School District","Non-High Needs",34,"41.2%","61.3%"
"=""0320011""","Coventry School District","High Needs",155,"44.5%","70.9%"
"=""0320011""","Coventry School District","Non-High Needs",451,"58.1%","78.6%"
"=""0330011""","Cromwell School District","High Needs",197,"40.6%","64.5%"
"=""0330011""","Cromwell School District","Non-High Needs",556,"45.5%","67.0%"
"=""0340011""","Danbury School District","High Needs",2331,"39.4%","63.4%"
"=""0340011""","Danbury School District","Non-High Needs",1345,"44.6%","64.8%"
"=""0350011""","Darien School District","High Needs",277,"47.3%","67.1%"
"=""0350011""","Darien School District","Non-High Needs",1531,"61.4%","78.0%"
"=""0360011""","Deep River School District","High Needs",45,"31.1%","57.0%"
"=""0360011""","Deep River School District","Non-High Needs",101,"56.4%","72.2%"
"=""0370011""","Derby School District","High Needs",321,"27.4%","49.3%"
"=""0370011""","Derby School District","Non-High Needs",199,"38.2%","58.5%"
"=""0400011""","East Granby School District","High Needs",75,"28.0%","49.1%"
"=""0400011""","East Granby School District","Non-High Needs",235,"44.7%","63.3%"
"=""0410011""","East Haddam School District","High Needs",91,"31.9%","52.3%"
"=""0410011""","East Haddam School District","Non-High Needs",303,"53.1%","67.9%"
"=""0420011""","East Hampton School District","High Needs",132,"27.3%","48.1%"
"=""0420011""","East Hampton School District","Non-High Needs",516,"36.2%","54.6%"
"=""0430011""","East Hartford School District","High Needs",1579,"33.7%","57.9%"
"=""0430011""","East Hartford School District","Non-High Needs",613,"41.9%","63.6%"
"=""0440011""","East Haven School District","High Needs",602,"41.4%","67.0%"
"=""0440011""","East Haven School District","Non-High Needs",457,"44.0%","68.3%"
"=""0450011""","East Lyme School District","High Needs",259,"35.9%","57.0%"
"=""0450011""","East Lyme School District","Non-High Needs",702,"51.1%","67.9%"
"=""0470011""","East Windsor School District","High Needs",174,"33.9%","58.7%"
"=""0470011""","East Windsor School District","Non-High Needs",171,"32.7%","58.1%"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","High Needs",30,"16.7%","35.0%"
"=""0390011""","Eastford School District","High Needs",23,"26.1%","42.5%"
"=""0390011""","Eastford School District","Non-High Needs",44,"43.2%","67.6%"
"=""0460011""","Easton School District","High Needs",75,"49.3%","70.4%"
"=""0460011""","Easton School District","Non-High Needs",426,"59.6%","77.8%"
"=""2420014""","EdAdvance","High Needs","*","*","*"
"=""0480011""","Ellington School District","High Needs",178,"29.2%","53.7%"
"=""0480011""","Ellington School District","Non-High Needs",835,"48.5%","67.5%"
"=""2890013""","Elm City College Preparatory School District","High Needs",255,"50.6%","72.8%"
"=""2890013""","Elm City College Preparatory School District","Non-High Needs",55,"72.7%","87.1%"
"=""0490011""","Enfield School District","High Needs",759,"36.5%","61.0%"
"=""0490011""","Enfield School District","Non-High Needs",955,"51.5%","71.4%"
"=""0500011""","Essex School District","High Needs",36,"38.9%","63.0%"
"=""0500011""","Essex School District","Non-High Needs",146,"54.1%","71.9%"
"=""0510011""","Fairfield School District","High Needs",672,"42.4%","65.0%"
"=""0510011""","Fairfield School District","Non-High Needs",3132,"52.0%","71.0%"
"=""0520011""","Farmington School District","High Needs",297,"40.7%","62.9%"
"=""0520011""","Farmington School District","Non-High Needs",1215,"56.8%","74.1%"
"=""0530011""","Franklin School District","High Needs",20,"30.0%","55.1%"
"=""0530011""","Franklin School District","Non-High Needs",68,"36.8%","52.8%"
"=""0540011""","Glastonbury School District","High Needs",395,"34.9%","57.4%"
"=""0540011""","Glastonbury School District","Non-High Needs",1920,"54.0%","70.6%"
"=""0560011""","Granby School District","High Needs",138,"44.2%","64.2%"
"=""0560011""","Granby School District","Non-High Needs",549,"62.3%","80.1%"
"=""2940013""","Great Oaks Charter School District","High Needs",181,"39.2%","58.4%"
"=""2940013""","Great Oaks Charter School District","Non-High Needs",25,"48.0%","71.7%"
"=""0570011""","Greenwich School District","High Needs",709,"40.8%","62.7%"
"=""0570011""","Greenwich School District","Non-High Needs",2316,"57.9%","74.5%"
"=""0580011""","Griswold School District","High Needs",294,"35.0%","56.5%"
"=""0580011""","Griswold School District","Non-High Needs",341,"48.4%","69.9%"
"=""0590011""","Groton School District","High Needs",717,"37.2%","57.8%"
"=""0590011""","Groton School District","Non-High Needs",686,"45.0%","64.6%"
"=""0600011""","Guilford School District","High Needs",241,"45.6%","65.0%"
"=""0600011""","Guilford School District","Non-High Needs",1062,"56.0%","73.9%"
"=""0620011""","Hamden School District","High Needs",920,"32.3%","54.0%"
"=""0620011""","Hamden School District","Non-High Needs",915,"42.3%","60.6%"
"=""0630011""","Hampton School District","High Needs",10,"*","*"
"=""0630011""","Hampton School District","Non-High Needs",18,"*","*"
"=""0640011""","Hartford School District","High Needs",5901,"30.7%","53.6%"
"=""0640011""","Hartford School District","Non-High Needs",907,"42.1%","59.9%"
"=""0650011""","Hartland School District","High Needs",26,"42.3%","67.9%"
"=""0650011""","Hartland School District","Non-High Needs",79,"62.0%","83.5%"
"=""0670011""","Hebron School District","High Needs",65,"27.7%","60.2%"
"=""0670011""","Hebron School District","Non-High Needs",276,"48.9%","71.1%"
"=""2860013""","Highville Charter School District","High Needs",123,"40.7%","63.0%"
