"Smarter Balanced Growth Report, 2015-16"
"State of Connecticut, Special Education"

"",,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","Grade","Special Education Status (SWD)","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""0000000""","State of Connecticut",4,"Special Education",4692,2349,2401,52,"36.6%","68.0%"
"=""0000000""","State of Connecticut",4,"Non-Special Education",31789,2440,2491,51,"44.7%","74.2%"
"=""0000000""","State of Connecticut",5,"Special Education",4863,2391,2416,25,"34.0%","55.7%"
"=""0000000""","State of Connecticut",5,"Non-Special Education",32247,2483,2516,33,"45.3%","67.4%"
"=""0000000""","State of Connecticut",6,"Special Education",4896,2408,2413,5,"27.9%","43.9%"
"=""0000000""","State of Connecticut",6,"Non-Special Education",32138,2507,2539,32,"45.7%","65.9%"
"=""0000000""","State of Connecticut",7,"Special Education",4889,2407,2428,21,"35.1%","53.1%"
"=""0000000""","State of Connecticut",7,"Non-Special Education",33154,2530,2557,27,"45.4%","64.2%"
"=""0000000""","State of Connecticut",8,"Special Education",4791,2420,2439,19,"35.4%","51.7%"
"=""0000000""","State of Connecticut",8,"Non-Special Education",32405,2548,2571,23,"45.6%","61.2%"

