"Smarter Balanced Growth Report, 2015-16"
"All Districts, All Students"

"District Code","District","Subject","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","ELA",465,"48.2%","71.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District","Math",462,"43.3%","65.0%"
"=""2790013""","Amistad Academy District","ELA",413,"44.1%","67.2%"
"=""2790013""","Amistad Academy District","Math",411,"55.2%","76.0%"
"=""0010011""","Andover School District","ELA",125,"48.8%","67.0%"
"=""0010011""","Andover School District","Math",127,"49.6%","75.7%"
"=""0020011""","Ansonia School District","ELA",803,"28.9%","52.0%"
"=""0020011""","Ansonia School District","Math",803,"34.9%","57.3%"
"=""2440014""","Area Cooperative Educational Services","ELA",1123,"30.6%","51.5%"
"=""2440014""","Area Cooperative Educational Services","Math",1119,"35.9%","55.7%"
"=""0030011""","Ashford School District","ELA",195,"37.9%","59.7%"
"=""0030011""","Ashford School District","Math",193,"42.0%","58.3%"
"=""0040011""","Avon School District","ELA",1233,"55.9%","73.2%"
"=""0040011""","Avon School District","Math",1238,"57.5%","76.2%"
"=""0050011""","Barkhamsted School District","ELA",133,"45.1%","69.9%"
"=""0050011""","Barkhamsted School District","Math",133,"34.6%","66.4%"
"=""0070011""","Berlin School District","ELA",1087,"51.8%","72.9%"
"=""0070011""","Berlin School District","Math",1086,"44.6%","66.4%"
"=""0080011""","Bethany School District","ELA",167,"49.7%","69.7%"
"=""0080011""","Bethany School District","Math",167,"55.7%","78.7%"
"=""0090011""","Bethel School District","ELA",1009,"51.2%","70.8%"
"=""0090011""","Bethel School District","Math",1009,"58.7%","79.7%"
"=""0110011""","Bloomfield School District","ELA",563,"36.4%","60.2%"
"=""0110011""","Bloomfield School District","Math",565,"43.4%","65.4%"
"=""0120011""","Bolton School District","ELA",289,"55.7%","75.3%"
"=""0120011""","Bolton School District","Math",289,"50.5%","71.0%"
"=""0130011""","Bozrah School District","ELA",107,"40.2%","60.9%"
"=""0130011""","Bozrah School District","Math",107,"46.7%","73.0%"
"=""0140011""","Branford School District","ELA",1047,"43.8%","62.9%"
"=""0140011""","Branford School District","Math",1046,"41.7%","63.0%"
"=""2850013""","Bridgeport Achievement First District","ELA",422,"49.5%","68.8%"
"=""2850013""","Bridgeport Achievement First District","Math",422,"59.5%","77.8%"
"=""0150011""","Bridgeport School District","ELA",6596,"31.0%","54.6%"
"=""0150011""","Bridgeport School District","Math",6719,"29.1%","50.9%"
"=""0170011""","Bristol School District","ELA",2765,"42.0%","64.3%"
"=""0170011""","Bristol School District","Math",2782,"43.0%","65.6%"
"=""0180011""","Brookfield School District","ELA",957,"43.6%","63.3%"
"=""0180011""","Brookfield School District","Math",957,"45.7%","67.9%"
"=""0190011""","Brooklyn School District","ELA",423,"48.7%","68.9%"
"=""0190011""","Brooklyn School District","Math",423,"38.5%","58.8%"
"=""0210011""","Canaan School District","ELA",39,"53.8%","71.1%"
"=""0210011""","Canaan School District","Math",39,"23.1%","45.3%"
"=""0220011""","Canterbury School District","ELA",248,"44.4%","66.9%"
"=""0220011""","Canterbury School District","Math",248,"44.4%","67.6%"
"=""0230011""","Canton School District","ELA",644,"51.2%","71.1%"
"=""0230011""","Canton School District","Math",644,"55.1%","76.5%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","ELA",88,"35.2%","56.8%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","Math",87,"13.8%","31.6%"
"=""2410014""","Capitol Region Education Council","ELA",2539,"39.9%","61.4%"
"=""2410014""","Capitol Region Education Council","Math",2512,"37.3%","58.4%"
"=""0240011""","Chaplin School District","ELA",43,"55.8%","79.0%"
"=""0240011""","Chaplin School District","Math",42,"31.0%","43.8%"
"=""0250011""","Cheshire School District","ELA",1688,"52.7%","70.0%"
