"Smarter Balanced Growth Report, 2015-16"
"State of Connecticut, High Needs (F, R, ELL or SWD)"

"",,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","Grade","High Needs (F/R, EL or SWD)","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""0000000""","State of Connecticut",4,"High Needs",17341,2383,2432,49,"35.6%","62.7%"
"=""0000000""","State of Connecticut",4,"Non-High Needs",18975,2475,2530,55,"54.9%","77.0%"
"=""0000000""","State of Connecticut",5,"High Needs",17009,2421,2467,46,"35.3%","61.8%"
"=""0000000""","State of Connecticut",5,"Non-High Needs",19951,2521,2566,45,"51.2%","72.0%"
"=""0000000""","State of Connecticut",6,"High Needs",16581,2455,2485,29,"35.3%","56.1%"
"=""0000000""","State of Connecticut",6,"Non-High Needs",20350,2555,2583,28,"47.7%","64.9%"
"=""0000000""","State of Connecticut",7,"High Needs",16707,2477,2507,30,"34.8%","55.4%"
"=""0000000""","State of Connecticut",7,"Non-High Needs",21294,2574,2605,32,"47.7%","65.1%"
"=""0000000""","State of Connecticut",8,"High Needs",16100,2496,2522,26,"35.0%","54.9%"
"=""0000000""","State of Connecticut",8,"Non-High Needs",21037,2593,2620,26,"47.2%","63.5%"

