"Smarter Balanced Growth Report, 2015-16"
"All Districts, ELL"

"",,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","Grade","English Learner Status (EL)","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District",4,"ELL","*","*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District",4,"Non-ELL","*",2408,2480,72,"56.0%","81.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District",5,"Non-ELL",131,2418,2467,49,"37.4%","61.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District",6,"ELL",9,"*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District",6,"Non-ELL",122,2465,2519,54,"47.5%","73.6%"
"=""2880013""","Achievement First Hartford Academy Inc. District",7,"ELL","*","*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District",7,"Non-ELL","*",2492,2537,45,"48.1%","69.0%"
"=""2880013""","Achievement First Hartford Academy Inc. District",8,"ELL","*","*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District",8,"Non-ELL","*",2524,2582,58,"58.3%","76.6%"
"=""2790013""","Amistad Academy District",4,"ELL","*","*","*","*","*","*"
"=""2790013""","Amistad Academy District",4,"Non-ELL","*",2426,2490,64,"51.3%","76.1%"
"=""2790013""","Amistad Academy District",5,"ELL","*","*","*","*","*","*"
"=""2790013""","Amistad Academy District",5,"Non-ELL","*",2459,2512,53,"46.4%","69.5%"
"=""2790013""","Amistad Academy District",6,"ELL",6,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",6,"Non-ELL",76,2474,2517,44,"44.7%","68.0%"
"=""2790013""","Amistad Academy District",7,"ELL",6,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",7,"Non-ELL",79,2526,2550,24,"29.1%","52.5%"
"=""2790013""","Amistad Academy District",8,"ELL",6,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",8,"Non-ELL",70,2537,2578,42,"45.7%","69.5%"
"=""0010011""","Andover School District",4,"ELL","*","*","*","*","*","*"
"=""0010011""","Andover School District",4,"Non-ELL","*",2491,2532,41,"43.2%","66.4%"
"=""0010011""","Andover School District",5,"Non-ELL",42,2540,2580,40,"52.4%","70.5%"
"=""0010011""","Andover School District",6,"Non-ELL",45,2579,2597,17,"48.9%","63.5%"
"=""0020011""","Ansonia School District",4,"ELL","*","*","*","*","*","*"
"=""0020011""","Ansonia School District",4,"Non-ELL","*",2412,2454,42,"32.2%","59.5%"
"=""0020011""","Ansonia School District",5,"ELL","*","*","*","*","*","*"
"=""0020011""","Ansonia School District",5,"Non-ELL","*",2437,2461,24,"20.7%","48.5%"
"=""0020011""","Ansonia School District",6,"ELL","*","*","*","*","*","*"
"=""0020011""","Ansonia School District",6,"Non-ELL","*",2471,2507,36,"42.4%","63.3%"
"=""0020011""","Ansonia School District",7,"Non-ELL",148,2470,2480,9,"18.9%","40.6%"
"=""0020011""","Ansonia School District",8,"ELL","*","*","*","*","*","*"
"=""0020011""","Ansonia School District",8,"Non-ELL","*",2511,2528,17,"31.0%","48.1%"
"=""2440014""","Area Cooperative Educational Services",4,"ELL","*","*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services",4,"Non-ELL","*",2372,2408,36,"29.0%","52.2%"
"=""2440014""","Area Cooperative Educational Services",5,"Non-ELL",89,2406,2446,41,"23.6%","55.8%"
"=""2440014""","Area Cooperative Educational Services",6,"ELL",14,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services",6,"Non-ELL",308,2495,2502,7,"26.0%","43.9%"
"=""2440014""","Area Cooperative Educational Services",7,"ELL",19,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services",7,"Non-ELL",300,2501,2528,27,"35.0%","55.9%"
"=""2440014""","Area Cooperative Educational Services",8,"ELL",14,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services",8,"Non-ELL",285,2525,2548,23,"34.4%","53.4%"
"=""0030011""","Ashford School District",4,"Non-ELL",41,2460,2500,40,"39.0%","60.8%"
"=""0030011""","Ashford School District",5,"Non-ELL",37,2552,2563,12,"37.8%","55.8%"
"=""0030011""","Ashford School District",6,"Non-ELL",36,2493,2516,23,"33.3%","52.7%"
"=""0030011""","Ashford School District",7,"ELL","*","*","*","*","*","*"
"=""0030011""","Ashford School District",7,"Non-ELL","*",2532,2567,36,"43.5%","65.0%"
"=""0030011""","Ashford School District",8,"Non-ELL",34,2551,2585,34,"35.3%","64.3%"
"=""0040011""","Avon School District",4,"ELL","*","*","*","*","*","*"
"=""0040011""","Avon School District",4,"Non-ELL","*",2505,2550,45,"52.8%","72.1%"
"=""0040011""","Avon School District",5,"ELL","*","*","*","*","*","*"
"=""0040011""","Avon School District",5,"Non-ELL","*",2528,2571,43,"54.2%","73.7%"
"=""0040011""","Avon School District",6,"ELL","*","*","*","*","*","*"
"=""0040011""","Avon School District",6,"Non-ELL","*",2573,2613,39,"63.5%","80.0%"
"=""0040011""","Avon School District",7,"ELL","*","*","*","*","*","*"
"=""0040011""","Avon School District",7,"Non-ELL","*",2598,2637,39,"59.9%","76.1%"
"=""0040011""","Avon School District",8,"ELL","*","*","*","*","*","*"
"=""0040011""","Avon School District",8,"Non-ELL","*",2613,2636,23,"50.0%","64.8%"
"=""0050011""","Barkhamsted School District",4,"Non-ELL",45,2436,2492,56,"55.6%","76.2%"
