"Smarter Balanced Growth Report, 2015-16"
"All Districts, All Students"

"District Code","District","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District",462,"43.3%","65.0%"
"=""2790013""","Amistad Academy District",411,"55.2%","76.0%"
"=""0010011""","Andover School District",127,"49.6%","75.7%"
"=""0020011""","Ansonia School District",803,"34.9%","57.3%"
"=""2440014""","Area Cooperative Educational Services",1119,"35.9%","55.7%"
"=""0030011""","Ashford School District",193,"42.0%","58.3%"
"=""0040011""","Avon School District",1238,"57.5%","76.2%"
"=""0050011""","Barkhamsted School District",133,"34.6%","66.4%"
"=""0070011""","Berlin School District",1086,"44.6%","66.4%"
"=""0080011""","Bethany School District",167,"55.7%","78.7%"
"=""0090011""","Bethel School District",1009,"58.7%","79.7%"
"=""0110011""","Bloomfield School District",565,"43.4%","65.4%"
"=""0120011""","Bolton School District",289,"50.5%","71.0%"
"=""0130011""","Bozrah School District",107,"46.7%","73.0%"
"=""0140011""","Branford School District",1046,"41.7%","63.0%"
"=""2850013""","Bridgeport Achievement First District",422,"59.5%","77.8%"
"=""0150011""","Bridgeport School District",6719,"29.1%","50.9%"
"=""0170011""","Bristol School District",2782,"43.0%","65.6%"
"=""0180011""","Brookfield School District",957,"45.7%","67.9%"
"=""0190011""","Brooklyn School District",423,"38.5%","58.8%"
"=""0210011""","Canaan School District",39,"23.1%","45.3%"
"=""0220011""","Canterbury School District",248,"44.4%","67.6%"
"=""0230011""","Canton School District",644,"55.1%","76.5%"
"=""2970013""","Capital Preparatory Harbor School Inc. District",87,"13.8%","31.6%"
"=""2410014""","Capitol Region Education Council",2512,"37.3%","58.4%"
"=""0240011""","Chaplin School District",42,"31.0%","43.8%"
"=""0250011""","Cheshire School District",1689,"53.1%","72.9%"
"=""0260011""","Chester School District",100,"55.0%","74.4%"
"=""0270011""","Clinton School District",727,"48.6%","69.8%"
"=""0280011""","Colchester School District",935,"42.6%","61.9%"
"=""0290011""","Colebrook School District",31,"35.5%","62.7%"
"=""0300011""","Columbia School District",227,"37.4%","60.9%"
"=""2430014""","Cooperative Educational Services",268,"37.7%","58.0%"
"=""0310011""","Cornwall School District",45,"46.7%","65.7%"
"=""0320011""","Coventry School District",605,"52.1%","75.4%"
"=""0330011""","Cromwell School District",752,"37.9%","59.0%"
"=""0340011""","Danbury School District",3734,"42.8%","64.5%"
"=""0350011""","Darien School District",1809,"68.0%","86.1%"
"=""0360011""","Deep River School District",146,"50.7%","73.0%"
"=""0370011""","Derby School District",520,"22.9%","45.2%"
"=""0400011""","East Granby School District",310,"50.3%","70.6%"
"=""0410011""","East Haddam School District",392,"32.4%","52.4%"
"=""0420011""","East Hampton School District",644,"34.6%","55.1%"
"=""0430011""","East Hartford School District",2195,"26.7%","48.1%"
"=""0440011""","East Haven School District",1059,"37.7%","61.0%"
"=""0450011""","East Lyme School District",957,"50.4%","70.7%"
