"Smarter Balanced Growth Report, 2015-16"
"State of Connecticut, Free/Reduced Price Meal Eligibility (2-level)"

"",,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","Grade","Free/Reduced Price Meal Eligibility (2-level)","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""0000000""","State of Connecticut",4,"Eligible For Lunch",15049,2386,2434,49,"35.5%","67.4%"
"=""0000000""","State of Connecticut",4,"Not Eligible For Lunch",21432,2459,2511,53,"49.4%","77.6%"
"=""0000000""","State of Connecticut",5,"Eligible For Lunch",14624,2426,2452,26,"34.8%","57.0%"
"=""0000000""","State of Connecticut",5,"Not Eligible For Lunch",22486,2500,2536,37,"49.7%","71.6%"
"=""0000000""","State of Connecticut",6,"Eligible For Lunch",14201,2444,2463,20,"34.6%","53.9%"
"=""0000000""","State of Connecticut",6,"Not Eligible For Lunch",22833,2525,2560,35,"48.9%","68.7%"
"=""0000000""","State of Connecticut",7,"Eligible For Lunch",14221,2458,2479,22,"36.3%","55.4%"
"=""0000000""","State of Connecticut",7,"Not Eligible For Lunch",23822,2548,2577,29,"48.7%","67.2%"
"=""0000000""","State of Connecticut",8,"Eligible For Lunch",13812,2472,2488,16,"35.4%","51.3%"
"=""0000000""","State of Connecticut",8,"Not Eligible For Lunch",23384,2567,2593,26,"49.5%","65.1%"

