"Smarter Balanced Growth Report, 2015-16"
"All Districts, Special Education"

"District Code","District","Subject","Special Education Status (SWD)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","ELA","Special Education",47,"34.0%","62.4%"
"=""2880013""","Achievement First Hartford Academy Inc. District","ELA","Non-Special Education",418,"49.8%","72.8%"
"=""2880013""","Achievement First Hartford Academy Inc. District","Math","Special Education",48,"29.2%","47.9%"
"=""2880013""","Achievement First Hartford Academy Inc. District","Math","Non-Special Education",414,"44.9%","67.0%"
"=""2790013""","Amistad Academy District","ELA","Special Education",31,"32.3%","63.3%"
"=""2790013""","Amistad Academy District","ELA","Non-Special Education",382,"45.0%","67.5%"
"=""2790013""","Amistad Academy District","Math","Special Education",30,"43.3%","57.5%"
"=""2790013""","Amistad Academy District","Math","Non-Special Education",381,"56.2%","77.5%"
"=""0010011""","Andover School District","ELA","Special Education","*","*","*"
"=""0010011""","Andover School District","ELA","Non-Special Education","*","50.0%","67.9%"
"=""0010011""","Andover School District","Math","Special Education","*","*","*"
"=""0010011""","Andover School District","Math","Non-Special Education","*","50.0%","76.8%"
"=""0020011""","Ansonia School District","ELA","Special Education",130,"20.8%","48.1%"
"=""0020011""","Ansonia School District","ELA","Non-Special Education",673,"30.5%","52.7%"
"=""0020011""","Ansonia School District","Math","Special Education",130,"23.8%","46.1%"
"=""0020011""","Ansonia School District","Math","Non-Special Education",673,"37.0%","59.4%"
"=""2440014""","Area Cooperative Educational Services","ELA","Special Education",212,"24.1%","44.7%"
"=""2440014""","Area Cooperative Educational Services","ELA","Non-Special Education",911,"32.2%","53.1%"
"=""2440014""","Area Cooperative Educational Services","Math","Special Education",206,"29.1%","49.9%"
"=""2440014""","Area Cooperative Educational Services","Math","Non-Special Education",913,"37.5%","57.0%"
"=""0030011""","Ashford School District","ELA","Special Education",22,"22.7%","47.3%"
"=""0030011""","Ashford School District","ELA","Non-Special Education",173,"39.9%","61.2%"
"=""0030011""","Ashford School District","Math","Special Education",20,"50.0%","80.7%"
"=""0030011""","Ashford School District","Math","Non-Special Education",173,"41.0%","55.8%"
"=""0040011""","Avon School District","ELA","Special Education",96,"39.6%","59.3%"
"=""0040011""","Avon School District","ELA","Non-Special Education",1137,"57.3%","74.4%"
"=""0040011""","Avon School District","Math","Special Education",96,"34.4%","55.8%"
"=""0040011""","Avon School District","Math","Non-Special Education",1142,"59.5%","77.9%"
"=""0050011""","Barkhamsted School District","ELA","Special Education",21,"23.8%","58.1%"
"=""0050011""","Barkhamsted School District","ELA","Non-Special Education",112,"49.1%","72.1%"
"=""0050011""","Barkhamsted School District","Math","Special Education",21,"23.8%","55.9%"
"=""0050011""","Barkhamsted School District","Math","Non-Special Education",112,"36.6%","68.3%"
"=""0070011""","Berlin School District","ELA","Special Education",122,"46.7%","69.2%"
"=""0070011""","Berlin School District","ELA","Non-Special Education",965,"52.4%","73.4%"
"=""0070011""","Berlin School District","Math","Special Education",121,"33.1%","51.5%"
"=""0070011""","Berlin School District","Math","Non-Special Education",965,"46.0%","68.3%"
"=""0080011""","Bethany School District","ELA","Special Education",24,"33.3%","64.5%"
"=""0080011""","Bethany School District","ELA","Non-Special Education",143,"52.4%","70.6%"
"=""0080011""","Bethany School District","Math","Special Education",24,"50.0%","72.4%"
"=""0080011""","Bethany School District","Math","Non-Special Education",143,"56.6%","79.7%"
"=""0090011""","Bethel School District","ELA","Special Education",102,"39.2%","61.3%"
"=""0090011""","Bethel School District","ELA","Non-Special Education",907,"52.6%","71.9%"
"=""0090011""","Bethel School District","Math","Special Education",102,"47.1%","69.3%"
"=""0090011""","Bethel School District","Math","Non-Special Education",907,"60.0%","80.9%"
"=""0110011""","Bloomfield School District","ELA","Special Education",83,"26.5%","57.3%"
"=""0110011""","Bloomfield School District","ELA","Non-Special Education",480,"38.1%","60.8%"
"=""0110011""","Bloomfield School District","Math","Special Education",83,"31.3%","51.6%"
"=""0110011""","Bloomfield School District","Math","Non-Special Education",482,"45.4%","67.8%"
"=""0120011""","Bolton School District","ELA","Special Education",35,"25.7%","51.8%"
"=""0120011""","Bolton School District","ELA","Non-Special Education",254,"59.8%","78.5%"
"=""0120011""","Bolton School District","Math","Special Education",35,"54.3%","75.5%"
"=""0120011""","Bolton School District","Math","Non-Special Education",254,"50.0%","70.3%"
"=""0130011""","Bozrah School District","ELA","Special Education",17,"*","*"
"=""0130011""","Bozrah School District","ELA","Non-Special Education",90,"45.6%","66.4%"
"=""0130011""","Bozrah School District","Math","Special Education",17,"*","*"
"=""0130011""","Bozrah School District","Math","Non-Special Education",90,"47.8%","75.5%"
"=""0140011""","Branford School District","ELA","Special Education",122,"33.6%","56.7%"
"=""0140011""","Branford School District","ELA","Non-Special Education",925,"45.2%","63.7%"
"=""0140011""","Branford School District","Math","Special Education",120,"36.7%","57.9%"
"=""0140011""","Branford School District","Math","Non-Special Education",926,"42.3%","63.7%"
"=""2850013""","Bridgeport Achievement First District","ELA","Special Education",38,"47.4%","71.6%"
"=""2850013""","Bridgeport Achievement First District","ELA","Non-Special Education",384,"49.7%","68.6%"
"=""2850013""","Bridgeport Achievement First District","Math","Special Education",38,"36.8%","60.8%"
"=""2850013""","Bridgeport Achievement First District","Math","Non-Special Education",384,"61.7%","79.5%"
"=""0150011""","Bridgeport School District","ELA","Special Education",945,"23.1%","45.9%"
"=""0150011""","Bridgeport School District","ELA","Non-Special Education",5651,"32.3%","56.1%"
"=""0150011""","Bridgeport School District","Math","Special Education",946,"28.6%","48.4%"
"=""0150011""","Bridgeport School District","Math","Non-Special Education",5773,"29.2%","51.3%"
"=""0170011""","Bristol School District","ELA","Special Education",491,"34.0%","58.0%"
"=""0170011""","Bristol School District","ELA","Non-Special Education",2274,"43.8%","65.6%"
"=""0170011""","Bristol School District","Math","Special Education",491,"35.2%","56.1%"
"=""0170011""","Bristol School District","Math","Non-Special Education",2291,"44.7%","67.7%"
"=""0180011""","Brookfield School District","ELA","Special Education",110,"31.8%","50.3%"
"=""0180011""","Brookfield School District","ELA","Non-Special Education",847,"45.1%","65.0%"
"=""0180011""","Brookfield School District","Math","Special Education",109,"45.0%","66.3%"
"=""0180011""","Brookfield School District","Math","Non-Special Education",848,"45.8%","68.2%"
"=""0190011""","Brooklyn School District","ELA","Special Education",32,"21.9%","51.2%"
"=""0190011""","Brooklyn School District","ELA","Non-Special Education",391,"50.9%","70.4%"
"=""0190011""","Brooklyn School District","Math","Special Education",32,"21.9%","53.4%"
"=""0190011""","Brooklyn School District","Math","Non-Special Education",391,"39.9%","59.3%"
"=""0210011""","Canaan School District","ELA","Special Education","*","*","*"
"=""0210011""","Canaan School District","ELA","Non-Special Education","*","57.1%","73.6%"
"=""0210011""","Canaan School District","Math","Special Education","*","*","*"
"=""0210011""","Canaan School District","Math","Non-Special Education","*","22.9%","47.2%"
"=""0220011""","Canterbury School District","ELA","Special Education",21,"38.1%","66.2%"
"=""0220011""","Canterbury School District","ELA","Non-Special Education",227,"44.9%","66.9%"
"=""0220011""","Canterbury School District","Math","Special Education",21,"33.3%","51.7%"
"=""0220011""","Canterbury School District","Math","Non-Special Education",227,"45.4%","69.1%"
"=""0230011""","Canton School District","ELA","Special Education",74,"29.7%","56.1%"
"=""0230011""","Canton School District","ELA","Non-Special Education",570,"54.0%","73.0%"
"=""0230011""","Canton School District","Math","Special Education",74,"36.5%","52.8%"
"=""0230011""","Canton School District","Math","Non-Special Education",570,"57.5%","79.6%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","ELA","Special Education","*","*","*"
"=""2970013""","Capital Preparatory Harbor School Inc. District","ELA","Non-Special Education","*","36.1%","56.5%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","Math","Special Education","*","*","*"
"=""2970013""","Capital Preparatory Harbor School Inc. District","Math","Non-Special Education","*","14.6%","32.8%"
"=""2410014""","Capitol Region Education Council","ELA","Special Education",357,"24.4%","49.5%"
"=""2410014""","Capitol Region Education Council","ELA","Non-Special Education",2182,"42.5%","63.3%"
"=""2410014""","Capitol Region Education Council","Math","Special Education",343,"35.6%","54.2%"
"=""2410014""","Capitol Region Education Council","Math","Non-Special Education",2169,"37.6%","59.1%"
"=""0240011""","Chaplin School District","ELA","Special Education",9,"*","*"
"=""0240011""","Chaplin School District","ELA","Non-Special Education",34,"55.9%","76.6%"
"=""0240011""","Chaplin School District","Math","Special Education",8,"*","*"
"=""0240011""","Chaplin School District","Math","Non-Special Education",34,"29.4%","42.4%"
"=""0250011""","Cheshire School District","ELA","Special Education",160,"40.6%","64.1%"
"=""0250011""","Cheshire School District","ELA","Non-Special Education",1528,"54.0%","70.6%"
"=""0250011""","Cheshire School District","Math","Special Education",160,"41.9%","62.7%"
"=""0250011""","Cheshire School District","Math","Non-Special Education",1529,"54.3%","73.9%"
"=""0260011""","Chester School District","ELA","Special Education",20,"55.0%","77.9%"
"=""0260011""","Chester School District","ELA","Non-Special Education",80,"48.8%","66.2%"
"=""0260011""","Chester School District","Math","Special Education",20,"50.0%","64.8%"
"=""0260011""","Chester School District","Math","Non-Special Education",80,"56.3%","76.8%"
"=""0270011""","Clinton School District","ELA","Special Education",100,"23.0%","49.3%"
"=""0270011""","Clinton School District","ELA","Non-Special Education",625,"46.2%","65.6%"
"=""0270011""","Clinton School District","Math","Special Education",100,"39.0%","58.9%"
"=""0270011""","Clinton School District","Math","Non-Special Education",627,"50.1%","71.5%"
"=""0280011""","Colchester School District","ELA","Special Education",123,"36.6%","61.3%"
"=""0280011""","Colchester School District","ELA","Non-Special Education",812,"50.2%","70.4%"
"=""0280011""","Colchester School District","Math","Special Education",123,"31.7%","48.7%"
"=""0280011""","Colchester School District","Math","Non-Special Education",812,"44.2%","63.9%"
"=""0290011""","Colebrook School District","ELA","Special Education",7,"*","*"
"=""0290011""","Colebrook School District","ELA","Non-Special Education",24,"66.7%","85.3%"
