"Smarter Balanced Growth Report, 2015-16"
"All Districts, High Needs (F, R, ELL or SWD)"

"",,,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","Grade","Subject","High Needs (F/R, EL or SWD)","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District",4,"ELA","High Needs",87,2407,2481,73,"56.3%","82.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District",4,"Math","High Needs",85,2427,2483,56,"44.7%","78.5%"
"=""2880013""","Achievement First Hartford Academy Inc. District",5,"ELA","High Needs",131,2418,2467,49,"37.4%","61.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District",5,"Math","High Needs",130,2435,2458,23,"34.6%","51.9%"
"=""2880013""","Achievement First Hartford Academy Inc. District",6,"ELA","High Needs",131,2461,2515,55,"48.9%","74.0%"
"=""2880013""","Achievement First Hartford Academy Inc. District",6,"Math","High Needs",130,2429,2477,48,"53.8%","76.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District",7,"ELA","High Needs",55,2491,2535,44,"47.3%","67.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District",7,"Math","High Needs",55,2459,2472,13,"25.5%","46.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District",8,"ELA","High Needs",61,2521,2580,59,"59.0%","77.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District",8,"Math","High Needs",62,2500,2539,39,"53.2%","67.6%"
"=""2790013""","Amistad Academy District",4,"ELA","High Needs",79,2420,2485,64,"50.6%","74.8%"
"=""2790013""","Amistad Academy District",4,"ELA","Non-High Needs",6,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",4,"Math","High Needs",78,2437,2499,62,"59.0%","86.6%"
"=""2790013""","Amistad Academy District",4,"Math","Non-High Needs",6,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",5,"ELA","High Needs",73,2454,2504,50,"43.8%","67.0%"
"=""2790013""","Amistad Academy District",5,"ELA","Non-High Needs",12,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",5,"Math","High Needs",73,2472,2501,29,"39.7%","64.5%"
"=""2790013""","Amistad Academy District",5,"Math","Non-High Needs",12,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",6,"ELA","High Needs",71,2463,2508,45,"46.5%","69.0%"
"=""2790013""","Amistad Academy District",6,"ELA","Non-High Needs",11,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",6,"Math","High Needs",71,2453,2526,73,"73.2%","89.2%"
"=""2790013""","Amistad Academy District",6,"Math","Non-High Needs",11,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",7,"ELA","High Needs",69,2510,2534,24,"31.9%","52.7%"
"=""2790013""","Amistad Academy District",7,"ELA","Non-High Needs",16,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",7,"Math","High Needs",69,2500,2526,25,"34.8%","56.9%"
"=""2790013""","Amistad Academy District",7,"Math","Non-High Needs",16,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",8,"ELA","High Needs",58,2518,2555,36,"39.7%","63.7%"
"=""2790013""","Amistad Academy District",8,"ELA","Non-High Needs",18,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",8,"Math","High Needs",57,2491,2545,55,"64.9%","79.4%"
"=""2790013""","Amistad Academy District",8,"Math","Non-High Needs",18,"*","*","*","*","*"
"=""0010011""","Andover School District",4,"ELA","High Needs",8,"*","*","*","*","*"
"=""0010011""","Andover School District",4,"ELA","Non-High Needs",30,2491,2542,51,"50.0%","77.1%"
"=""0010011""","Andover School District",4,"Math","High Needs",8,"*","*","*","*","*"
"=""0010011""","Andover School District",4,"Math","Non-High Needs",30,2468,2519,51,"36.7%","77.0%"
"=""0010011""","Andover School District",5,"ELA","High Needs","*","*","*","*","*","*"
"=""0010011""","Andover School District",5,"ELA","Non-High Needs","*",2538,2581,43,"55.3%","74.1%"
"=""0010011""","Andover School District",5,"Math","High Needs","*","*","*","*","*","*"
"=""0010011""","Andover School District",5,"Math","Non-High Needs","*",2534,2573,39,"52.6%","76.0%"
"=""0010011""","Andover School District",6,"ELA","High Needs",10,"*","*","*","*","*"
"=""0010011""","Andover School District",6,"ELA","Non-High Needs",35,2598,2617,19,"54.3%","67.0%"
