"Smarter Balanced Growth Report, 2015-16"
"All Districts, ELL"

"",,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","Grade","English Learner Status (EL)","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District",4,"ELL","*","*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District",4,"Non-ELL","*",2426,2484,58,"45.1%","80.0%"
"=""2880013""","Achievement First Hartford Academy Inc. District",5,"Non-ELL",130,2435,2458,23,"34.6%","51.9%"
"=""2880013""","Achievement First Hartford Academy Inc. District",6,"ELL",9,"*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District",6,"Non-ELL",121,2431,2479,48,"53.7%","75.9%"
"=""2880013""","Achievement First Hartford Academy Inc. District",7,"ELL","*","*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District",7,"Non-ELL","*",2460,2474,14,"25.9%","47.0%"
"=""2880013""","Achievement First Hartford Academy Inc. District",8,"ELL","*","*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District",8,"Non-ELL","*",2502,2541,40,"54.1%","68.7%"
"=""2790013""","Amistad Academy District",4,"ELL","*","*","*","*","*","*"
"=""2790013""","Amistad Academy District",4,"Non-ELL","*",2440,2502,62,"59.5%","87.6%"
"=""2790013""","Amistad Academy District",5,"ELL","*","*","*","*","*","*"
"=""2790013""","Amistad Academy District",5,"Non-ELL","*",2474,2501,27,"36.9%","60.9%"
"=""2790013""","Amistad Academy District",6,"ELL",6,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",6,"Non-ELL",76,2459,2536,77,"75.0%","90.6%"
"=""2790013""","Amistad Academy District",7,"ELL",6,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",7,"Non-ELL",79,2516,2549,33,"41.8%","63.6%"
"=""2790013""","Amistad Academy District",8,"ELL",6,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",8,"Non-ELL",69,2509,2571,62,"69.6%","84.1%"
"=""0010011""","Andover School District",4,"ELL","*","*","*","*","*","*"
"=""0010011""","Andover School District",4,"Non-ELL","*",2465,2514,49,"35.1%","71.8%"
"=""0010011""","Andover School District",5,"Non-ELL",42,2533,2573,40,"52.4%","76.1%"
"=""0010011""","Andover School District",6,"ELL","*","*","*","*","*","*"
"=""0010011""","Andover School District",6,"Non-ELL","*",2554,2594,39,"60.0%","79.5%"
"=""0020011""","Ansonia School District",4,"ELL","*","*","*","*","*","*"
"=""0020011""","Ansonia School District",4,"Non-ELL","*",2414,2454,40,"25.7%","62.3%"
"=""0020011""","Ansonia School District",5,"ELL","*","*","*","*","*","*"
"=""0020011""","Ansonia School District",5,"Non-ELL","*",2441,2447,6,"22.4%","40.2%"
"=""0020011""","Ansonia School District",6,"ELL","*","*","*","*","*","*"
"=""0020011""","Ansonia School District",6,"Non-ELL","*",2452,2502,50,"61.4%","81.4%"
"=""0020011""","Ansonia School District",7,"Non-ELL",148,2474,2488,14,"27.7%","49.1%"
"=""0020011""","Ansonia School District",8,"ELL","*","*","*","*","*","*"
"=""0020011""","Ansonia School District",8,"Non-ELL","*",2498,2512,14,"37.7%","54.9%"
"=""2440014""","Area Cooperative Educational Services",4,"ELL","*","*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services",4,"Non-ELL","*",2364,2399,35,"19.4%","53.2%"
"=""2440014""","Area Cooperative Educational Services",5,"Non-ELL",88,2396,2412,16,"28.4%","48.9%"
"=""2440014""","Area Cooperative Educational Services",6,"ELL",15,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services",6,"Non-ELL",309,2464,2476,11,"29.1%","47.0%"
"=""2440014""","Area Cooperative Educational Services",7,"ELL",19,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services",7,"Non-ELL",296,2473,2515,42,"53.0%","73.7%"
"=""2440014""","Area Cooperative Educational Services",8,"ELL",14,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services",8,"Non-ELL",284,2493,2505,12,"34.2%","49.9%"
"=""0030011""","Ashford School District",4,"Non-ELL",40,2454,2507,53,"55.0%","81.3%"
"=""0030011""","Ashford School District",5,"Non-ELL",37,2536,2503,-33,"0.0%","6.2%"
"=""0030011""","Ashford School District",6,"Non-ELL",36,2471,2479,8,"19.4%","42.1%"
"=""0030011""","Ashford School District",7,"ELL","*","*","*","*","*","*"
"=""0030011""","Ashford School District",7,"Non-ELL","*",2493,2564,71,"75.6%","90.4%"
"=""0030011""","Ashford School District",8,"Non-ELL",34,2560,2583,23,"50.0%","61.4%"
"=""0040011""","Avon School District",4,"ELL",8,"*","*","*","*","*"
"=""0040011""","Avon School District",4,"Non-ELL",196,2503,2541,38,"44.4%","67.6%"
"=""0040011""","Avon School District",5,"ELL","*","*","*","*","*","*"
"=""0040011""","Avon School District",5,"Non-ELL","*",2525,2548,23,"40.7%","60.2%"
"=""0040011""","Avon School District",6,"ELL","*","*","*","*","*","*"
"=""0040011""","Avon School District",6,"Non-ELL","*",2548,2604,55,"69.3%","88.2%"
"=""0040011""","Avon School District",7,"ELL","*","*","*","*","*","*"
"=""0040011""","Avon School District",7,"Non-ELL","*",2599,2640,41,"63.3%","82.2%"
"=""0040011""","Avon School District",8,"ELL","*","*","*","*","*","*"
"=""0040011""","Avon School District",8,"Non-ELL","*",2624,2658,34,"67.3%","80.4%"
