"Smarter Balanced Growth Report, 2015-16"
"State of Connecticut, Race"

"District Code","District","Subject","Race/Ethnicity","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0000000""","State of Connecticut","ELA","Native Hawaiian or Other Pacific Islander",155,"51.6%","68.1%"
"=""0000000""","State of Connecticut","ELA","American Indian or Alaska Native",478,"40.6%","63.9%"
"=""0000000""","State of Connecticut","ELA","Two or More Races",4876,"44.6%","64.2%"
"=""0000000""","State of Connecticut","ELA","Asian",9195,"55.0%","73.5%"
"=""0000000""","State of Connecticut","ELA","Black or African American",23011,"33.6%","56.6%"
"=""0000000""","State of Connecticut","ELA","Hispanic/Latino of any race",40951,"35.8%","58.8%"
"=""0000000""","State of Connecticut","ELA","White",106679,"46.9%","66.4%"
"=""0000000""","State of Connecticut","Math","Native Hawaiian or Other Pacific Islander",157,"51.0%","72.2%"
"=""0000000""","State of Connecticut","Math","American Indian or Alaska Native",482,"41.1%","63.6%"
"=""0000000""","State of Connecticut","Math","Two or More Races",4874,"44.1%","65.3%"
"=""0000000""","State of Connecticut","Math","Asian",9289,"60.9%","79.4%"
"=""0000000""","State of Connecticut","Math","Black or African American",23002,"33.6%","55.3%"
"=""0000000""","State of Connecticut","Math","Hispanic/Latino of any race",41513,"36.3%","58.2%"
"=""0000000""","State of Connecticut","Math","White",106547,"47.5%","68.4%"

