"Smarter Balanced Growth Report, 2015-16"
"All Districts, Gender"

"District Code","District","Gender","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","Male",230,"45.7%","69.9%"
"=""2880013""","Achievement First Hartford Academy Inc. District","Female",235,"50.6%","73.5%"
"=""2790013""","Amistad Academy District","Male",211,"39.3%","63.2%"
"=""2790013""","Amistad Academy District","Female",202,"49.0%","71.3%"
"=""0010011""","Andover School District","Male",67,"40.3%","60.5%"
"=""0010011""","Andover School District","Female",58,"58.6%","74.5%"
"=""0020011""","Ansonia School District","Male",403,"29.8%","53.1%"
"=""0020011""","Ansonia School District","Female",400,"28.0%","50.8%"
"=""2440014""","Area Cooperative Educational Services","Male",611,"27.8%","48.3%"
"=""2440014""","Area Cooperative Educational Services","Female",512,"34.0%","55.3%"
"=""0030011""","Ashford School District","Male",98,"36.7%","56.5%"
"=""0030011""","Ashford School District","Female",97,"39.2%","62.8%"
"=""0040011""","Avon School District","Male",634,"53.0%","72.2%"
"=""0040011""","Avon School District","Female",599,"58.9%","74.3%"
"=""0050011""","Barkhamsted School District","Male",66,"43.9%","67.3%"
"=""0050011""","Barkhamsted School District","Female",67,"46.3%","72.5%"
"=""0070011""","Berlin School District","Male",598,"49.7%","71.0%"
"=""0070011""","Berlin School District","Female",489,"54.4%","75.2%"
"=""0080011""","Bethany School District","Male",91,"46.2%","68.5%"
"=""0080011""","Bethany School District","Female",76,"53.9%","71.2%"
"=""0090011""","Bethel School District","Male",516,"49.4%","68.5%"
"=""0090011""","Bethel School District","Female",493,"53.1%","73.3%"
"=""0110011""","Bloomfield School District","Male",285,"30.2%","56.6%"
"=""0110011""","Bloomfield School District","Female",278,"42.8%","64.0%"
"=""0120011""","Bolton School District","Male",145,"53.8%","74.4%"
"=""0120011""","Bolton School District","Female",144,"57.6%","76.2%"
"=""0130011""","Bozrah School District","Male",51,"35.3%","56.2%"
"=""0130011""","Bozrah School District","Female",56,"44.6%","65.2%"
"=""0140011""","Branford School District","Male",524,"42.0%","61.8%"
"=""0140011""","Branford School District","Female",523,"45.7%","64.0%"
"=""2850013""","Bridgeport Achievement First District","Male",210,"47.1%","67.8%"
"=""2850013""","Bridgeport Achievement First District","Female",212,"51.9%","69.8%"
"=""0150011""","Bridgeport School District","Male",3401,"28.7%","52.5%"
"=""0150011""","Bridgeport School District","Female",3195,"33.4%","56.9%"
"=""0170011""","Bristol School District","Male",1421,"40.5%","62.4%"
"=""0170011""","Bristol School District","Female",1344,"43.7%","66.3%"
"=""0180011""","Brookfield School District","Male",490,"40.8%","61.8%"
"=""0180011""","Brookfield School District","Female",467,"46.5%","64.9%"
"=""0190011""","Brooklyn School District","Male",204,"45.1%","65.8%"
"=""0190011""","Brooklyn School District","Female",219,"52.1%","71.8%"
"=""0210011""","Canaan School District","Male",18,"*","*"
"=""0210011""","Canaan School District","Female",21,"57.1%","76.4%"
"=""0220011""","Canterbury School District","Male",140,"41.4%","65.1%"
"=""0220011""","Canterbury School District","Female",108,"48.1%","69.2%"
"=""0230011""","Canton School District","Male",319,"45.1%","67.1%"
"=""0230011""","Canton School District","Female",325,"57.2%","75.0%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","Male",49,"38.8%","60.6%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","Female",39,"30.8%","51.9%"
"=""2410014""","Capitol Region Education Council","Male",1362,"36.6%","58.7%"
"=""2410014""","Capitol Region Education Council","Female",1177,"43.8%","64.4%"
"=""0240011""","Chaplin School District","Male",23,"56.5%","79.8%"
