"Smarter Balanced Growth Report, 2015-16"
"All Districts, High Needs (F, R, ELL or SWD)"

"",,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","Grade","High Needs (F/R, EL or SWD)","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District",4,"High Needs",87,2407,2481,73,"56.3%","82.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District",5,"High Needs",131,2418,2467,49,"37.4%","61.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District",6,"High Needs",131,2461,2515,55,"48.9%","74.0%"
"=""2880013""","Achievement First Hartford Academy Inc. District",7,"High Needs",55,2491,2535,44,"47.3%","67.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District",8,"High Needs",61,2521,2580,59,"59.0%","77.1%"
"=""2790013""","Amistad Academy District",4,"High Needs",79,2420,2485,64,"50.6%","74.8%"
"=""2790013""","Amistad Academy District",4,"Non-High Needs",6,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",5,"High Needs",73,2454,2504,50,"43.8%","67.0%"
"=""2790013""","Amistad Academy District",5,"Non-High Needs",12,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",6,"High Needs",71,2463,2508,45,"46.5%","69.0%"
"=""2790013""","Amistad Academy District",6,"Non-High Needs",11,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",7,"High Needs",69,2510,2534,24,"31.9%","52.7%"
"=""2790013""","Amistad Academy District",7,"Non-High Needs",16,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",8,"High Needs",58,2518,2555,36,"39.7%","63.7%"
"=""2790013""","Amistad Academy District",8,"Non-High Needs",18,"*","*","*","*","*"
"=""0010011""","Andover School District",4,"High Needs",8,"*","*","*","*","*"
"=""0010011""","Andover School District",4,"Non-High Needs",30,2491,2542,51,"50.0%","77.1%"
"=""0010011""","Andover School District",5,"High Needs","*","*","*","*","*","*"
"=""0010011""","Andover School District",5,"Non-High Needs","*",2538,2581,43,"55.3%","74.1%"
"=""0010011""","Andover School District",6,"High Needs",10,"*","*","*","*","*"
"=""0010011""","Andover School District",6,"Non-High Needs",35,2598,2617,19,"54.3%","67.0%"
"=""0020011""","Ansonia School District",4,"High Needs",113,2396,2440,44,"31.9%","59.8%"
"=""0020011""","Ansonia School District",4,"Non-High Needs",42,2446,2487,41,"33.3%","58.8%"
"=""0020011""","Ansonia School District",5,"High Needs",124,2422,2441,19,"15.3%","43.1%"
"=""0020011""","Ansonia School District",5,"Non-High Needs",46,2475,2510,35,"34.8%","62.5%"
"=""0020011""","Ansonia School District",6,"High Needs",115,2452,2490,38,"42.6%","64.4%"
"=""0020011""","Ansonia School District",6,"Non-High Needs",45,2510,2542,32,"40.0%","60.2%"
"=""0020011""","Ansonia School District",7,"High Needs",111,2457,2467,10,"16.2%","39.1%"
"=""0020011""","Ansonia School District",7,"Non-High Needs",37,2510,2517,7,"27.0%","45.3%"
"=""0020011""","Ansonia School District",8,"High Needs",136,2497,2512,14,"27.9%","45.3%"
"=""0020011""","Ansonia School District",8,"Non-High Needs",34,2558,2586,28,"41.2%","58.5%"
"=""2440014""","Area Cooperative Educational Services",4,"High Needs",68,2354,2386,32,"22.1%","47.1%"
"=""2440014""","Area Cooperative Educational Services",4,"Non-High Needs",26,2420,2464,43,"46.2%","63.5%"
