"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (3-level)"

"District Code","District","Free/Reduced Price Meal Eligibility (3-level)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","Eligible for Free Lunch",465,"48.2%","71.7%"
"=""2790013""","Amistad Academy District","Eligible for Free Lunch",281,"42.3%","64.9%"
"=""2790013""","Amistad Academy District","Not Eligible for Free/Reduced Lunch",65,"49.2%","72.5%"
"=""2790013""","Amistad Academy District","Eligible for Reduced Lunch",67,"46.3%","71.6%"
"=""0010011""","Andover School District","Eligible for Free Lunch","*","*","*"
"=""0010011""","Andover School District","Not Eligible for Free/Reduced Lunch",108,"52.8%","72.4%"
"=""0010011""","Andover School District","Eligible for Reduced Lunch","*","*","*"
"=""0020011""","Ansonia School District","Eligible for Free Lunch",477,"27.3%","50.2%"
"=""0020011""","Ansonia School District","Not Eligible for Free/Reduced Lunch",231,"33.8%","56.6%"
"=""0020011""","Ansonia School District","Eligible for Reduced Lunch",95,"25.3%","49.7%"
"=""2440014""","Area Cooperative Educational Services","Eligible for Free Lunch",628,"27.4%","48.6%"
"=""2440014""","Area Cooperative Educational Services","Not Eligible for Free/Reduced Lunch",392,"36.7%","57.3%"
"=""2440014""","Area Cooperative Educational Services","Eligible for Reduced Lunch",103,"27.2%","46.9%"
"=""0030011""","Ashford School District","Eligible for Free Lunch",57,"31.6%","53.8%"
"=""0030011""","Ashford School District","Not Eligible for Free/Reduced Lunch",128,"41.4%","63.2%"
"=""0030011""","Ashford School District","Eligible for Reduced Lunch",10,"*","*"
"=""0040011""","Avon School District","Eligible for Free Lunch",53,"32.1%","57.0%"
"=""0040011""","Avon School District","Not Eligible for Free/Reduced Lunch",1171,"57.1%","74.1%"
"=""0040011""","Avon School District","Eligible for Reduced Lunch",9,"*","*"
"=""0050011""","Barkhamsted School District","Eligible for Free Lunch","*","*","*"
"=""0050011""","Barkhamsted School District","Not Eligible for Free/Reduced Lunch",117,"45.3%","68.6%"
"=""0050011""","Barkhamsted School District","Eligible for Reduced Lunch","*","*","*"
"=""0070011""","Berlin School District","Eligible for Free Lunch",102,"49.0%","70.8%"
"=""0070011""","Berlin School District","Not Eligible for Free/Reduced Lunch",953,"52.6%","73.4%"
"=""0070011""","Berlin School District","Eligible for Reduced Lunch",32,"37.5%","65.8%"
"=""0080011""","Bethany School District","Eligible for Free Lunch","*","*","*"
"=""0080011""","Bethany School District","Not Eligible for Free/Reduced Lunch",154,"49.4%","69.5%"
"=""0080011""","Bethany School District","Eligible for Reduced Lunch","*","*","*"
"=""0090011""","Bethel School District","Eligible for Free Lunch",147,"40.8%","59.5%"
"=""0090011""","Bethel School District","Not Eligible for Free/Reduced Lunch",787,"52.7%","72.6%"
"=""0090011""","Bethel School District","Eligible for Reduced Lunch",75,"56.0%","74.6%"
"=""0110011""","Bloomfield School District","Eligible for Free Lunch",248,"36.3%","57.5%"
"=""0110011""","Bloomfield School District","Not Eligible for Free/Reduced Lunch",262,"35.9%","61.2%"
"=""0110011""","Bloomfield School District","Eligible for Reduced Lunch",53,"39.6%","68.3%"
"=""0120011""","Bolton School District","Eligible for Free Lunch",43,"39.5%","62.7%"
"=""0120011""","Bolton School District","Not Eligible for Free/Reduced Lunch",239,"59.8%","78.8%"
"=""0120011""","Bolton School District","Eligible for Reduced Lunch",7,"*","*"
"=""0130011""","Bozrah School District","Eligible for Free Lunch","*","*","*"
"=""0130011""","Bozrah School District","Not Eligible for Free/Reduced Lunch",85,"37.6%","60.6%"
"=""0130011""","Bozrah School District","Eligible for Reduced Lunch","*","*","*"
"=""0140011""","Branford School District","Eligible for Free Lunch",208,"40.4%","59.7%"
"=""0140011""","Branford School District","Not Eligible for Free/Reduced Lunch",784,"44.8%","63.8%"
"=""0140011""","Branford School District","Eligible for Reduced Lunch",55,"43.6%","63.1%"
"=""2850013""","Bridgeport Achievement First District","Eligible for Free Lunch",301,"47.2%","66.6%"
"=""2850013""","Bridgeport Achievement First District","Not Eligible for Free/Reduced Lunch",75,"61.3%","79.9%"
"=""2850013""","Bridgeport Achievement First District","Eligible for Reduced Lunch",46,"45.7%","65.8%"
"=""0150011""","Bridgeport School District","Eligible for Free Lunch",6596,"31.0%","54.6%"
"=""0170011""","Bristol School District","Eligible for Free Lunch",1087,"39.7%","62.9%"
"=""0170011""","Bristol School District","Not Eligible for Free/Reduced Lunch",1497,"44.0%","65.5%"
"=""0170011""","Bristol School District","Eligible for Reduced Lunch",181,"39.8%","62.6%"
"=""0180011""","Brookfield School District","Eligible for Free Lunch",52,"28.8%","48.8%"
"=""0180011""","Brookfield School District","Not Eligible for Free/Reduced Lunch",888,"44.5%","64.2%"
"=""0180011""","Brookfield School District","Eligible for Reduced Lunch",17,"*","*"
"=""0190011""","Brooklyn School District","Eligible for Free Lunch",99,"42.4%","67.7%"
"=""0190011""","Brooklyn School District","Not Eligible for Free/Reduced Lunch",300,"51.7%","69.6%"
"=""0190011""","Brooklyn School District","Eligible for Reduced Lunch",24,"37.5%","65.5%"
"=""0210011""","Canaan School District","Eligible for Free Lunch","*","*","*"
"=""0210011""","Canaan School District","Not Eligible for Free/Reduced Lunch","*","55.9%","73.8%"
"=""0220011""","Canterbury School District","Eligible for Free Lunch",54,"48.1%","71.1%"
"=""0220011""","Canterbury School District","Not Eligible for Free/Reduced Lunch",176,"40.9%","64.4%"
"=""0220011""","Canterbury School District","Eligible for Reduced Lunch",18,"*","*"
"=""0230011""","Canton School District","Eligible for Free Lunch",67,"31.3%","56.6%"
"=""0230011""","Canton School District","Not Eligible for Free/Reduced Lunch",560,"53.6%","72.6%"
"=""0230011""","Canton School District","Eligible for Reduced Lunch",17,"*","*"
"=""2970013""","Capital Preparatory Harbor School Inc. District","Eligible for Free Lunch",45,"37.8%","57.9%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","Not Eligible for Free/Reduced Lunch",32,"40.6%","64.6%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","Eligible for Reduced Lunch",11,"*","*"
"=""2410014""","Capitol Region Education Council","Eligible for Free Lunch",1121,"35.7%","58.6%"
"=""2410014""","Capitol Region Education Council","Not Eligible for Free/Reduced Lunch",1202,"44.1%","63.4%"
"=""2410014""","Capitol Region Education Council","Eligible for Reduced Lunch",216,"38.9%","64.5%"
