"Smarter Balanced Growth Report, 2015-16"
"State of Connecticut, Gender"

"",,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","Grade","Gender","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""0000000""","State of Connecticut",4,"Female",17803,2441,2493,52,"47.2%","71.1%"
"=""0000000""","State of Connecticut",4,"Male",18513,2421,2474,53,"44.2%","69.3%"
"=""0000000""","State of Connecticut",5,"Female",18290,2486,2534,47,"47.5%","70.5%"
"=""0000000""","State of Connecticut",5,"Male",18670,2464,2507,43,"40.4%","64.2%"
"=""0000000""","State of Connecticut",6,"Female",17973,2523,2551,28,"43.0%","61.6%"
"=""0000000""","State of Connecticut",6,"Male",18958,2499,2528,29,"41.3%","60.3%"
"=""0000000""","State of Connecticut",7,"Female",18454,2543,2576,32,"44.1%","62.7%"
"=""0000000""","State of Connecticut",7,"Male",19547,2519,2549,30,"40.1%","59.0%"
"=""0000000""","State of Connecticut",8,"Female",18061,2564,2593,29,"45.1%","62.7%"
"=""0000000""","State of Connecticut",8,"Male",19076,2539,2563,24,"38.9%","57.0%"

