"Smarter Balanced Growth Report, 2015-16"
"All Districts, Gender"

"",,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","Grade","Gender","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District",4,"Female",39,2419,2476,57,"43.6%","84.9%"
"=""2880013""","Achievement First Hartford Academy Inc. District",4,"Male",46,2433,2489,55,"45.7%","73.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District",5,"Female",73,2436,2464,28,"34.2%","54.0%"
"=""2880013""","Achievement First Hartford Academy Inc. District",5,"Male",57,2434,2449,16,"35.1%","49.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District",6,"Female",60,2433,2481,48,"55.0%","77.5%"
"=""2880013""","Achievement First Hartford Academy Inc. District",6,"Male",70,2426,2474,47,"52.9%","75.0%"
"=""2880013""","Achievement First Hartford Academy Inc. District",7,"Female",32,2470,2484,14,"18.8%","44.8%"
"=""2880013""","Achievement First Hartford Academy Inc. District",7,"Male",23,2444,2456,12,"34.8%","48.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District",8,"Female",29,2498,2535,37,"48.3%","66.9%"
"=""2880013""","Achievement First Hartford Academy Inc. District",8,"Male",33,2502,2542,40,"57.6%","68.2%"
"=""2790013""","Amistad Academy District",4,"Female",39,2427,2499,72,"69.2%","92.2%"
"=""2790013""","Amistad Academy District",4,"Male",45,2444,2500,57,"51.1%","83.3%"
"=""2790013""","Amistad Academy District",5,"Female",44,2478,2508,30,"38.6%","61.0%"
"=""2790013""","Amistad Academy District",5,"Male",41,2471,2494,23,"34.1%","59.3%"
"=""2790013""","Amistad Academy District",6,"Female",38,2473,2557,83,"81.6%","96.9%"
"=""2790013""","Amistad Academy District",6,"Male",44,2446,2514,68,"68.2%","84.4%"
"=""2790013""","Amistad Academy District",7,"Female",44,2517,2540,23,"31.8%","54.2%"
"=""2790013""","Amistad Academy District",7,"Male",41,2505,2539,34,"46.3%","67.1%"
"=""2790013""","Amistad Academy District",8,"Female",37,2504,2570,66,"75.7%","87.7%"
"=""2790013""","Amistad Academy District",8,"Male",38,2509,2563,54,"63.2%","79.2%"
"=""0010011""","Andover School District",4,"Female",18,"*","*","*","*","*"
"=""0010011""","Andover School District",4,"Male",20,2466,2517,50,"40.0%","73.1%"
"=""0010011""","Andover School District",5,"Female",15,"*","*","*","*","*"
"=""0010011""","Andover School District",5,"Male",27,2529,2574,45,"48.1%","74.5%"
"=""0010011""","Andover School District",6,"Female",27,2530,2584,55,"51.9%","73.9%"
"=""0010011""","Andover School District",6,"Male",20,2582,2604,22,"70.0%","85.9%"
"=""0020011""","Ansonia School District",4,"Female",72,2422,2457,35,"19.4%","58.2%"
"=""0020011""","Ansonia School District",4,"Male",83,2406,2450,43,"30.1%","65.5%"
"=""0020011""","Ansonia School District",5,"Female",91,2438,2442,3,"15.4%","33.7%"
"=""0020011""","Ansonia School District",5,"Male",80,2441,2452,10,"31.3%","48.4%"
"=""0020011""","Ansonia School District",6,"Female",86,2455,2509,54,"62.8%","85.9%"
"=""0020011""","Ansonia School District",6,"Male",74,2445,2489,44,"59.5%","75.4%"
"=""0020011""","Ansonia School District",7,"Female",61,2470,2475,5,"21.3%","41.7%"
"=""0020011""","Ansonia School District",7,"Male",87,2477,2497,20,"32.2%","54.3%"
"=""0020011""","Ansonia School District",8,"Female",90,2486,2503,17,"33.3%","54.7%"
"=""0020011""","Ansonia School District",8,"Male",79,2514,2524,9,"41.8%","53.7%"
"=""2440014""","Area Cooperative Educational Services",4,"Female",39,2379,2418,40,"23.1%","57.8%"
"=""2440014""","Area Cooperative Educational Services",4,"Male",55,2354,2386,32,"16.4%","50.3%"
"=""2440014""","Area Cooperative Educational Services",5,"Female",30,2410,2420,10,"26.7%","47.7%"
"=""2440014""","Area Cooperative Educational Services",5,"Male",58,2388,2408,19,"29.3%","49.5%"
"=""2440014""","Area Cooperative Educational Services",6,"Female",148,2461,2473,12,"27.7%","46.2%"
"=""2440014""","Area Cooperative Educational Services",6,"Male",176,2463,2471,9,"28.4%","46.0%"
"=""2440014""","Area Cooperative Educational Services",7,"Female",164,2477,2520,43,"56.7%","76.9%"
"=""2440014""","Area Cooperative Educational Services",7,"Male",151,2456,2497,41,"48.3%","69.5%"
"=""2440014""","Area Cooperative Educational Services",8,"Female",131,2490,2510,21,"38.9%","55.9%"
"=""2440014""","Area Cooperative Educational Services",8,"Male",167,2488,2493,5,"30.5%","45.5%"
"=""0030011""","Ashford School District",4,"Female",21,2459,2517,58,"61.9%","87.6%"
"=""0030011""","Ashford School District",4,"Male",19,"*","*","*","*","*"
"=""0030011""","Ashford School District",5,"Female",26,2522,2490,-32,"0.0%","8.8%"
"=""0030011""","Ashford School District",5,"Male",11,"*","*","*","*","*"
"=""0030011""","Ashford School District",6,"Female",15,"*","*","*","*","*"
"=""0030011""","Ashford School District",6,"Male",21,2475,2482,7,"19.0%","44.4%"
"=""0030011""","Ashford School District",7,"Female",23,2506,2585,80,"78.3%","88.4%"
"=""0030011""","Ashford School District",7,"Male",23,2479,2540,61,"73.9%","93.2%"
"=""0030011""","Ashford School District",8,"Female",12,"*","*","*","*","*"
"=""0030011""","Ashford School District",8,"Male",22,2546,2574,29,"54.5%","63.9%"
"=""0040011""","Avon School District",4,"Female",102,2494,2526,32,"34.3%","59.8%"
"=""0040011""","Avon School District",4,"Male",102,2504,2549,45,"53.9%","76.5%"
"=""0040011""","Avon School District",5,"Female",137,2518,2537,20,"35.0%","57.2%"
"=""0040011""","Avon School District",5,"Male",121,2530,2555,26,"46.3%","63.0%"
"=""0040011""","Avon School District",6,"Female",122,2547,2607,59,"73.8%","93.5%"
"=""0040011""","Avon School District",6,"Male",136,2546,2598,52,"65.4%","83.9%"
"=""0040011""","Avon School District",7,"Female",108,2585,2623,39,"55.6%","81.7%"
"=""0040011""","Avon School District",7,"Male",148,2605,2648,43,"69.6%","83.2%"
"=""0040011""","Avon School District",8,"Female",134,2616,2658,42,"71.6%","85.7%"
"=""0040011""","Avon School District",8,"Male",128,2631,2657,26,"62.5%","74.5%"
"=""0050011""","Barkhamsted School District",4,"Female",23,2411,2461,50,"34.8%","65.3%"
"=""0050011""","Barkhamsted School District",4,"Male",22,2399,2446,47,"36.4%","71.1%"
"=""0050011""","Barkhamsted School District",5,"Female",21,2455,2475,20,"23.8%","52.4%"
"=""0050011""","Barkhamsted School District",5,"Male",23,2466,2499,33,"26.1%","69.1%"
"=""0050011""","Barkhamsted School District",6,"Female",23,2503,2558,54,"52.2%","78.2%"
"=""0050011""","Barkhamsted School District",6,"Male",21,2508,2532,24,"33.3%","60.8%"
"=""0070011""","Berlin School District",4,"Female",84,2435,2505,70,"64.3%","88.5%"
"=""0070011""","Berlin School District",4,"Male",100,2429,2500,71,"63.0%","88.7%"
"=""0070011""","Berlin School District",5,"Female",111,2501,2530,29,"32.4%","61.2%"
"=""0070011""","Berlin School District",5,"Male",132,2509,2532,23,"35.6%","58.6%"
"=""0070011""","Berlin School District",6,"Female",94,2503,2530,27,"38.3%","63.0%"
"=""0070011""","Berlin School District",6,"Male",114,2514,2537,23,"32.5%","56.2%"
"=""0070011""","Berlin School District",7,"Female",117,2533,2561,28,"44.4%","64.8%"
"=""0070011""","Berlin School District",7,"Male",124,2528,2566,38,"53.2%","73.3%"
"=""0070011""","Berlin School District",8,"Female",83,2563,2581,18,"49.4%","63.1%"
"=""0070011""","Berlin School District",8,"Male",127,2562,2575,13,"40.9%","55.6%"
"=""0080011""","Bethany School District",4,"Female",23,2465,2523,59,"60.9%","81.7%"
"=""0080011""","Bethany School District",4,"Male",27,2441,2490,49,"40.7%","77.1%"
"=""0080011""","Bethany School District",5,"Female",24,2545,2604,60,"75.0%","94.0%"
"=""0080011""","Bethany School District",5,"Male",32,2520,2569,49,"65.6%","84.0%"
"=""0080011""","Bethany School District",6,"Female",29,2515,2567,52,"62.1%","89.1%"
"=""0080011""","Bethany School District",6,"Male",32,2510,2523,13,"34.4%","51.6%"
"=""0090011""","Bethel School District",4,"Female",103,2425,2493,68,"59.2%","88.7%"
