"Smarter Balanced Growth Report, 2015-16"
"All Districts, High Needs (F, R, ELL or SWD)"

"District Code","District","High Needs (F/R, EL or SWD)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","High Needs",462,"43.3%","65.0%"
"=""2790013""","Amistad Academy District","High Needs",348,"54.0%","75.4%"
"=""2790013""","Amistad Academy District","Non-High Needs",63,"61.9%","79.5%"
"=""0010011""","Andover School District","High Needs",24,"37.5%","60.3%"
"=""0010011""","Andover School District","Non-High Needs",103,"52.4%","79.3%"
"=""0020011""","Ansonia School District","High Needs",599,"33.6%","55.9%"
"=""0020011""","Ansonia School District","Non-High Needs",204,"38.7%","61.2%"
"=""2440014""","Area Cooperative Educational Services","High Needs",755,"31.3%","51.5%"
"=""2440014""","Area Cooperative Educational Services","Non-High Needs",364,"45.6%","64.3%"
"=""0030011""","Ashford School District","High Needs",74,"41.9%","58.1%"
"=""0030011""","Ashford School District","Non-High Needs",119,"42.0%","58.5%"
"=""0040011""","Avon School District","High Needs",159,"34.6%","58.8%"
"=""0040011""","Avon School District","Non-High Needs",1079,"60.9%","78.8%"
"=""0050011""","Barkhamsted School District","High Needs",31,"22.6%","54.3%"
"=""0050011""","Barkhamsted School District","Non-High Needs",102,"38.2%","70.1%"
"=""0070011""","Berlin School District","High Needs",225,"37.3%","57.4%"
"=""0070011""","Berlin School District","Non-High Needs",861,"46.5%","68.8%"
"=""0080011""","Bethany School District","High Needs",32,"43.8%","66.3%"
"=""0080011""","Bethany School District","Non-High Needs",135,"58.5%","81.6%"
"=""0090011""","Bethel School District","High Needs",300,"48.7%","69.9%"
"=""0090011""","Bethel School District","Non-High Needs",709,"62.9%","83.9%"
"=""0110011""","Bloomfield School District","High Needs",332,"42.2%","63.2%"
"=""0110011""","Bloomfield School District","Non-High Needs",233,"45.1%","68.6%"
"=""0120011""","Bolton School District","High Needs",73,"50.7%","72.3%"
"=""0120011""","Bolton School District","Non-High Needs",216,"50.5%","70.5%"
"=""0130011""","Bozrah School District","High Needs",37,"48.6%","72.3%"
"=""0130011""","Bozrah School District","Non-High Needs",70,"45.7%","73.4%"
"=""0140011""","Branford School District","High Needs",343,"36.7%","57.5%"
"=""0140011""","Branford School District","Non-High Needs",703,"44.1%","65.8%"
"=""2850013""","Bridgeport Achievement First District","High Needs",354,"59.6%","77.6%"
"=""2850013""","Bridgeport Achievement First District","Non-High Needs",68,"58.8%","78.9%"
"=""0150011""","Bridgeport School District","High Needs",6719,"29.1%","50.9%"
"=""0170011""","Bristol School District","High Needs",1471,"40.2%","63.1%"
"=""0170011""","Bristol School District","Non-High Needs",1311,"46.1%","68.4%"
"=""0180011""","Brookfield School District","High Needs",176,"46.0%","68.1%"
"=""0180011""","Brookfield School District","Non-High Needs",781,"45.6%","67.9%"
"=""0190011""","Brooklyn School District","High Needs",138,"33.3%","55.8%"
"=""0190011""","Brooklyn School District","Non-High Needs",285,"41.1%","60.3%"
"=""0210011""","Canaan School District","High Needs",8,"*","*"
"=""0210011""","Canaan School District","Non-High Needs",31,"22.6%","48.1%"
"=""0220011""","Canterbury School District","High Needs",86,"39.5%","60.0%"
"=""0220011""","Canterbury School District","Non-High Needs",162,"46.9%","71.7%"
"=""0230011""","Canton School District","High Needs",139,"43.2%","64.3%"
"=""0230011""","Canton School District","Non-High Needs",505,"58.4%","79.8%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","High Needs",57,"14.0%","31.8%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","Non-High Needs",30,"13.3%","31.2%"
"=""2410014""","Capitol Region Education Council","High Needs",1434,"32.7%","54.1%"
"=""2410014""","Capitol Region Education Council","Non-High Needs",1078,"43.5%","64.3%"
"=""0240011""","Chaplin School District","High Needs",26,"30.8%","43.1%"
"=""0240011""","Chaplin School District","Non-High Needs",16,"*","*"
"=""0250011""","Cheshire School District","High Needs",269,"42.4%","63.8%"
"=""0250011""","Cheshire School District","Non-High Needs",1420,"55.1%","74.6%"
"=""0260011""","Chester School District","High Needs",26,"50.0%","65.9%"
"=""0260011""","Chester School District","Non-High Needs",74,"56.8%","77.4%"
"=""0270011""","Clinton School District","High Needs",224,"45.5%","66.1%"
"=""0270011""","Clinton School District","Non-High Needs",503,"49.9%","71.4%"
"=""0280011""","Colchester School District","High Needs",261,"35.6%","55.0%"
"=""0280011""","Colchester School District","Non-High Needs",674,"45.3%","64.5%"
"=""0290011""","Colebrook School District","High Needs",10,"*","*"
"=""0290011""","Colebrook School District","Non-High Needs",21,"28.6%","61.5%"
"=""0300011""","Columbia School District","High Needs",62,"37.1%","57.2%"
"=""0300011""","Columbia School District","Non-High Needs",165,"37.6%","62.2%"
"=""2430014""","Cooperative Educational Services","High Needs",146,"32.9%","54.3%"
"=""2430014""","Cooperative Educational Services","Non-High Needs",122,"43.4%","62.4%"
"=""0310011""","Cornwall School District","High Needs",11,"*","*"
"=""0310011""","Cornwall School District","Non-High Needs",34,"35.3%","58.1%"
"=""0320011""","Coventry School District","High Needs",154,"45.5%","72.2%"
"=""0320011""","Coventry School District","Non-High Needs",451,"54.3%","76.6%"
"=""0330011""","Cromwell School District","High Needs",196,"36.7%","58.9%"
"=""0330011""","Cromwell School District","Non-High Needs",556,"38.3%","59.0%"
"=""0340011""","Danbury School District","High Needs",2391,"41.7%","63.8%"
"=""0340011""","Danbury School District","Non-High Needs",1343,"44.7%","65.6%"
"=""0350011""","Darien School District","High Needs",277,"52.7%","75.0%"
"=""0350011""","Darien School District","Non-High Needs",1532,"70.8%","88.1%"
"=""0360011""","Deep River School District","High Needs",45,"42.2%","64.8%"
"=""0360011""","Deep River School District","Non-High Needs",101,"54.5%","76.7%"
"=""0370011""","Derby School District","High Needs",322,"19.6%","39.4%"
"=""0370011""","Derby School District","Non-High Needs",198,"28.3%","54.7%"
"=""0400011""","East Granby School District","High Needs",75,"44.0%","61.3%"
"=""0400011""","East Granby School District","Non-High Needs",235,"52.3%","73.6%"
"=""0410011""","East Haddam School District","High Needs",90,"22.2%","40.7%"
"=""0410011""","East Haddam School District","Non-High Needs",302,"35.4%","55.9%"
"=""0420011""","East Hampton School District","High Needs",131,"29.8%","50.5%"
"=""0420011""","East Hampton School District","Non-High Needs",513,"35.9%","56.3%"
"=""0430011""","East Hartford School District","High Needs",1582,"27.3%","47.9%"
"=""0430011""","East Hartford School District","Non-High Needs",613,"25.3%","48.5%"
"=""0440011""","East Haven School District","High Needs",606,"35.8%","58.8%"
"=""0440011""","East Haven School District","Non-High Needs",453,"40.2%","64.0%"
"=""0450011""","East Lyme School District","High Needs",257,"37.0%","61.5%"
"=""0450011""","East Lyme School District","Non-High Needs",700,"55.3%","74.1%"
"=""0470011""","East Windsor School District","High Needs",176,"29.5%","52.3%"
"=""0470011""","East Windsor School District","Non-High Needs",171,"36.3%","60.7%"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","High Needs",26,"23.1%","40.2%"
"=""0390011""","Eastford School District","High Needs",23,"43.5%","63.0%"
"=""0390011""","Eastford School District","Non-High Needs",44,"50.0%","71.6%"
"=""0460011""","Easton School District","High Needs",75,"53.3%","71.5%"
"=""0460011""","Easton School District","Non-High Needs",421,"68.9%","88.8%"
"=""2420014""","EdAdvance","High Needs","*","*","*"
"=""0480011""","Ellington School District","High Needs",179,"39.7%","60.6%"
"=""0480011""","Ellington School District","Non-High Needs",835,"49.2%","71.6%"
"=""2890013""","Elm City College Preparatory School District","High Needs",255,"44.3%","64.9%"
"=""2890013""","Elm City College Preparatory School District","Non-High Needs",55,"56.4%","80.3%"
"=""0490011""","Enfield School District","High Needs",757,"31.7%","56.8%"
"=""0490011""","Enfield School District","Non-High Needs",952,"36.4%","59.3%"
"=""0500011""","Essex School District","High Needs",37,"51.4%","77.5%"
"=""0500011""","Essex School District","Non-High Needs",146,"60.3%","82.7%"
