"Smarter Balanced Growth Report, 2015-16"
"All Districts, High Needs (F, R, ELL or SWD)"

"District Code","District","Subject","High Needs (F/R, EL or SWD)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","ELA","High Needs",465,"48.2%","71.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District","Math","High Needs",462,"43.3%","65.0%"
"=""2790013""","Amistad Academy District","ELA","High Needs",350,"42.9%","65.8%"
"=""2790013""","Amistad Academy District","ELA","Non-High Needs",63,"50.8%","74.8%"
"=""2790013""","Amistad Academy District","Math","High Needs",348,"54.0%","75.4%"
"=""2790013""","Amistad Academy District","Math","Non-High Needs",63,"61.9%","79.5%"
"=""0010011""","Andover School District","ELA","High Needs",22,"27.3%","41.2%"
"=""0010011""","Andover School District","ELA","Non-High Needs",103,"53.4%","72.6%"
"=""0010011""","Andover School District","Math","High Needs",24,"37.5%","60.3%"
"=""0010011""","Andover School District","Math","Non-High Needs",103,"52.4%","79.3%"
"=""0020011""","Ansonia School District","ELA","High Needs",599,"26.7%","50.1%"
"=""0020011""","Ansonia School District","ELA","Non-High Needs",204,"35.3%","57.4%"
"=""0020011""","Ansonia School District","Math","High Needs",599,"33.6%","55.9%"
"=""0020011""","Ansonia School District","Math","Non-High Needs",204,"38.7%","61.2%"
"=""2440014""","Area Cooperative Educational Services","ELA","High Needs",760,"27.2%","48.1%"
"=""2440014""","Area Cooperative Educational Services","ELA","Non-High Needs",363,"37.7%","58.6%"
"=""2440014""","Area Cooperative Educational Services","Math","High Needs",755,"31.3%","51.5%"
"=""2440014""","Area Cooperative Educational Services","Math","Non-High Needs",364,"45.6%","64.3%"
"=""0030011""","Ashford School District","ELA","High Needs",76,"31.6%","52.0%"
"=""0030011""","Ashford School District","ELA","Non-High Needs",119,"42.0%","64.5%"
"=""0030011""","Ashford School District","Math","High Needs",74,"41.9%","58.1%"
"=""0030011""","Ashford School District","Math","Non-High Needs",119,"42.0%","58.5%"
"=""0040011""","Avon School District","ELA","High Needs",152,"36.8%","59.3%"
"=""0040011""","Avon School District","ELA","Non-High Needs",1081,"58.6%","75.2%"
"=""0040011""","Avon School District","Math","High Needs",159,"34.6%","58.8%"
"=""0040011""","Avon School District","Math","Non-High Needs",1079,"60.9%","78.8%"
"=""0050011""","Barkhamsted School District","ELA","High Needs",31,"29.0%","64.7%"
"=""0050011""","Barkhamsted School District","ELA","Non-High Needs",102,"50.0%","71.5%"
"=""0050011""","Barkhamsted School District","Math","High Needs",31,"22.6%","54.3%"
"=""0050011""","Barkhamsted School District","Math","Non-High Needs",102,"38.2%","70.1%"
"=""0070011""","Berlin School District","ELA","High Needs",226,"44.2%","67.7%"
"=""0070011""","Berlin School District","ELA","Non-High Needs",861,"53.8%","74.3%"
"=""0070011""","Berlin School District","Math","High Needs",225,"37.3%","57.4%"
"=""0070011""","Berlin School District","Math","Non-High Needs",861,"46.5%","68.8%"
"=""0080011""","Bethany School District","ELA","High Needs",32,"37.5%","65.6%"
"=""0080011""","Bethany School District","ELA","Non-High Needs",135,"52.6%","70.7%"
"=""0080011""","Bethany School District","Math","High Needs",32,"43.8%","66.3%"
"=""0080011""","Bethany School District","Math","Non-High Needs",135,"58.5%","81.6%"
"=""0090011""","Bethel School District","ELA","High Needs",298,"44.0%","64.1%"
"=""0090011""","Bethel School District","ELA","Non-High Needs",711,"54.3%","73.7%"
"=""0090011""","Bethel School District","Math","High Needs",300,"48.7%","69.9%"
"=""0090011""","Bethel School District","Math","Non-High Needs",709,"62.9%","83.9%"
"=""0110011""","Bloomfield School District","ELA","High Needs",330,"36.1%","59.0%"
"=""0110011""","Bloomfield School District","ELA","Non-High Needs",233,"36.9%","62.1%"
"=""0110011""","Bloomfield School District","Math","High Needs",332,"42.2%","63.2%"
"=""0110011""","Bloomfield School District","Math","Non-High Needs",233,"45.1%","68.6%"
"=""0120011""","Bolton School District","ELA","High Needs",73,"31.5%","56.6%"
"=""0120011""","Bolton School District","ELA","Non-High Needs",216,"63.9%","81.6%"
"=""0120011""","Bolton School District","Math","High Needs",73,"50.7%","72.3%"
"=""0120011""","Bolton School District","Math","Non-High Needs",216,"50.5%","70.5%"
"=""0130011""","Bozrah School District","ELA","High Needs",37,"35.1%","51.5%"
"=""0130011""","Bozrah School District","ELA","Non-High Needs",70,"42.9%","65.9%"
"=""0130011""","Bozrah School District","Math","High Needs",37,"48.6%","72.3%"
"=""0130011""","Bozrah School District","Math","Non-High Needs",70,"45.7%","73.4%"
"=""0140011""","Branford School District","ELA","High Needs",343,"39.7%","59.9%"
"=""0140011""","Branford School District","ELA","Non-High Needs",704,"45.9%","64.4%"
"=""0140011""","Branford School District","Math","High Needs",343,"36.7%","57.5%"
"=""0140011""","Branford School District","Math","Non-High Needs",703,"44.1%","65.8%"
"=""2850013""","Bridgeport Achievement First District","ELA","High Needs",354,"47.2%","66.7%"
"=""2850013""","Bridgeport Achievement First District","ELA","Non-High Needs",68,"61.8%","80.2%"
"=""2850013""","Bridgeport Achievement First District","Math","High Needs",354,"59.6%","77.6%"
"=""2850013""","Bridgeport Achievement First District","Math","Non-High Needs",68,"58.8%","78.9%"
"=""0150011""","Bridgeport School District","ELA","High Needs",6596,"31.0%","54.6%"
"=""0150011""","Bridgeport School District","Math","High Needs",6719,"29.1%","50.9%"
"=""0170011""","Bristol School District","ELA","High Needs",1453,"39.4%","62.3%"
"=""0170011""","Bristol School District","ELA","Non-High Needs",1312,"45.0%","66.5%"
"=""0170011""","Bristol School District","Math","High Needs",1471,"40.2%","63.1%"
"=""0170011""","Bristol School District","Math","Non-High Needs",1311,"46.1%","68.4%"
"=""0180011""","Brookfield School District","ELA","High Needs",175,"33.1%","53.1%"
"=""0180011""","Brookfield School District","ELA","Non-High Needs",782,"45.9%","65.6%"
"=""0180011""","Brookfield School District","Math","High Needs",176,"46.0%","68.1%"
"=""0180011""","Brookfield School District","Math","Non-High Needs",781,"45.6%","67.9%"
"=""0190011""","Brooklyn School District","ELA","High Needs",138,"39.9%","65.5%"
"=""0190011""","Brooklyn School District","ELA","Non-High Needs",285,"53.0%","70.6%"
"=""0190011""","Brooklyn School District","Math","High Needs",138,"33.3%","55.8%"
"=""0190011""","Brooklyn School District","Math","Non-High Needs",285,"41.1%","60.3%"
"=""0210011""","Canaan School District","ELA","High Needs",8,"*","*"
"=""0210011""","Canaan School District","ELA","Non-High Needs",31,"61.3%","77.1%"
"=""0210011""","Canaan School District","Math","High Needs",8,"*","*"
"=""0210011""","Canaan School District","Math","Non-High Needs",31,"22.6%","48.1%"
"=""0220011""","Canterbury School District","ELA","High Needs",86,"47.7%","69.7%"
"=""0220011""","Canterbury School District","ELA","Non-High Needs",162,"42.6%","65.4%"
"=""0220011""","Canterbury School District","Math","High Needs",86,"39.5%","60.0%"
"=""0220011""","Canterbury School District","Math","Non-High Needs",162,"46.9%","71.7%"
"=""0230011""","Canton School District","ELA","High Needs",139,"35.3%","59.7%"
"=""0230011""","Canton School District","ELA","Non-High Needs",505,"55.6%","74.2%"
"=""0230011""","Canton School District","Math","High Needs",139,"43.2%","64.3%"
"=""0230011""","Canton School District","Math","Non-High Needs",505,"58.4%","79.8%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","ELA","High Needs",58,"31.0%","52.1%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","ELA","Non-High Needs",30,"43.3%","65.7%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","Math","High Needs",57,"14.0%","31.8%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","Math","Non-High Needs",30,"13.3%","31.2%"
"=""2410014""","Capitol Region Education Council","ELA","High Needs",1454,"35.5%","58.6%"
"=""2410014""","Capitol Region Education Council","ELA","Non-High Needs",1085,"45.9%","65.1%"
"=""2410014""","Capitol Region Education Council","Math","High Needs",1434,"32.7%","54.1%"
"=""2410014""","Capitol Region Education Council","Math","Non-High Needs",1078,"43.5%","64.3%"
"=""0240011""","Chaplin School District","ELA","High Needs",27,"55.6%","79.2%"
"=""0240011""","Chaplin School District","ELA","Non-High Needs",16,"*","*"
"=""0240011""","Chaplin School District","Math","High Needs",26,"30.8%","43.1%"
"=""0240011""","Chaplin School District","Math","Non-High Needs",16,"*","*"
"=""0250011""","Cheshire School District","ELA","High Needs",269,"42.4%","65.4%"
"=""0250011""","Cheshire School District","ELA","Non-High Needs",1419,"54.7%","70.9%"
"=""0250011""","Cheshire School District","Math","High Needs",269,"42.4%","63.8%"
"=""0250011""","Cheshire School District","Math","Non-High Needs",1420,"55.1%","74.6%"
"=""0260011""","Chester School District","ELA","High Needs",26,"50.0%","72.0%"
"=""0260011""","Chester School District","ELA","Non-High Needs",74,"50.0%","67.4%"
"=""0260011""","Chester School District","Math","High Needs",26,"50.0%","65.9%"
"=""0260011""","Chester School District","Math","Non-High Needs",74,"56.8%","77.4%"
"=""0270011""","Clinton School District","ELA","High Needs",223,"27.8%","52.4%"
"=""0270011""","Clinton School District","ELA","Non-High Needs",502,"49.8%","68.2%"
"=""0270011""","Clinton School District","Math","High Needs",224,"45.5%","66.1%"
"=""0270011""","Clinton School District","Math","Non-High Needs",503,"49.9%","71.4%"
"=""0280011""","Colchester School District","ELA","High Needs",260,"40.0%","64.6%"
