"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (2-level)"

"",,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","Grade","Free/Reduced Price Meal Eligibility (2-level)","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District",4,"Eligible For Lunch",85,2427,2483,56,"44.7%","78.5%"
"=""2880013""","Achievement First Hartford Academy Inc. District",5,"Eligible For Lunch",130,2435,2458,23,"34.6%","51.9%"
"=""2880013""","Achievement First Hartford Academy Inc. District",6,"Eligible For Lunch",130,2429,2477,48,"53.8%","76.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District",7,"Eligible For Lunch",55,2459,2472,13,"25.5%","46.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District",8,"Eligible For Lunch",62,2500,2539,39,"53.2%","67.6%"
"=""2790013""","Amistad Academy District",4,"Eligible For Lunch",78,2437,2499,62,"59.0%","86.6%"
"=""2790013""","Amistad Academy District",4,"Not Eligible For Lunch",6,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",5,"Eligible For Lunch",73,2472,2501,29,"39.7%","64.5%"
"=""2790013""","Amistad Academy District",5,"Not Eligible For Lunch",12,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",6,"Eligible For Lunch",71,2453,2526,73,"73.2%","89.2%"
"=""2790013""","Amistad Academy District",6,"Not Eligible For Lunch",11,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",7,"Eligible For Lunch",67,2506,2532,26,"35.8%","58.1%"
"=""2790013""","Amistad Academy District",7,"Not Eligible For Lunch",18,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",8,"Eligible For Lunch",57,2491,2545,55,"64.9%","79.4%"
"=""2790013""","Amistad Academy District",8,"Not Eligible For Lunch",18,"*","*","*","*","*"
"=""0010011""","Andover School District",4,"Eligible For Lunch",7,"*","*","*","*","*"
"=""0010011""","Andover School District",4,"Not Eligible For Lunch",31,2467,2518,50,"35.5%","76.1%"
"=""0010011""","Andover School District",5,"Eligible For Lunch","*","*","*","*","*","*"
"=""0010011""","Andover School District",5,"Not Eligible For Lunch","*",2534,2573,39,"52.6%","76.0%"
"=""0010011""","Andover School District",6,"Eligible For Lunch",6,"*","*","*","*","*"
"=""0010011""","Andover School District",6,"Not Eligible For Lunch",41,2553,2592,38,"61.0%","79.2%"
"=""0020011""","Ansonia School District",4,"Eligible For Lunch",110,2405,2444,39,"25.5%","60.3%"
"=""0020011""","Ansonia School District",4,"Not Eligible For Lunch",45,2434,2476,42,"24.4%","66.6%"
"=""0020011""","Ansonia School District",5,"Eligible For Lunch",118,2429,2432,3,"18.6%","36.1%"
"=""0020011""","Ansonia School District",5,"Not Eligible For Lunch",53,2463,2479,16,"32.1%","50.7%"
"=""0020011""","Ansonia School District",6,"Eligible For Lunch",111,2440,2489,49,"60.4%","80.8%"
"=""0020011""","Ansonia School District",6,"Not Eligible For Lunch",49,2473,2524,51,"63.3%","81.6%"
"=""0020011""","Ansonia School District",7,"Eligible For Lunch",103,2466,2476,11,"24.3%","46.9%"
"=""0020011""","Ansonia School District",7,"Not Eligible For Lunch",45,2494,2516,22,"35.6%","54.3%"
"=""0020011""","Ansonia School District",8,"Eligible For Lunch",130,2489,2503,14,"40.8%","56.0%"
"=""0020011""","Ansonia School District",8,"Not Eligible For Lunch",39,2533,2545,13,"25.6%","48.2%"
"=""2440014""","Area Cooperative Educational Services",4,"Eligible For Lunch",67,2342,2377,35,"19.4%","51.2%"
"=""2440014""","Area Cooperative Educational Services",4,"Not Eligible For Lunch",27,2419,2456,37,"18.5%","58.8%"
"=""2440014""","Area Cooperative Educational Services",5,"Eligible For Lunch",59,2379,2393,14,"22.0%","44.7%"
"=""2440014""","Area Cooperative Educational Services",5,"Not Eligible For Lunch",29,2430,2450,20,"41.4%","57.3%"
"=""2440014""","Area Cooperative Educational Services",6,"Eligible For Lunch",207,2440,2446,6,"24.2%","43.1%"
"=""2440014""","Area Cooperative Educational Services",6,"Not Eligible For Lunch",117,2500,2518,18,"35.0%","51.5%"
"=""2440014""","Area Cooperative Educational Services",7,"Eligible For Lunch",209,2445,2483,38,"46.9%","68.5%"
"=""2440014""","Area Cooperative Educational Services",7,"Not Eligible For Lunch",106,2511,2560,49,"64.2%","82.9%"
"=""2440014""","Area Cooperative Educational Services",8,"Eligible For Lunch",184,2456,2466,11,"28.8%","45.2%"
"=""2440014""","Area Cooperative Educational Services",8,"Not Eligible For Lunch",114,2542,2555,14,"43.0%","58.0%"
"=""0030011""","Ashford School District",4,"Eligible For Lunch",14,"*","*","*","*","*"
"=""0030011""","Ashford School District",4,"Not Eligible For Lunch",26,2474,2522,48,"42.3%","73.6%"
"=""0030011""","Ashford School District",5,"Eligible For Lunch",9,"*","*","*","*","*"
"=""0030011""","Ashford School District",5,"Not Eligible For Lunch",28,2534,2504,-30,"0.0%","8.1%"
