"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (3-level)"

"District Code","District","Subject","Free/Reduced Price Meal Eligibility (3-level)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","ELA","Eligible for Free Lunch",465,"48.2%","71.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District","Math","Eligible for Free Lunch",462,"43.3%","65.0%"
"=""2790013""","Amistad Academy District","ELA","Eligible for Free Lunch",281,"42.3%","64.9%"
"=""2790013""","Amistad Academy District","ELA","Not Eligible for Free/Reduced Lunch",65,"49.2%","72.5%"
"=""2790013""","Amistad Academy District","ELA","Eligible for Reduced Lunch",67,"46.3%","71.6%"
"=""2790013""","Amistad Academy District","Math","Eligible for Free Lunch",280,"53.2%","75.1%"
"=""2790013""","Amistad Academy District","Math","Not Eligible for Free/Reduced Lunch",65,"60.0%","77.5%"
"=""2790013""","Amistad Academy District","Math","Eligible for Reduced Lunch",66,"59.1%","78.7%"
"=""0010011""","Andover School District","ELA","Eligible for Free Lunch","*","*","*"
"=""0010011""","Andover School District","ELA","Not Eligible for Free/Reduced Lunch",108,"52.8%","72.4%"
"=""0010011""","Andover School District","ELA","Eligible for Reduced Lunch","*","*","*"
"=""0010011""","Andover School District","Math","Eligible for Free Lunch","*","*","*"
"=""0010011""","Andover School District","Math","Not Eligible for Free/Reduced Lunch",110,"50.9%","77.2%"
"=""0010011""","Andover School District","Math","Eligible for Reduced Lunch","*","*","*"
"=""0020011""","Ansonia School District","ELA","Eligible for Free Lunch",477,"27.3%","50.2%"
"=""0020011""","Ansonia School District","ELA","Not Eligible for Free/Reduced Lunch",231,"33.8%","56.6%"
"=""0020011""","Ansonia School District","ELA","Eligible for Reduced Lunch",95,"25.3%","49.7%"
"=""0020011""","Ansonia School District","Math","Eligible for Free Lunch",477,"33.8%","56.3%"
"=""0020011""","Ansonia School District","Math","Not Eligible for Free/Reduced Lunch",231,"36.8%","60.7%"
"=""0020011""","Ansonia School District","Math","Eligible for Reduced Lunch",95,"35.8%","54.0%"
"=""2440014""","Area Cooperative Educational Services","ELA","Eligible for Free Lunch",628,"27.4%","48.6%"
"=""2440014""","Area Cooperative Educational Services","ELA","Not Eligible for Free/Reduced Lunch",392,"36.7%","57.3%"
"=""2440014""","Area Cooperative Educational Services","ELA","Eligible for Reduced Lunch",103,"27.2%","46.9%"
"=""2440014""","Area Cooperative Educational Services","Math","Eligible for Free Lunch",623,"31.1%","51.5%"
"=""2440014""","Area Cooperative Educational Services","Math","Not Eligible for Free/Reduced Lunch",393,"44.5%","62.8%"
"=""2440014""","Area Cooperative Educational Services","Math","Eligible for Reduced Lunch",103,"32.0%","53.7%"
"=""0030011""","Ashford School District","ELA","Eligible for Free Lunch",57,"31.6%","53.8%"
"=""0030011""","Ashford School District","ELA","Not Eligible for Free/Reduced Lunch",128,"41.4%","63.2%"
"=""0030011""","Ashford School District","ELA","Eligible for Reduced Lunch",10,"*","*"
"=""0030011""","Ashford School District","Math","Eligible for Free Lunch",56,"42.9%","55.4%"
