"Smarter Balanced Growth Report, 2015-16"
"State of Connecticut, Free/Reduced Price Meal Eligibility (2-level)"

"",,,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","Grade","Subject","Free/Reduced Price Meal Eligibility (2-level)","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""0000000""","State of Connecticut",4,"ELA","Eligible For Lunch",14905,2384,2432,48,"34.8%","62.0%"
"=""0000000""","State of Connecticut",4,"ELA","Not Eligible For Lunch",21411,2463,2518,55,"53.2%","75.9%"
"=""0000000""","State of Connecticut",4,"Math","Eligible For Lunch",15049,2386,2434,49,"35.5%","67.4%"
"=""0000000""","State of Connecticut",4,"Math","Not Eligible For Lunch",21432,2459,2511,53,"49.4%","77.6%"
"=""0000000""","State of Connecticut",5,"ELA","Eligible For Lunch",14505,2423,2469,46,"35.7%","62.1%"
"=""0000000""","State of Connecticut",5,"ELA","Not Eligible For Lunch",22455,2509,2553,45,"49.2%","70.7%"
"=""0000000""","State of Connecticut",5,"Math","Eligible For Lunch",14624,2426,2452,26,"34.8%","57.0%"
"=""0000000""","State of Connecticut",5,"Math","Not Eligible For Lunch",22486,2500,2536,37,"49.7%","71.6%"
"=""0000000""","State of Connecticut",6,"ELA","Eligible For Lunch",14098,2458,2487,29,"35.3%","56.2%"
"=""0000000""","State of Connecticut",6,"ELA","Not Eligible For Lunch",22833,2543,2571,28,"46.4%","63.9%"
"=""0000000""","State of Connecticut",6,"Math","Eligible For Lunch",14201,2444,2463,20,"34.6%","53.9%"
"=""0000000""","State of Connecticut",6,"Math","Not Eligible For Lunch",22833,2525,2560,35,"48.9%","68.7%"
"=""0000000""","State of Connecticut",7,"ELA","Eligible For Lunch",14149,2480,2510,30,"34.8%","55.4%"
"=""0000000""","State of Connecticut",7,"ELA","Not Eligible For Lunch",23852,2561,2593,32,"46.3%","64.0%"
"=""0000000""","State of Connecticut",7,"Math","Eligible For Lunch",14221,2458,2479,22,"36.3%","55.4%"
"=""0000000""","State of Connecticut",7,"Math","Not Eligible For Lunch",23822,2548,2577,29,"48.7%","67.2%"
"=""0000000""","State of Connecticut",8,"ELA","Eligible For Lunch",13697,2499,2525,26,"35.2%","55.0%"
"=""0000000""","State of Connecticut",8,"ELA","Not Eligible For Lunch",23440,2581,2608,26,"45.8%","62.6%"
"=""0000000""","State of Connecticut",8,"Math","Eligible For Lunch",13812,2472,2488,16,"35.4%","51.3%"
"=""0000000""","State of Connecticut",8,"Math","Not Eligible For Lunch",23384,2567,2593,26,"49.5%","65.1%"

