"Smarter Balanced Growth Report, 2015-16"
"All Districts, ELL"

"",,,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","Grade","Subject","English Learner Status (EL)","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District",4,"ELA","ELL","*","*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District",4,"ELA","Non-ELL","*",2408,2480,72,"56.0%","81.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District",4,"Math","ELL","*","*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District",4,"Math","Non-ELL","*",2426,2484,58,"45.1%","80.0%"
"=""2880013""","Achievement First Hartford Academy Inc. District",5,"ELA","Non-ELL",131,2418,2467,49,"37.4%","61.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District",5,"Math","Non-ELL",130,2435,2458,23,"34.6%","51.9%"
"=""2880013""","Achievement First Hartford Academy Inc. District",6,"ELA","ELL",9,"*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District",6,"ELA","Non-ELL",122,2465,2519,54,"47.5%","73.6%"
"=""2880013""","Achievement First Hartford Academy Inc. District",6,"Math","ELL",9,"*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District",6,"Math","Non-ELL",121,2431,2479,48,"53.7%","75.9%"
"=""2880013""","Achievement First Hartford Academy Inc. District",7,"ELA","ELL","*","*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District",7,"ELA","Non-ELL","*",2492,2537,45,"48.1%","69.0%"
"=""2880013""","Achievement First Hartford Academy Inc. District",7,"Math","ELL","*","*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District",7,"Math","Non-ELL","*",2460,2474,14,"25.9%","47.0%"
"=""2880013""","Achievement First Hartford Academy Inc. District",8,"ELA","ELL","*","*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District",8,"ELA","Non-ELL","*",2524,2582,58,"58.3%","76.6%"
"=""2880013""","Achievement First Hartford Academy Inc. District",8,"Math","ELL","*","*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District",8,"Math","Non-ELL","*",2502,2541,40,"54.1%","68.7%"
"=""2790013""","Amistad Academy District",4,"ELA","ELL","*","*","*","*","*","*"
"=""2790013""","Amistad Academy District",4,"ELA","Non-ELL","*",2426,2490,64,"51.3%","76.1%"
"=""2790013""","Amistad Academy District",4,"Math","ELL","*","*","*","*","*","*"
"=""2790013""","Amistad Academy District",4,"Math","Non-ELL","*",2440,2502,62,"59.5%","87.6%"
"=""2790013""","Amistad Academy District",5,"ELA","ELL","*","*","*","*","*","*"
"=""2790013""","Amistad Academy District",5,"ELA","Non-ELL","*",2459,2512,53,"46.4%","69.5%"
"=""2790013""","Amistad Academy District",5,"Math","ELL","*","*","*","*","*","*"
"=""2790013""","Amistad Academy District",5,"Math","Non-ELL","*",2474,2501,27,"36.9%","60.9%"
"=""2790013""","Amistad Academy District",6,"ELA","ELL",6,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",6,"ELA","Non-ELL",76,2474,2517,44,"44.7%","68.0%"
"=""2790013""","Amistad Academy District",6,"Math","ELL",6,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",6,"Math","Non-ELL",76,2459,2536,77,"75.0%","90.6%"
"=""2790013""","Amistad Academy District",7,"ELA","ELL",6,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",7,"ELA","Non-ELL",79,2526,2550,24,"29.1%","52.5%"
"=""2790013""","Amistad Academy District",7,"Math","ELL",6,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",7,"Math","Non-ELL",79,2516,2549,33,"41.8%","63.6%"
"=""2790013""","Amistad Academy District",8,"ELA","ELL",6,"*","*","*","*","*"
