"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (2-level)"

"District Code","District","Subject","Free/Reduced Price Meal Eligibility (2-level)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","ELA","Eligible For Lunch",465,"48.2%","71.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District","Math","Eligible For Lunch",462,"43.3%","65.0%"
"=""2790013""","Amistad Academy District","ELA","Eligible For Lunch",348,"43.1%","66.2%"
"=""2790013""","Amistad Academy District","ELA","Not Eligible For Lunch",65,"49.2%","72.5%"
"=""2790013""","Amistad Academy District","Math","Eligible For Lunch",346,"54.3%","75.8%"
"=""2790013""","Amistad Academy District","Math","Not Eligible For Lunch",65,"60.0%","77.5%"
"=""0010011""","Andover School District","ELA","Eligible For Lunch",17,"*","*"
"=""0010011""","Andover School District","ELA","Not Eligible For Lunch",108,"52.8%","72.4%"
"=""0010011""","Andover School District","Math","Eligible For Lunch",17,"*","*"
"=""0010011""","Andover School District","Math","Not Eligible For Lunch",110,"50.9%","77.2%"
"=""0020011""","Ansonia School District","ELA","Eligible For Lunch",572,"26.9%","50.1%"
"=""0020011""","Ansonia School District","ELA","Not Eligible For Lunch",231,"33.8%","56.6%"
"=""0020011""","Ansonia School District","Math","Eligible For Lunch",572,"34.1%","55.9%"
"=""0020011""","Ansonia School District","Math","Not Eligible For Lunch",231,"36.8%","60.7%"
"=""2440014""","Area Cooperative Educational Services","ELA","Eligible For Lunch",731,"27.4%","48.4%"
"=""2440014""","Area Cooperative Educational Services","ELA","Not Eligible For Lunch",392,"36.7%","57.3%"
"=""2440014""","Area Cooperative Educational Services","Math","Eligible For Lunch",726,"31.3%","51.8%"
"=""2440014""","Area Cooperative Educational Services","Math","Not Eligible For Lunch",393,"44.5%","62.8%"
"=""0030011""","Ashford School District","ELA","Eligible For Lunch",67,"31.3%","52.8%"
"=""0030011""","Ashford School District","ELA","Not Eligible For Lunch",128,"41.4%","63.2%"
"=""0030011""","Ashford School District","Math","Eligible For Lunch",66,"43.9%","57.1%"
"=""0030011""","Ashford School District","Math","Not Eligible For Lunch",127,"40.9%","59.0%"
"=""0040011""","Avon School District","ELA","Eligible For Lunch",62,"32.3%","55.9%"
"=""0040011""","Avon School District","ELA","Not Eligible For Lunch",1171,"57.1%","74.1%"
"=""0040011""","Avon School District","Math","Eligible For Lunch",63,"25.4%","48.1%"
"=""0040011""","Avon School District","Math","Not Eligible For Lunch",1175,"59.2%","77.7%"
"=""0050011""","Barkhamsted School District","ELA","Eligible For Lunch",16,"*","*"
"=""0050011""","Barkhamsted School District","ELA","Not Eligible For Lunch",117,"45.3%","68.6%"
"=""0050011""","Barkhamsted School District","Math","Eligible For Lunch",16,"*","*"
"=""0050011""","Barkhamsted School District","Math","Not Eligible For Lunch",117,"36.8%","69.4%"
"=""0070011""","Berlin School District","ELA","Eligible For Lunch",134,"46.3%","69.6%"
"=""0070011""","Berlin School District","ELA","Not Eligible For Lunch",953,"52.6%","73.4%"
"=""0070011""","Berlin School District","Math","Eligible For Lunch",134,"39.6%","59.5%"
"=""0070011""","Berlin School District","Math","Not Eligible For Lunch",952,"45.3%","67.4%"
"=""0080011""","Bethany School District","ELA","Eligible For Lunch",13,"*","*"
"=""0080011""","Bethany School District","ELA","Not Eligible For Lunch",154,"49.4%","69.5%"
"=""0080011""","Bethany School District","Math","Eligible For Lunch",13,"*","*"
"=""0080011""","Bethany School District","Math","Not Eligible For Lunch",154,"57.8%","80.8%"
"=""0090011""","Bethel School District","ELA","Eligible For Lunch",222,"45.9%","64.6%"
"=""0090011""","Bethel School District","ELA","Not Eligible For Lunch",787,"52.7%","72.6%"
"=""0090011""","Bethel School District","Math","Eligible For Lunch",222,"48.2%","69.8%"
"=""0090011""","Bethel School District","Math","Not Eligible For Lunch",787,"61.6%","82.5%"
"=""0110011""","Bloomfield School District","ELA","Eligible For Lunch",301,"36.9%","59.4%"
"=""0110011""","Bloomfield School District","ELA","Not Eligible For Lunch",262,"35.9%","61.2%"
"=""0110011""","Bloomfield School District","Math","Eligible For Lunch",303,"42.9%","63.8%"
