"Smarter Balanced Growth Report, 2015-16"
"All Districts, High Needs (F, R, ELL or SWD)"

"",,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","Grade","High Needs (F/R, EL or SWD)","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District",4,"High Needs",85,2427,2483,56,"44.7%","78.5%"
"=""2880013""","Achievement First Hartford Academy Inc. District",5,"High Needs",130,2435,2458,23,"34.6%","51.9%"
"=""2880013""","Achievement First Hartford Academy Inc. District",6,"High Needs",130,2429,2477,48,"53.8%","76.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District",7,"High Needs",55,2459,2472,13,"25.5%","46.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District",8,"High Needs",62,2500,2539,39,"53.2%","67.6%"
"=""2790013""","Amistad Academy District",4,"High Needs",78,2437,2499,62,"59.0%","86.6%"
"=""2790013""","Amistad Academy District",4,"Non-High Needs",6,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",5,"High Needs",73,2472,2501,29,"39.7%","64.5%"
"=""2790013""","Amistad Academy District",5,"Non-High Needs",12,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",6,"High Needs",71,2453,2526,73,"73.2%","89.2%"
"=""2790013""","Amistad Academy District",6,"Non-High Needs",11,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",7,"High Needs",69,2500,2526,25,"34.8%","56.9%"
"=""2790013""","Amistad Academy District",7,"Non-High Needs",16,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",8,"High Needs",57,2491,2545,55,"64.9%","79.4%"
"=""2790013""","Amistad Academy District",8,"Non-High Needs",18,"*","*","*","*","*"
"=""0010011""","Andover School District",4,"High Needs",8,"*","*","*","*","*"
"=""0010011""","Andover School District",4,"Non-High Needs",30,2468,2519,51,"36.7%","77.0%"
"=""0010011""","Andover School District",5,"High Needs","*","*","*","*","*","*"
"=""0010011""","Andover School District",5,"Non-High Needs","*",2534,2573,39,"52.6%","76.0%"
"=""0010011""","Andover School District",6,"High Needs",12,"*","*","*","*","*"
"=""0010011""","Andover School District",6,"Non-High Needs",35,2572,2613,41,"65.7%","84.9%"
"=""0020011""","Ansonia School District",4,"High Needs",113,2403,2443,39,"24.8%","60.7%"
"=""0020011""","Ansonia School District",4,"Non-High Needs",42,2441,2482,41,"26.2%","66.0%"
"=""0020011""","Ansonia School District",5,"High Needs",124,2428,2429,1,"17.7%","34.9%"
"=""0020011""","Ansonia School District",5,"Non-High Needs",47,2470,2491,21,"36.2%","55.7%"
"=""0020011""","Ansonia School District",6,"High Needs",115,2438,2486,48,"60.0%","80.7%"
"=""0020011""","Ansonia School District",6,"Non-High Needs",45,2481,2534,52,"64.4%","81.9%"
"=""0020011""","Ansonia School District",7,"High Needs",111,2459,2474,15,"26.1%","49.7%"
"=""0020011""","Ansonia School District",7,"Non-High Needs",37,2519,2531,11,"32.4%","47.4%"
"=""0020011""","Ansonia School District",8,"High Needs",136,2488,2501,13,"39.0%","55.2%"
"=""0020011""","Ansonia School District",8,"Non-High Needs",33,2543,2559,16,"30.3%","50.4%"
"=""2440014""","Area Cooperative Educational Services",4,"High Needs",68,2342,2376,35,"19.1%","51.1%"
"=""2440014""","Area Cooperative Educational Services",4,"Non-High Needs",26,2422,2460,37,"19.2%","59.3%"
"=""2440014""","Area Cooperative Educational Services",5,"High Needs",60,2378,2392,14,"21.7%","44.0%"
"=""2440014""","Area Cooperative Educational Services",5,"Non-High Needs",28,2434,2456,21,"42.9%","59.3%"
"=""2440014""","Area Cooperative Educational Services",6,"High Needs",217,2440,2445,5,"23.5%","41.9%"
"=""2440014""","Area Cooperative Educational Services",6,"Non-High Needs",107,2507,2527,20,"37.4%","54.7%"
"=""2440014""","Area Cooperative Educational Services",7,"High Needs",217,2441,2481,39,"47.0%","68.6%"
"=""2440014""","Area Cooperative Educational Services",7,"Non-High Needs",98,2523,2572,49,"65.3%","84.1%"
"=""2440014""","Area Cooperative Educational Services",8,"High Needs",193,2455,2466,11,"29.5%","45.7%"
"=""2440014""","Area Cooperative Educational Services",8,"Non-High Needs",105,2550,2564,14,"42.9%","58.2%"
"=""0030011""","Ashford School District",4,"High Needs",16,"*","*","*","*","*"
"=""0030011""","Ashford School District",4,"Non-High Needs",24,2483,2529,46,"45.8%","72.0%"
"=""0030011""","Ashford School District",5,"High Needs",9,"*","*","*","*","*"
"=""0030011""","Ashford School District",5,"Non-High Needs",28,2534,2504,-30,"0.0%","8.1%"
"=""0030011""","Ashford School District",6,"High Needs",15,"*","*","*","*","*"
"=""0030011""","Ashford School District",6,"Non-High Needs",21,2496,2512,16,"19.0%","41.4%"
"=""0030011""","Ashford School District",7,"High Needs",16,"*","*","*","*","*"
"=""0030011""","Ashford School District",7,"Non-High Needs",30,2513,2587,74,"80.0%","94.3%"
"=""0030011""","Ashford School District",8,"High Needs",18,"*","*","*","*","*"
"=""0030011""","Ashford School District",8,"Non-High Needs",16,"*","*","*","*","*"
"=""0040011""","Avon School District",4,"High Needs",22,2430,2462,33,"18.2%","53.2%"
