"Smarter Balanced Growth Report, 2015-16"
"All Districts, All Students"

"District Code","District","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District",465,"48.2%","71.7%"
"=""2790013""","Amistad Academy District",413,"44.1%","67.2%"
"=""0010011""","Andover School District",125,"48.8%","67.0%"
"=""0020011""","Ansonia School District",803,"28.9%","52.0%"
"=""2440014""","Area Cooperative Educational Services",1123,"30.6%","51.5%"
"=""0030011""","Ashford School District",195,"37.9%","59.7%"
"=""0040011""","Avon School District",1233,"55.9%","73.2%"
"=""0050011""","Barkhamsted School District",133,"45.1%","69.9%"
"=""0070011""","Berlin School District",1087,"51.8%","72.9%"
"=""0080011""","Bethany School District",167,"49.7%","69.7%"
"=""0090011""","Bethel School District",1009,"51.2%","70.8%"
"=""0110011""","Bloomfield School District",563,"36.4%","60.2%"
"=""0120011""","Bolton School District",289,"55.7%","75.3%"
"=""0130011""","Bozrah School District",107,"40.2%","60.9%"
"=""0140011""","Branford School District",1047,"43.8%","62.9%"
"=""2850013""","Bridgeport Achievement First District",422,"49.5%","68.8%"
"=""0150011""","Bridgeport School District",6596,"31.0%","54.6%"
"=""0170011""","Bristol School District",2765,"42.0%","64.3%"
"=""0180011""","Brookfield School District",957,"43.6%","63.3%"
"=""0190011""","Brooklyn School District",423,"48.7%","68.9%"
"=""0210011""","Canaan School District",39,"53.8%","71.1%"
"=""0220011""","Canterbury School District",248,"44.4%","66.9%"
"=""0230011""","Canton School District",644,"51.2%","71.1%"
"=""2970013""","Capital Preparatory Harbor School Inc. District",88,"35.2%","56.8%"
"=""2410014""","Capitol Region Education Council",2539,"39.9%","61.4%"
"=""0240011""","Chaplin School District",43,"55.8%","79.0%"
"=""0250011""","Cheshire School District",1688,"52.7%","70.0%"
"=""0260011""","Chester School District",100,"50.0%","68.6%"
"=""0270011""","Clinton School District",725,"43.0%","63.4%"
"=""0280011""","Colchester School District",935,"48.4%","69.2%"
"=""0290011""","Colebrook School District",31,"61.3%","81.5%"
"=""0300011""","Columbia School District",228,"47.4%","67.3%"
"=""2430014""","Cooperative Educational Services",267,"36.0%","58.8%"
"=""0310011""","Cornwall School District",45,"44.4%","64.7%"
"=""0320011""","Coventry School District",606,"54.6%","76.6%"
"=""0330011""","Cromwell School District",753,"44.2%","66.3%"
"=""0340011""","Danbury School District",3676,"41.3%","63.9%"
"=""0350011""","Darien School District",1808,"59.2%","76.3%"
"=""0360011""","Deep River School District",146,"48.6%","67.5%"
"=""0370011""","Derby School District",520,"31.5%","52.8%"
"=""0400011""","East Granby School District",310,"40.6%","59.8%"
"=""0410011""","East Haddam School District",394,"48.2%","64.3%"
"=""0420011""","East Hampton School District",648,"34.4%","53.3%"
"=""0430011""","East Hartford School District",2192,"36.0%","59.5%"
"=""0440011""","East Haven School District",1059,"42.5%","67.6%"
"=""0450011""","East Lyme School District",961,"47.0%","64.9%"
"=""0470011""","East Windsor School District",345,"33.3%","58.4%"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)",30,"16.7%","35.0%"
"=""0390011""","Eastford School District",67,"37.3%","59.0%"
"=""0460011""","Easton School District",501,"58.1%","76.7%"
"=""2420014""","EdAdvance","*","*","*"
"=""0480011""","Ellington School District",1013,"45.1%","65.1%"
"=""2890013""","Elm City College Preparatory School District",310,"54.5%","75.3%"
"=""0490011""","Enfield School District",1714,"44.9%","66.8%"
"=""0500011""","Essex School District",182,"51.1%","70.1%"
"=""0510011""","Fairfield School District",3804,"50.3%","70.0%"
"=""0520011""","Farmington School District",1512,"53.6%","71.9%"
"=""0530011""","Franklin School District",88,"35.2%","53.3%"
"=""0540011""","Glastonbury School District",2315,"50.7%","68.3%"
"=""0560011""","Granby School District",687,"58.7%","76.9%"
"=""2940013""","Great Oaks Charter School District",206,"40.3%","60.0%"
"=""0570011""","Greenwich School District",3025,"53.9%","71.8%"
"=""0580011""","Griswold School District",635,"42.2%","63.7%"
"=""0590011""","Groton School District",1403,"41.1%","61.1%"
"=""0600011""","Guilford School District",1303,"54.1%","72.2%"
"=""0620011""","Hamden School District",1835,"37.3%","57.3%"
"=""0630011""","Hampton School District",28,"53.6%","78.8%"
"=""0640011""","Hartford School District",6808,"32.2%","54.4%"
"=""0650011""","Hartland School District",105,"57.1%","79.7%"
"=""0670011""","Hebron School District",341,"44.9%","69.0%"
"=""2860013""","Highville Charter School District",181,"32.6%","54.8%"
"=""2640013""","Integrated Day Charter School District",157,"31.8%","52.4%"
"=""2650013""","Interdistrict School for Arts and Comm District",254,"32.7%","47.5%"
"=""2610013""","Jumoke Academy District",325,"34.8%","54.5%"
"=""0680011""","Kent School District",126,"47.6%","62.7%"
"=""0690011""","Killingly School District",773,"48.6%","70.1%"
"=""2450014""","Learn",296,"45.3%","70.9%"
"=""0710011""","Lebanon School District",337,"50.4%","67.1%"
"=""0720011""","Ledyard School District",776,"42.1%","62.0%"
"=""0730011""","Lisbon School District",203,"36.9%","57.2%"
"=""0740011""","Litchfield School District",372,"56.7%","75.4%"
"=""0760011""","Madison School District",964,"37.2%","54.6%"
"=""0770011""","Manchester School District",1962,"35.0%","57.3%"
"=""0780011""","Mansfield School District",537,"51.0%","68.3%"
"=""0790011""","Marlborough School District",253,"56.1%","77.4%"
"=""0800011""","Meriden School District",2450,"39.3%","61.8%"
"=""0830011""","Middletown School District",1606,"38.0%","58.6%"
"=""0840011""","Milford School District",2191,"48.2%","68.3%"
"=""0850011""","Monroe School District",1182,"49.1%","64.6%"
"=""0860011""","Montville School District",832,"44.6%","65.3%"
"=""0880011""","Naugatuck School District",1533,"41.8%","64.5%"
"=""2800013""","New Beginnings Inc Family Academy District",169,"34.3%","56.8%"
"=""0890011""","New Britain School District",3118,"28.9%","51.6%"
"=""0900011""","New Canaan School District",1556,"52.8%","68.7%"
"=""0910011""","New Fairfield School District",795,"50.9%","71.1%"
"=""0920011""","New Hartford School District",197,"43.1%","66.4%"
"=""0930011""","New Haven School District",6725,"38.9%","63.3%"
"=""0950011""","New London School District",993,"31.8%","53.9%"
"=""0960011""","New Milford School District",1469,"40.3%","61.1%"
"=""0940011""","Newington School District",1521,"37.3%","58.2%"
"=""0970011""","Newtown School District",1704,"45.8%","63.9%"
"=""0980011""","Norfolk School District",44,"45.5%","65.8%"
"=""0990011""","North Branford School District",705,"43.3%","64.4%"
"=""1000011""","North Canaan School District",110,"58.2%","77.4%"
"=""1010011""","North Haven School District",1128,"66.9%","87.3%"
"=""1020011""","North Stonington School District",264,"49.2%","66.0%"
"=""1030011""","Norwalk School District",3849,"35.6%","57.3%"
"=""1040011""","Norwich School District",1629,"37.9%","60.4%"
"=""2630013""","Odyssey Community School District",175,"36.6%","62.1%"
"=""1060011""","Old Saybrook School District",501,"45.5%","65.4%"
"=""1070011""","Orange School District",509,"53.8%","74.0%"
"=""1080011""","Oxford School District",776,"39.2%","57.3%"
"=""2830013""","Park City Prep Charter School District",337,"46.3%","70.8%"
"=""1090011""","Plainfield School District",802,"47.9%","70.8%"
"=""1100011""","Plainville School District",856,"42.9%","65.7%"
"=""1110011""","Plymouth School District",536,"43.8%","64.0%"
"=""1120011""","Pomfret School District",221,"51.6%","70.3%"
"=""1130011""","Portland School District",508,"48.8%","67.9%"
"=""1140011""","Preston School District",215,"36.7%","55.5%"
"=""1160011""","Putnam School District",395,"43.8%","64.1%"
"=""1170011""","Redding School District",502,"51.4%","69.0%"
"=""2010012""","Regional School District 01","*","*","*"
"=""2040012""","Regional School District 04",300,"42.7%","57.5%"
"=""2050012""","Regional School District 05",714,"50.8%","69.3%"
"=""2060012""","Regional School District 06",244,"45.5%","63.2%"
"=""2070012""","Regional School District 07",289,"47.1%","63.7%"
"=""2080012""","Regional School District 08",549,"36.8%","53.8%"
"=""2100012""","Regional School District 10",911,"42.9%","63.2%"
"=""2110012""","Regional School District 11",82,"47.6%","65.3%"
"=""2120012""","Regional School District 12",255,"54.5%","75.9%"
"=""2130012""","Regional School District 13",670,"47.3%","69.3%"
"=""2140012""","Regional School District 14",543,"39.0%","60.3%"
"=""2150012""","Regional School District 15",1469,"51.4%","71.1%"
"=""2160012""","Regional School District 16",798,"43.7%","65.9%"
"=""2170012""","Regional School District 17",887,"51.3%","69.8%"
"=""2180012""","Regional School District 18",504,"51.8%","69.3%"
"=""1180011""","Ridgefield School District",1853,"51.8%","68.3%"
"=""1190011""","Rocky Hill School District",886,"44.1%","62.6%"
"=""1210011""","Salem School District",195,"58.5%","78.7%"
"=""1220011""","Salisbury School District",125,"47.2%","62.4%"
"=""1230011""","Scotland School District",44,"61.4%","78.3%"
"=""1240011""","Seymour School District",856,"37.9%","57.5%"
"=""1250011""","Sharon School District",68,"44.1%","66.0%"
"=""1260011""","Shelton School District",1838,"50.3%","69.2%"
"=""1270011""","Sherman School District",99,"47.5%","70.2%"
"=""2700013""","Side By Side Charter School District",108,"39.8%","60.3%"
"=""1280011""","Simsbury School District",1554,"56.0%","74.0%"
"=""1290011""","Somers School District",536,"46.8%","66.6%"
"=""1320011""","South Windsor School District",1512,"49.7%","67.9%"
"=""1310011""","Southington School District",2504,"39.6%","59.6%"
"=""1330011""","Sprague School District",164,"42.7%","61.8%"
"=""1340011""","Stafford School District",535,"44.9%","66.2%"
"=""1350011""","Stamford School District",5238,"41.7%","63.0%"
"=""1360011""","Sterling School District",227,"41.4%","64.4%"
"=""1370011""","Stonington School District",756,"45.2%","61.4%"
"=""1380011""","Stratford School District",2542,"39.3%","60.5%"
"=""1390011""","Suffield School District",814,"43.5%","61.3%"
"=""2690013""","The Bridge Academy District",97,"25.8%","45.0%"
