"Smarter Balanced Growth Report, 2015-16"
"All Districts, All Students"

"",,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","Grade","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District",4,87,2407,2481,73,"56.3%","82.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District",5,131,2418,2467,49,"37.4%","61.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District",6,131,2461,2515,55,"48.9%","74.0%"
"=""2880013""","Achievement First Hartford Academy Inc. District",7,55,2491,2535,44,"47.3%","67.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District",8,61,2521,2580,59,"59.0%","77.1%"
"=""2790013""","Amistad Academy District",4,85,2422,2486,64,"51.8%","75.5%"
"=""2790013""","Amistad Academy District",5,85,2459,2512,53,"45.9%","69.8%"
"=""2790013""","Amistad Academy District",6,82,2471,2515,44,"46.3%","68.4%"
"=""2790013""","Amistad Academy District",7,85,2517,2543,26,"30.6%","53.2%"
"=""2790013""","Amistad Academy District",8,76,2531,2573,42,"46.1%","69.1%"
"=""0010011""","Andover School District",4,38,2486,2528,42,"44.7%","67.5%"
"=""0010011""","Andover School District",5,42,2540,2580,40,"52.4%","70.5%"
"=""0010011""","Andover School District",6,45,2579,2597,17,"48.9%","63.5%"
"=""0020011""","Ansonia School District",4,155,2410,2453,43,"32.3%","59.5%"
"=""0020011""","Ansonia School District",5,170,2436,2460,24,"20.6%","48.3%"
"=""0020011""","Ansonia School District",6,160,2469,2505,36,"41.9%","63.2%"
"=""0020011""","Ansonia School District",7,148,2470,2480,9,"18.9%","40.6%"
"=""0020011""","Ansonia School District",8,170,2509,2527,17,"30.6%","48.0%"
"=""2440014""","Area Cooperative Educational Services",4,94,2372,2407,35,"28.7%","51.6%"
"=""2440014""","Area Cooperative Educational Services",5,89,2406,2446,41,"23.6%","55.8%"
"=""2440014""","Area Cooperative Educational Services",6,322,2491,2498,7,"26.4%","44.6%"
"=""2440014""","Area Cooperative Educational Services",7,319,2495,2523,29,"35.1%","56.5%"
"=""2440014""","Area Cooperative Educational Services",8,299,2520,2542,22,"33.1%","52.3%"
"=""0030011""","Ashford School District",4,41,2460,2500,40,"39.0%","60.8%"
"=""0030011""","Ashford School District",5,37,2552,2563,12,"37.8%","55.8%"
"=""0030011""","Ashford School District",6,36,2493,2516,23,"33.3%","52.7%"
"=""0030011""","Ashford School District",7,47,2531,2566,35,"42.6%","63.6%"
"=""0030011""","Ashford School District",8,34,2551,2585,34,"35.3%","64.3%"
"=""0040011""","Avon School District",4,201,2503,2548,45,"53.2%","72.6%"
"=""0040011""","Avon School District",5,256,2527,2569,42,"53.5%","73.1%"
"=""0040011""","Avon School District",6,258,2571,2611,40,"63.2%","80.1%"
"=""0040011""","Avon School District",7,256,2596,2634,38,"59.0%","75.4%"
"=""0040011""","Avon School District",8,262,2612,2636,23,"50.0%","64.7%"
"=""0050011""","Barkhamsted School District",4,45,2436,2492,56,"55.6%","76.2%"
