"Smarter Balanced Growth Report, 2015-16"
"All Districts, Gender"

"District Code","District","Subject","Gender","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","ELA","Male",230,"45.7%","69.9%"
"=""2880013""","Achievement First Hartford Academy Inc. District","ELA","Female",235,"50.6%","73.5%"
"=""2880013""","Achievement First Hartford Academy Inc. District","Math","Male",229,"45.9%","64.5%"
"=""2880013""","Achievement First Hartford Academy Inc. District","Math","Female",233,"40.8%","65.6%"
"=""2790013""","Amistad Academy District","ELA","Male",211,"39.3%","63.2%"
"=""2790013""","Amistad Academy District","ELA","Female",202,"49.0%","71.3%"
"=""2790013""","Amistad Academy District","Math","Male",209,"52.6%","74.9%"
"=""2790013""","Amistad Academy District","Math","Female",202,"57.9%","77.2%"
"=""0010011""","Andover School District","ELA","Male",67,"40.3%","60.5%"
"=""0010011""","Andover School District","ELA","Female",58,"58.6%","74.5%"
"=""0010011""","Andover School District","Math","Male",67,"52.2%","77.5%"
"=""0010011""","Andover School District","Math","Female",60,"46.7%","73.7%"
"=""0020011""","Ansonia School District","ELA","Male",403,"29.8%","53.1%"
"=""0020011""","Ansonia School District","ELA","Female",400,"28.0%","50.8%"
"=""0020011""","Ansonia School District","Math","Male",403,"38.5%","59.2%"
"=""0020011""","Ansonia School District","Math","Female",400,"31.3%","55.3%"
"=""2440014""","Area Cooperative Educational Services","ELA","Male",611,"27.8%","48.3%"
"=""2440014""","Area Cooperative Educational Services","ELA","Female",512,"34.0%","55.3%"
"=""2440014""","Area Cooperative Educational Services","Math","Male",607,"32.9%","52.4%"
"=""2440014""","Area Cooperative Educational Services","Math","Female",512,"39.5%","59.5%"
"=""0030011""","Ashford School District","ELA","Male",98,"36.7%","56.5%"
"=""0030011""","Ashford School District","ELA","Female",97,"39.2%","62.8%"
"=""0030011""","Ashford School District","Math","Male",96,"43.8%","61.4%"
"=""0030011""","Ashford School District","Math","Female",97,"40.2%","55.3%"
"=""0040011""","Avon School District","ELA","Male",634,"53.0%","72.2%"
"=""0040011""","Avon School District","ELA","Female",599,"58.9%","74.3%"
"=""0040011""","Avon School District","Math","Male",635,"60.3%","76.6%"
"=""0040011""","Avon School District","Math","Female",603,"54.6%","75.7%"
"=""0050011""","Barkhamsted School District","ELA","Male",66,"43.9%","67.3%"
"=""0050011""","Barkhamsted School District","ELA","Female",67,"46.3%","72.5%"
"=""0050011""","Barkhamsted School District","Math","Male",66,"31.8%","67.1%"
"=""0050011""","Barkhamsted School District","Math","Female",67,"37.3%","65.7%"
"=""0070011""","Berlin School District","ELA","Male",598,"49.7%","71.0%"
"=""0070011""","Berlin School District","ELA","Female",489,"54.4%","75.2%"
"=""0070011""","Berlin School District","Math","Male",597,"44.4%","65.6%"
"=""0070011""","Berlin School District","Math","Female",489,"44.8%","67.4%"
"=""0080011""","Bethany School District","ELA","Male",91,"46.2%","68.5%"
"=""0080011""","Bethany School District","ELA","Female",76,"53.9%","71.2%"
"=""0080011""","Bethany School District","Math","Male",91,"47.3%","70.5%"
"=""0080011""","Bethany School District","Math","Female",76,"65.8%","88.4%"
"=""0090011""","Bethel School District","ELA","Male",516,"49.4%","68.5%"
"=""0090011""","Bethel School District","ELA","Female",493,"53.1%","73.3%"
"=""0090011""","Bethel School District","Math","Male",516,"59.5%","79.1%"
"=""0090011""","Bethel School District","Math","Female",493,"57.8%","80.5%"
"=""0110011""","Bloomfield School District","ELA","Male",285,"30.2%","56.6%"
"=""0110011""","Bloomfield School District","ELA","Female",278,"42.8%","64.0%"
"=""0110011""","Bloomfield School District","Math","Male",285,"42.5%","66.0%"
"=""0110011""","Bloomfield School District","Math","Female",280,"44.3%","64.9%"
"=""0120011""","Bolton School District","ELA","Male",145,"53.8%","74.4%"
"=""0120011""","Bolton School District","ELA","Female",144,"57.6%","76.2%"
"=""0120011""","Bolton School District","Math","Male",145,"49.0%","69.0%"
"=""0120011""","Bolton School District","Math","Female",144,"52.1%","72.9%"
"=""0130011""","Bozrah School District","ELA","Male",51,"35.3%","56.2%"
"=""0130011""","Bozrah School District","ELA","Female",56,"44.6%","65.2%"
"=""0130011""","Bozrah School District","Math","Male",51,"51.0%","70.9%"
"=""0130011""","Bozrah School District","Math","Female",56,"42.9%","74.9%"
"=""0140011""","Branford School District","ELA","Male",524,"42.0%","61.8%"
"=""0140011""","Branford School District","ELA","Female",523,"45.7%","64.0%"
"=""0140011""","Branford School District","Math","Male",524,"42.9%","63.2%"
"=""0140011""","Branford School District","Math","Female",522,"40.4%","62.9%"
"=""2850013""","Bridgeport Achievement First District","ELA","Male",210,"47.1%","67.8%"
"=""2850013""","Bridgeport Achievement First District","ELA","Female",212,"51.9%","69.8%"
"=""2850013""","Bridgeport Achievement First District","Math","Male",210,"58.6%","76.1%"
"=""2850013""","Bridgeport Achievement First District","Math","Female",212,"60.4%","79.6%"
"=""0150011""","Bridgeport School District","ELA","Male",3401,"28.7%","52.5%"
"=""0150011""","Bridgeport School District","ELA","Female",3195,"33.4%","56.9%"
"=""0150011""","Bridgeport School District","Math","Male",3470,"28.8%","50.3%"
"=""0150011""","Bridgeport School District","Math","Female",3249,"29.5%","51.5%"
"=""0170011""","Bristol School District","ELA","Male",1421,"40.5%","62.4%"
"=""0170011""","Bristol School District","ELA","Female",1344,"43.7%","66.3%"
"=""0170011""","Bristol School District","Math","Male",1427,"43.3%","65.3%"
"=""0170011""","Bristol School District","Math","Female",1355,"42.7%","66.0%"
"=""0180011""","Brookfield School District","ELA","Male",490,"40.8%","61.8%"
"=""0180011""","Brookfield School District","ELA","Female",467,"46.5%","64.9%"
"=""0180011""","Brookfield School District","Math","Male",490,"46.3%","68.8%"
"=""0180011""","Brookfield School District","Math","Female",467,"45.0%","67.1%"
"=""0190011""","Brooklyn School District","ELA","Male",204,"45.1%","65.8%"
"=""0190011""","Brooklyn School District","ELA","Female",219,"52.1%","71.8%"
"=""0190011""","Brooklyn School District","Math","Male",205,"35.1%","56.4%"
"=""0190011""","Brooklyn School District","Math","Female",218,"41.7%","61.1%"
"=""0210011""","Canaan School District","ELA","Male",18,"*","*"
"=""0210011""","Canaan School District","ELA","Female",21,"57.1%","76.4%"
"=""0210011""","Canaan School District","Math","Male",18,"*","*"
"=""0210011""","Canaan School District","Math","Female",21,"33.3%","58.6%"
"=""0220011""","Canterbury School District","ELA","Male",140,"41.4%","65.1%"
"=""0220011""","Canterbury School District","ELA","Female",108,"48.1%","69.2%"
"=""0220011""","Canterbury School District","Math","Male",140,"45.7%","65.4%"
"=""0220011""","Canterbury School District","Math","Female",108,"42.6%","70.6%"
"=""0230011""","Canton School District","ELA","Male",319,"45.1%","67.1%"
"=""0230011""","Canton School District","ELA","Female",325,"57.2%","75.0%"
"=""0230011""","Canton School District","Math","Male",319,"52.7%","74.6%"
"=""0230011""","Canton School District","Math","Female",325,"57.5%","78.4%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","ELA","Male",49,"38.8%","60.6%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","ELA","Female",39,"30.8%","51.9%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","Math","Male",48,"10.4%","24.7%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","Math","Female",39,"17.9%","40.1%"
"=""2410014""","Capitol Region Education Council","ELA","Male",1362,"36.6%","58.7%"
"=""2410014""","Capitol Region Education Council","ELA","Female",1177,"43.8%","64.4%"
"=""2410014""","Capitol Region Education Council","Math","Male",1338,"36.2%","56.2%"
"=""2410014""","Capitol Region Education Council","Math","Female",1174,"38.6%","61.0%"
"=""0240011""","Chaplin School District","ELA","Male",23,"56.5%","79.8%"
"=""0240011""","Chaplin School District","ELA","Female",20,"55.0%","78.1%"
"=""0240011""","Chaplin School District","Math","Male",22,"27.3%","39.7%"
"=""0240011""","Chaplin School District","Math","Female",20,"35.0%","48.3%"
"=""0250011""","Cheshire School District","ELA","Male",814,"50.7%","68.0%"
"=""0250011""","Cheshire School District","ELA","Female",874,"54.6%","71.8%"
"=""0250011""","Cheshire School District","Math","Male",815,"52.4%","71.3%"
"=""0250011""","Cheshire School District","Math","Female",874,"53.8%","74.4%"
"=""0260011""","Chester School District","ELA","Male",38,"52.6%","69.6%"
"=""0260011""","Chester School District","ELA","Female",62,"48.4%","67.9%"
"=""0260011""","Chester School District","Math","Male",38,"60.5%","75.6%"
"=""0260011""","Chester School District","Math","Female",62,"51.6%","73.7%"
"=""0270011""","Clinton School District","ELA","Male",370,"41.4%","61.3%"
"=""0270011""","Clinton School District","ELA","Female",355,"44.8%","65.5%"
"=""0270011""","Clinton School District","Math","Male",372,"49.7%","69.4%"
"=""0270011""","Clinton School District","Math","Female",355,"47.3%","70.2%"
"=""0280011""","Colchester School District","ELA","Male",478,"43.1%","65.6%"
"=""0280011""","Colchester School District","ELA","Female",457,"54.0%","73.0%"
"=""0280011""","Colchester School District","Math","Male",478,"40.6%","59.0%"
