"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (3-level)"

"District Code","District","Free/Reduced Price Meal Eligibility (3-level)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","Eligible for Free Lunch",462,"43.3%","65.0%"
"=""2790013""","Amistad Academy District","Eligible for Free Lunch",280,"53.2%","75.1%"
"=""2790013""","Amistad Academy District","Not Eligible for Free/Reduced Lunch",65,"60.0%","77.5%"
"=""2790013""","Amistad Academy District","Eligible for Reduced Lunch",66,"59.1%","78.7%"
"=""0010011""","Andover School District","Eligible for Free Lunch","*","*","*"
"=""0010011""","Andover School District","Not Eligible for Free/Reduced Lunch",110,"50.9%","77.2%"
"=""0010011""","Andover School District","Eligible for Reduced Lunch","*","*","*"
"=""0020011""","Ansonia School District","Eligible for Free Lunch",477,"33.8%","56.3%"
"=""0020011""","Ansonia School District","Not Eligible for Free/Reduced Lunch",231,"36.8%","60.7%"
"=""0020011""","Ansonia School District","Eligible for Reduced Lunch",95,"35.8%","54.0%"
"=""2440014""","Area Cooperative Educational Services","Eligible for Free Lunch",623,"31.1%","51.5%"
"=""2440014""","Area Cooperative Educational Services","Not Eligible for Free/Reduced Lunch",393,"44.5%","62.8%"
"=""2440014""","Area Cooperative Educational Services","Eligible for Reduced Lunch",103,"32.0%","53.7%"
"=""0030011""","Ashford School District","Eligible for Free Lunch",56,"42.9%","55.4%"
"=""0030011""","Ashford School District","Not Eligible for Free/Reduced Lunch",127,"40.9%","59.0%"
"=""0030011""","Ashford School District","Eligible for Reduced Lunch",10,"*","*"
"=""0040011""","Avon School District","Eligible for Free Lunch",54,"18.5%","41.0%"
"=""0040011""","Avon School District","Not Eligible for Free/Reduced Lunch",1175,"59.2%","77.7%"
"=""0040011""","Avon School District","Eligible for Reduced Lunch",9,"*","*"
"=""0050011""","Barkhamsted School District","Eligible for Free Lunch","*","*","*"
"=""0050011""","Barkhamsted School District","Not Eligible for Free/Reduced Lunch",117,"36.8%","69.4%"
"=""0050011""","Barkhamsted School District","Eligible for Reduced Lunch","*","*","*"
"=""0070011""","Berlin School District","Eligible for Free Lunch",102,"39.2%","59.0%"
"=""0070011""","Berlin School District","Not Eligible for Free/Reduced Lunch",952,"45.3%","67.4%"
"=""0070011""","Berlin School District","Eligible for Reduced Lunch",32,"40.6%","61.3%"
"=""0080011""","Bethany School District","Eligible for Free Lunch","*","*","*"
"=""0080011""","Bethany School District","Not Eligible for Free/Reduced Lunch",154,"57.8%","80.8%"
"=""0080011""","Bethany School District","Eligible for Reduced Lunch","*","*","*"
"=""0090011""","Bethel School District","Eligible for Free Lunch",147,"45.6%","65.7%"
"=""0090011""","Bethel School District","Not Eligible for Free/Reduced Lunch",787,"61.6%","82.5%"
"=""0090011""","Bethel School District","Eligible for Reduced Lunch",75,"53.3%","77.8%"
"=""0110011""","Bloomfield School District","Eligible for Free Lunch",250,"44.0%","64.7%"
"=""0110011""","Bloomfield School District","Not Eligible for Free/Reduced Lunch",262,"43.9%","67.4%"
"=""0110011""","Bloomfield School District","Eligible for Reduced Lunch",53,"37.7%","59.4%"
"=""0120011""","Bolton School District","Eligible for Free Lunch",43,"48.8%","71.0%"
"=""0120011""","Bolton School District","Not Eligible for Free/Reduced Lunch",239,"51.0%","71.4%"
"=""0120011""","Bolton School District","Eligible for Reduced Lunch",7,"*","*"
"=""0130011""","Bozrah School District","Eligible for Free Lunch","*","*","*"
"=""0130011""","Bozrah School District","Not Eligible for Free/Reduced Lunch",85,"44.7%","70.6%"
"=""0130011""","Bozrah School District","Eligible for Reduced Lunch","*","*","*"
"=""0140011""","Branford School District","Eligible for Free Lunch",206,"32.5%","53.6%"
"=""0140011""","Branford School District","Not Eligible for Free/Reduced Lunch",784,"43.8%","65.5%"
"=""0140011""","Branford School District","Eligible for Reduced Lunch",56,"46.4%","63.4%"
